name,address,city,state,zip,phone,type,url
"Avondale Brewing Co","201 41st St S",Birmingham,AL,35222-1932,"(205) 777-5456",micro,http://www.avondalebrewing.com
"Back Forty Beer Co","200 N 6th St",Gadsden,AL,35901-3361,"(256) 399-3739",brewpub,http://www.backfortybeer.com
"Band of Brothers Brewing Company",,Tuscaloosa,AL,35401-4653,"(205) 266-5137",planning,http://www.bandofbrosbrewing.com
"Beer Engineers","5359 Harvest Ridge Lane",Birmingham,AL,35242-3109,"(205) 677-8024",micro,http://www.beer-engineers.com
"Below the Radar Brewing Co","220 Holmes Ave NE",Huntsville,AL,35801-4837,"(256) 469-6617",brewpub,http://www.btrbrew.com
"Black Warrior Brewing Co.","2216 University Blvd",Tuscaloosa,AL,35401-1542,,micro,http://www.blackwarriorbrewing.com
"Blue Pants Brewery","500 Lanier Rd, Bld 1 - Ste A",Madison,AL,35758-8675,"(256) 679-6330",micro,http://www.bluepantsbrew.com
"Brewery In Planning - Brookwood",,Brookwood,AL,35444,,planning,
"Brewery In Planning- Decatur, AL",,Decatur,AL,35603-2205,,planning,
"Brewery In Planning- Gulf Shores, AL.",,"Gulf Shores",AL,36547-6307,,planning,
"Cahaba Brewing Co","2616 3rd Ave S",Birmingham,AL,35233-2619,"(205) 966-9444",micro,http://www.cahababrewing.com
"Chattahoochee Brewing Co","505 13th St","Phenix City",AL,36867-5126,"(334) 559-0663",micro,http://www.chattahoocheebrewingcompany.com
"Cheaha Brewing Co","1208 Walnut Ave",Anniston,AL,36201-4526,"(256) 770-7300",brewpub,http://www.cheahabrewingcompany.com
"Cross-eyed Brewing, LLC.",,,,,,planning,
"Druid City Brewing","607 14th St",Tuscaloosa,AL,35401-3439,"(205) 886-8140",micro,http://www.druidcitybrewing.com
"Fairhope Brewing Co","914 Nichols Ave",Fairhope,AL,36532-3684,"(251) 279-7517",micro,http://www.fairhopebrewing.com
"Folklore Brewing & Meadery, LLC","153 Mary Lou Ln",Dothan,AL,36301-9521,"(334) 702-2337",micro,http://www.folklorebrewing.com
"Good People Brewing Co","114 14th St S",Birmingham,AL,35233-1415,"(205) 317-1363",micro,http://www.goodpeoplebrewing.com
"Old Black Bear Brewing","212 Main St",Madison,AL,35758-1813,,contract,http://www.oldblackbear.com
"Red Clay Brewing Company","704 N Railroad Ave",Opelika,AL,36801-4344,,micro,http://www.redclaybrewingcompany.com
"Rocket Republic Brewing Company","289 Production Ave",Madison,AL,35758-8991,,micro,http://www.rocketrepublicbrewing.com
"Salty Nut Brewery","4411 Evangel Circle Northwest, Suite A",Huntsville,AL,35816,,micro,http://www.saltynutbrewery.com
"Serda Brewing Company",,Mobile,AL,36608-1935,,planning,http://www.serdabrewing.com
"Singin' River Brewing Company, LLC","526 E College St",Florence,AL,35630-5764,,micro,http://www.singinriverbrewery.com
"Straight to Ale","3200 Leeman Ferry Rd SW",Huntsville,AL,35801-5332,,micro,http://www.straighttoale.com
"Teague Hollow Brewing",,,,,,planning,
"The Brew Stooges","109 Maple Ave NW",Huntsville,AL,35801-4634,"(256) 489-5325",micro,
"The J. Clyde",,Birmingham,AL,35205-4918,"(205) 939-1312",planning,
"The Railyard Brewing Co","12 W Jefferson St",Montgomery,AL,36104-2573,"(334) 262-0080",brewpub,http://www.railyardbrewingcompany.com
"Trim Tab Brewing","2721 5th Ave S",Birmingham,AL,35233-3401,"(828) 545-4746",micro,http://www.trimtabbrewing.com
"Yellowhammer Brewery","2406 Clinton Ave W",Huntsville,AL,35805-3014,"(256) 975-5950",micro,http://www.yellowhammerbrewery.com
