name,address,city,state,zip,phone,type,url
Antares,"12 De Octubre 7749 Pcia Bs As",,,,,,
"Antares Brewery","12 de Octubre 7759",,,,"+54 (0) 223 481-8202",micro,http://www.cervezaantares.com
"Australis Cerevisiae","Avda. Arrayanes 2490",,,,"+54.(0)2944. 495645",brewpub,
"Ayzem Beer","Ituzaingo 2018 Mendoza",,,,,,
"Bachmann Cerveza Artesanal","Wia Almirante O Connor 1348",,,,,,
"Bavaria S.A.","Calle 7 No. 14-34 Apartado Aereo 771",,,,,large,
"Beata Brewery","Martin Rodriguez",,,,,micro,
"Bebidas Animadas SRL","Tamborini 2771",,,,5491121554283,regional,http://www.duffargentina.com
"Berlina Brew House & Restorante","Avenida Bustillo KM 11750",,,,,,
"Berlina Brewery","RUTA 79 Y FELIX GOYE S/N - COLONIA SUIZA",,,,54(2944)454393,micro,http://www.cervezaberlina.com
"Bierhaus Brewing Co.","Uspallata 2288",,,,,micro,
BRAUER,"SANTA FE 43",,,,5492994657732,micro,http://www.brauercerveceria.com.ar
"Breoghan Brewing Co","Calle Bolivar 860 San Telmo",,,,,,
"Brewery In Planning - Buenos Aires","Pte R M Ortiz 1827",,,,,brewpub,
"Brewery in Planning - CABA",,,,,5491130343313,planning,http://www.basavilbaso.com
"Brewery in Planning - Capital Federal",,,,,0111521554282,planning,
"Brewery in Planning - Cordoba",,,,,5493516574443,planning,
"Brewery in Planning - Cordoba",,,,,5493516574443,planning,
"Buena Birra Social Club",Colegiales,,,,,,
"Buller Brewing Co","Paraguay 425 Microcentro",,,,,,
"Buller Pub & Brewery Recoleta","Pte Ortiz 1827",,,,"+54 11 4808 9061 / 9062",brewpub,http://www.bullerpub.com
"CCU Argentina","Ruta 8 Lujan",,,,,,http://www.ccu.cl
"Cerveceria Araucana de A.C. Acosta","Roca 667",,,,"+54 (0) 455 382",micro,
"Cerveceria Artesanal El Bolson","Ruta 258 Km 123.900",,,,,,
"Cerveceria Artesanal El Chalten","Av Del Libertador Gral. San Martín 564",,,,,,
"Cervecería Artesanal Germanía","Calle Julio A. Roca 199",,,,,,
"Cerveceria Artesanal Piltri","El Pito239",,,,,,
"Cerveceria Austral","Calle Rincon 3286 Ruta Punta Alta",,,,Feb-14,large,
"Cerveceria Bersaglier","Calle 92 #101 San Martin",,,,,,
"Cerveceria Bieckert","Av Antartida Argentina 1881",,,,244-0061/68,large,
"Cerveceria Blest","Exequiel Bustillo 5AV 11600",,,,,,http://administracionblest@gmail.com
"Cerveceria Blest Bariloche","Av.E. Bustillo 11600",,,,"+54 2944 435776",regional,
"Cerveceria Calchaqui","Galeria Los Arcos Locales 1,2 Y 3 Avenida J.D. Peron",,,,,,
"Cerveceria Cape Horn","P. Lawrence 894 Tierra Del Fuego",,,,,,
"Cerveceria Cardos","Ruta 4 No. 85",,,,,,
"Cerveceria Cossab","Carlos Calvo 4199",,,,,,
"Cerveceria De Cuyo Y N Argent","Catamarca 1100/4000 San Miguel",,,,21-9405,large,
"Cervecería El Buho","Ruta E66 Km. 51 Y 1/2 Paraje El Rosario",,,,,,
"Cervecería El Búho","Ruta E66 Km 51,500",,,,"+549 3548 566947",micro,http://www.cervezaelbuho.com.ar
"Cerveceria El Picadero","Av. 5 Y Paseo 101",,,,,,
"Cerveceria Epulafquen","Cacique Antriao 1965",,,,,micro,http://www.cervezaepulafquen.com.ar
"Cerveceria Estrella De Galicia","Bern De Irigoyen 309-5to D-Cap. Federal (1379)",,,,38-3517,large,
"Cerveceria Familia Weiss","Palacios 101",,,,,,
"Cervecería Gilbert","Km 24 ruta 77 Circuito Chico",,,,5492944206448,brewpub,http://www.cervezagilbert.com
"Cerveceria Kunstmann","Av Bustillo 7980 Rio Negro",,,,,,
"Cerveceria La Cruz","Nilpi 789 San Carlos De Bariloche",,,,,,
"Cerveceria Lecker","Garay 1438",,,,,,
"Cerveceria Los Granjeros","Bustillo 19 600 UP33",,,,54-2944-448650,,
"Cerveceria Malteria Quilmes","Av 12 De Octubre Y Gran Canari 1878 Quilmes",,,,,,
"Cerveceria Owe","Av Coronel Olascoaga 2150",,,,,,
"Cervecería Pilker","Lote 7 Mza 16 Barrio Arrayanes",,,,,,
"Cerveceria Quilmes","12 De Octubre Y Gran Canaria",,,,"(548) 131-0406",,
"Cerveceria Santa Fe","Viamonte 1328",,,,40-8305,,
"Cerveceria Santa Fe","Calchines 1401",,,,,,
"Cerveceria Schneider Sa","Avda Blas Parera 5851 Castilla De Correo 78",,,,,large,
"Cerveceria Sur Patagonica","Mariano Moreno 743",,,,,,
"Cerveceria Y Malteria Quilmes","12 De Octobre Y Gran Canaria",,,,253-5021,large,
"Cerveza Artesana; Siete Y1/2","Paraguay 634",,,,,,
"Cerveza Artesanal Araucana","Roca 667",,,,,,
"Cerveza Artesanal BarbaRoja","Ruta 25 #2567 Escobar",,,,,,
"Cerveza Artesanal Beagle","Soberanía Nacional 2723",,,,,,
"Cerveza Artesanal Berlina","Avda Bustillo 11750",,,,,,
"Cerveza Chaura","Ruta 40 Kilometro 1894",,,,,,
"Cerveza Dowel","Ruta Panamericana 3277",,,,,,
"Cerveza Epulafquen","Cacique Antriao 1965 Villa La Angostura",,,,,,
"Cerveza Kraken","Av Caseros 1678",,,,,,
"Cerveza Patagonia","AV Alicia M De Justo 740 Puerto Madero",,,,,,
"Cerveza Sur Patagonica","Mariano Moreno 743 Patagonia",,,,"+ 54-2-972-4-24-000",micro,http://www.surpatagonica.com.ar
"Cia Industrial Cervecera","Adolfo Guemes 1253",,,,21-0521;21-5200,large,
"Cordillera Brewing Co","N Granada 757",,,,"+54 11 4792 3042",,http://cordillerabrew.com
"Cordoba Brewery","Arturo Orgaz 646",,,,,,http://www.ccu.cl
"Cork Brewing Company","Colectora Oeste KM 40.5 De Vicenzo Chico 1617",,,,,,
"Cosario Negro","Costanera Y Los Angeles",,,,,,
"Diavolezza Brewing Company - Argentina","Roque Saenz Peña",,,,005492612192555,brewpub,
Dubliners,"Humbolt 2000",,,,,,
"El Bolson Brewery","Ruta 40, (ex Ruta 258, Km 123.900 Patagonia",,,,"+54 (0)2944.492595",micro,http://www.cervezaselbolson.com
"Estrella De Galicia Sa","Bernardo De Irigoyen 308-5to D Cap Federal 1379",,,,,large,
"Fabrica De Cerveza Artesanal Viejo Munich","San Martin 362 Villa Gral. Belgrano",,,,,,
"Falkner Cerveceria","Avienda 44 Nro 2049 (esquina 136)",,,,,,
"Fenicia Brewing Company","Av Francia 168 Santa Fe",,,,,,
"Fenicia Brewing Company","Av Francia 168",,,,,,
"Finca Buena Vista Brewery","9 De Julio",,,,,,
"Fisherman's Beer Microcerveceria","Montreal 304",,,,,,
"Grunge Brewing Company","Av Montevido 711",,,,,,
"Grupo Tecnico","Av de Octbre y G Canaria",,,,"5411 4349 1730 / 1754",,
"HDQ Cerveza Artesanal",Quilmes,,,,,,
Isenbeck,"Ruta Panamerican KM 89",,,,,,
"Jerome Brew Pub Express Cordoba","Marcelo T. De Alvear 545 Cordoba",,,,,,
"KELLAN BREWING CO",,,,,54-11-1531674881,planning,http://www.kellan.com.r
"La Perla",,,,,005491159200867,planning,
"La Posta Del Angel","Selva Negra 594",,,,,,
"Lúpulo Cerveza Artesanal","Av Villanueva Arístides 471",,,,,,
"Mak Bier","Av San Martin Esquina El Abeto",,,,,,
"Microcerveceria Konna Bar","Juramento 73",,,,,,
"Monthue Cerveza Artesanal","Calle 119 Berisso",,,,,,
"Old Mule","José Antonio Cabrera 4946",,,,,,
"Otro Mundo Brewing Co","Grecia 3394 Dto 4 (C1429BDJ)",,,,"54 11 5917-1635",micro,
"Penon Del Aguila","Av. Recta Martinolli 5197",,,,,contract,http://www.cervezalegendaria.com
"Refugio Blackrock","Palacios 515 Rio Negro",,,,,,
"Rubia Y Negra","Libertad 1630",,,,,,
"Salta Brewery","Adolfo Guemes 1240",,,,,,
"Santa Fe Brewery","Clachines 1401",,,,,,http://www.cervezaschneider.com.ar
"Siduri Brewing Co.","Las Violetas 1965",,,,,,
"Siete Colores Cerveza Artesanal","Adolfo Guemes 1250",,,,,,
"Sixtofer Cerveza Artesanal","Lomas De Zamora",,,,,,
Spangher,"Miller 2905 Tomas Le Breton & Vila Urqui",,,,,,
"The Mula Cervezas Especiales",,,,,,,
"Vikinga Brewery","Ruta 16, Km. 6 Patagonia",,,,,micro,
Zodiaco,"Av Francia 251 Santa Fe",,,,,,
