name,address,city,state,zip,phone,type,url
"Augustinerbraeu Kloster Muelln OHG","Augustinergasse 4",,,,"+43 (662) 431246",,http://www.beerhavensalzburg.com
"BBAG Oesterreichische Brau-Beteiligungs-AG","Poschacherstrasse 35",,,,"(437) 326-9510",,http://www.bbag.com
"Branger Braeu Georg Hoertnagl",Unterperfuss,,,,"(495) 232-2209",,
"Brau Am Berg,","Hauptstrasse 3",,,,"07684 444",regional,
"Brau Getrankeind Gesellschaft","Schleppe Brauerei, Postfach 25 Feldkirchner-str 147",,,,"0463 2 27 00",regional,
"Brau Union Osterreich AG","A-4021 LINZ Poschacherstrae 35",,,,43732169790,regional,
"Braucommune Freistadt",,,,,"(079) 422-4920",regional,
"Brauerei Aspach Ges mbH","Nr. 29",,,,"(437) 755-6901",,
"Brauerei Aspach Ges mbH, Brauerei Braeu am Berg","Bahnhofstrasse 1",,,,"(437) 684-6444",,
"Brauerei Brauhotel Weitra","Rathausplatz 6",,,,"(432) 856-2936",,http://www.weitra.at/gastronomie.html
"Brauerei Egg, Simma, Kohler GesmbH & Co KG","Gerbe 500",,,,"+43 (5512) 2201-0",,http://www.brauerei-egg.at
"Brauerei Eggenberg","Postfach 44",,,,"07614 345",regional,
"Brauerei Ernst Mayr GmbH","Ertlstrasse 3",,,,"(075) 822-2460",regional,
"Brauerei Falkenstein",,,,,"(048) 526-2062",,
"Brauerei Fohrenburg GmbH + Co.","Fohrenburgstrasse 5",,,,"(435) 552-6060",,http://www.fohrenburg.at
"Brauerei Franz Wurmhoeringer","Marktplatz 10/11",,,,"+43 (7723) 42204-0",,http://www.wurmhoeringer.at
"Brauerei Frastanzer Genossenschaft mbH","Bahnhofstrasse 22",,,,"+43 (5522) 517010",,http://www.vol.at/frastanzer
"Brauerei Georg Raschhofer","Braunauer Strasse 12",,,,"+43 (7723) 2205-0",,
"Brauerei Goess","Brauhausgasse 1",,,,"(038) 422-2621",large,
"Brauerei Goess","Brauhausgasse 1",,,,"(038) 422-2621",regional,
"Brauerei Grieskirchen Aktiengesellschaft","Stadtplatz 14",,,,"+43 (7248) 607",,
"Brauerei Hirt Ges mbH",Hirt,,,,"+43 (4268) 2050-0",,http://www.hirterbier.at
"Brauerei Hofstetten Krammer Ges mbH & Co KG","Adsdorf 5",,,,"(437) 232-2204",,http://www.hofstetten.at
"Brauerei Ing. Matth. Schnaitl","Post Eggelsberg",,,,"07748 66 82",regional,
"Brauerei Jos. Baumgartner","Denisgasse 10",,,,"07712 31 16",regional,
"Brauerei Josef Lehn","Gutensteinstrasse 48",,,,"(026) 334-2203",,
"Brauerei Kapsreiter Aktiengesellschaft","Linzer Strasse 142",,,,"+43 (7712) 4774-0",,
"Brauerei Karl Riedmueller Ges mbH","Wiener Strasse 10",,,,"(432) 764-2350",,
"Brauerei Piesting Getraenkeindustrie Gesellschaft","Gutensteiner Strasse 48",,,,"+43 (2633) 42203",,http://www.piestinger.at
"Brauerei Raschhofer","Braunauer Strasse 12",,,,"(077) 232-2050",regional,
"Brauerei Reininghaus/Puntigam","Reininghausstrasse 1 Postfach 10 28",,,,"0316 502 0",large,
"Brauerei Ried reg. Gen. mbH","Brauhausgasse 24",,,,"+43 (7752) 82017",,
"Brauerei Schloss Eggenberg Stoehr & Co. KG","Eggenberg 1",,,,"+43 (7614) 6345-0",,http://www.eggenberger.at
"Brauerei Schloss Starkenberg H. Schatz GmbH & Co.",,,,,"+43 (5412) 66201",,
"Brauerei Schnaitl KG","Gundertshausen 9",,,,"+43 (7748) 6682-0",,http://www.schnaitl.at
