name,address,city,state,zip,phone,type,url
"Abbaye De Scourmont","294 Route Du Rond Point",,,,,,
"Abdij Der Trappisten","Antwerpsesteenweg 496",,,,"03 3 12 05 35",regional,
"Affligem Brouwerij BDS","Ringlaan 18",,,,"+32 052/35.99.11",micro,http://www.affligem.biz
"Artois Breweries Sa","Vaartstraat 94",,,,016/24.71.11,large,
"Bavik Sprl Brasserie De","Riijksweg 16a",,,,"056 71 90 91",regional,
"BGI Tien Gaing","26 Avenue Reine Astrid",,,,,,
"Bieres de Chimay S.A.","Route Charlemagne 8",,,,"(326) 021-0311",,http://www.chimay.be
"Boon Brouwerij NV","Fonteinstraat 65",,,,"(322) 356-6644",,
"Brasseri La Binchoise","Rue D`Hubertise 51",,,,,,
"Brasserie a Vapeur","Rue du Marechal 1b",,,,"(326) 966-2047",,http://www.vapeur.com
"Brasserie Abbaye De Scourmont","Rue De La Trappe 294",,,,"060 21 30 63",regional,
"Brasserie Achouffe","Rue du Village 32",,,,"(326) 128-8147",regional,http://www.achouffe.be
"Brasserie Artois, NV Interbrew","Vaartstraat 94",,,,,regional,
"Brasserie Blaugies","Rue de la Frontiere 435",,,,"(326) 565-0360",,
"Brasserie Cantillon S.p.r.l.","Rue Gheudestraat 56",,,,"(322) 521-4928",,
"Brasserie D Orval SA",,,,,"(326) 131-1261",,
"Brasserie de Brunehaut S.A.","Rue des Panneries 17-19",,,,"(326) 934-6411",,http://www.brunehaut.com
"Brasserie De Chimay","Route Charlemagne 8",,,,,large,
"Brasserie de l` Abbaye Notre-Dame de St. Remy A.s.","Route de Ciney 8",,,,"(328) 422-0147",,
"Brasserie De LAbbaye",,,,,"084 21 31 81",,
"Brasserie De LAbbaye Des Rocs","Chaussee Brunehaut 37",,,,065/75.99.76,,
"Brasserie De Silly","141 Ville Basse",,,,"068 55 16 95",,
"Brasserie De Silly S.A.","141A rue Ville Basse",,,,"(326) 855-1695",,http://www.silly-beer.com
"Brasserie des Fagues","Route de Nismes 26",,,,"(326) 031-1570",,http://www.brasseriedesfagues.be
"Brasserie Devaux","1 rue de l`Eglise Saint-Philippe",,,,"(327) 166-6347",,
"Brasserie Domus","Tiensestraat 8",,,,,,
"Brasserie du Bocq S.A.","4 rue de la Brasserie",,,,"(328) 261-0780",,http://www.bocq.be
"Brasserie Dubuisson","Chaussee de Mons 28",,,,"(326) 967-2221",,http://www.bush-beer.com
"Brasserie Dupont","Rue Basse 5",,,,"(326) 967-1066",,http://www.brasserie-dupont.com
"Brasserie Fantome","Rue Preal 8",,,,"(328) 647-7044",,
"Brasserie Friart","Rue d`Houdeng 220",,,,"(326) 466-2151",,
"Brasserie Gigi S.p.r.l.","Grand rue 96",,,,"(326) 357-7515",,
"Brasserie Haacht","Provincietsteenweg 28",,,,016-60.15.01,large,
"Brasserie La Ferme Au Chene","Rue Comte D`Ursel 115",,,,,,
"Brasserie Lefebvre","52 Rue Du Croly",,,,"067 67 07 66",,
"Brasserie Lefebvre S.A.","54 chemin du Croly",,,,"(326) 767-0766",,
"Brasserie M. Poncelet","Rue Charleville 72",,,,"(326) 158-8554",,
"Brasserie Moortgat","Breendonkoop 58",,,,,regional,
"Brasserie Palm S.A.","Steenhuffeldorp, 3",,,,,regional,
"Brasserie Piessens","Oostberg 52",,,,,,
"Brasserie Poncelet","72 Rue De Charleville",,,,"061 58 85 54",regional,
"Brasserie Timmermans S.A.","Dilbeek, Kerkstraat 11",,,,"+32 (2) 5690357/8",,
"Brasserie Vander Linden","Brouwerijstraat 2",,,,"02 356 50 59",,
"Brassico S.A.","Route De Wallonie 4",,,,"016 24 71 11",regional,
"Brewery De Halve Maan","Walplein 26",,,,,,
"Brewery Duvel Moortgat","Pastoor Somerslaan 28",,,,"32 (0)3 860 94 00",,
"Brewery Haacht NV","Provinciesteenweg 28",,,,,,
"Brewery Het ANKER Ltd.","Guido Gezellelaan 49",,,,"+323 15 20 38 80",regional,http://www.hetanker.be/dutch/brew-history.asp
"Brewery In Planning - Plancenoit",,,,,,planning,
"Brewery Moortgat","Breendonkdorp 58",,,,,regional,
"Brouwerij Bavik N.V.","Rijksweg 33",,,,"(325) 671-9091",,http://www.bavik.be
"Brouwerij Bockor N.V.","Kwabrugstraat 5",,,,"(325) 623-5171",,http://www.bockor.be
"Brouwerij Bosteels N.V.","Kerkstraat 92",,,,"(325) 233-2282",regional,
