name,address,city,state,zip,phone,type,url
"1977 Cerveja Artesanal","Rua Joao Calvino 76",,,,553183158878,micro,http://www.cerveja1977.com.br
"2cabeças Cervejas","Rua Hilário Ribeiro, 154 - Praça Da Band",,,,,contract,http://www.2cabecas.com.br
"A Toca Da Coruja","R Gal. Lima E Silva 1255 Cidade Baixa",,,,555132792072,micro,http://www.cervejacoruja.com.br/toca
Abadessa,"Avenida José Gertum, 470",,,,"55 51 3026-6789",micro,http://www.abade.com.br
"Aconchego Carioca","R. Barão De Iguatemi 379",,,,,,
"Amazon Beer","BOULERVARD CASTILHO FRANCA S/N ESTACAO DAS DOCAS",,,,+559132125401,micro,http://www.amazonbeer.com.br
"Ambev - Antarctica","Avenida Presidente Wilson 274",,,,"+55 11 24 31 000",large,
"Anner Bier","R Artur De Azevedo 162",,,,,,
"Antarctica (Companhia Brasileira De Bebidas)","R Maria Coelho Aguir 215",,,,,,
Artesamalt,"R. Monsenhor João Rodrigues 425",,,,,,
"Baden Baden",,,,,,,
"Baita Bier Cervejaria Ltda","Alberto Dresbach 306",,,,"(513) 594-1021",micro,
"Baldhead Cervejas Especiais","Travessa Nova Torent 79",,,,,,
"Baldhead Craft Beers","Rua Vítor Valpírio, 350 - Anchieta",,,,,micro,http://www.baldhead.com.br
Barbante,"Avenida Senhor Dos Passos 1531 - São Pedro",,,,"55 32 3231-2879",brewpub,http://www.cervejariabarbante.com.br
"Barco Brewers","Rua Moura Azevedo 237",,,,555130942734,micro,http://www.barcobrewers.com
"Barley Cervejaria","Rodovia RS Km23",,,,"(519) 982-3385",micro,http://www.barley.com.br
"Basement Cervejas Especialis Ltds.","Rua Victor Meirelles 761",,,,,,
"Bastards Brewery","Rua Paranavai 1142",,,,"(413) 557-2207",,http://www.bastardsbrewery.com.br
"Becker Dopke Brauerie","Rua Rui Barbosa 245",,,,"(513) 711-8024",,http://www.hbier.com.br
"Belco Beer House S/A","R. Amélia Barbieri Schincariol 10",,,,,,
"Berghain Cervejaria","Rua Pomeranos, 1752",,,,"55 47 96195755",micro,http://www.berghaincervejaria.com.br
"Bier Hoff","Rua Willian Booth, 2950",,,,"55 41 3093-0303",micro,http://www.bierhoff.com.br
"Bier Hoff Microcervejaria","Av. Sete De Setembro 2775",,,,,,
"Bierland Cervejaria","Rua Gustavo Zimmermann 5361",,,,"(433) 337-3100",micro,http://www.bierland.br
"Birra Legenda","R. Amelia Barbieri Schincariol 10",,,,,,
"Brasil Kirin","Av. Primo Schincariol 2300 C. Postal 195",,,,,,
"Brassaria Ampolis","Av. Nossa Senhora De Copacabana 728/402",,,,,,
"Brewery In Planning - Belo Horizonte",,,,,,planning,
"Brewery In Planning - Brazil","Via Das Papoulas 328",,,,,contract,
"Brewery In Planning - Rio De Janeiro",,,,,,planning,
"Brewery In Planning - Santa Maria",,,,,"55 55 99602908",planning,
"Brewery In Planning - Sao Paulo",,,,,,planning,
"Brewery in Planning - Sao Paulo",,,,,"55 11 99443 5225",planning,
"Brewery in Planning - SAO PAULO",,,,,5511999426499,planning,
"Brewery In Planning - Sao Paulo",,,,,"55 11 99443 5225",planning,
"Brewery in Planning - SAO PAULO",,,,,5511999426499,planning,
"Brewery in Planning - Sao paulo",,,,,5511999798841,planning,
"Brewery In Planning - Sao Paulo, Brazil",,,,,,planning,
"Bruderberg Handwerk Bier","Rua Pastor Ernesto Schlieper",,,,,micro,http://www.facebook.com/bruderberg
"Capistrana Cerveja Artesanal De Diamantina",,,,,553835318255,contract,http://www.cervejacapistrana.com
"Casa Di Conti","Avenida Maria Pagote Conte 888",,,,,,
"Casa Do Fritz","Avenida Das Mangueiras 518",,,,,,
"Cerpa - Cervejaria Paraense SA","Rua Da Consolacao 331 - 8 Andar",,,,"+259 5355",,
"Cerpa Cervejaria Paraense S/A","Rodovia Artur Bernardes 7699",,,,,,
"CERPASA Cervejaria Paraense Sa","Rodovia Arthur Berenardes 7699 Caiza Postal 744",,,,"(091) 231-6811",regional,
"Cerveceria Brahma De Sao Paulo","Estrada Da Barragem (Jaguari) Km. 12, No. 9577",,,,"(012) 351-4221",large,
"Cerveja Artesana J&S","Sítio Santa Rita Pirangi",,,,,,
