name,address1,address2,city,state,zip,phone,type,url
"1977 Cerveja Artesanal","Rua Joao Calvino 76","Belo Horizonte, Brazil",,,,553183158878,micro,http://www.cerveja1977.com.br
"2cabeças Cervejas","Rua Hilário Ribeiro, 154 - Praça Da Band","Rio De Janeiro, Brazil",,,,,contract,http://www.2cabecas.com.br
"A Toca Da Coruja","R Gal. Lima E Silva 1255 Cidade Baixa","Porto Alegre, Brazil",,,,555132792072,micro,http://www.cervejacoruja.com.br/toca
Abadessa,"Avenida José Gertum, 470","Porto Alegre, Brazil",,,,"55 51 3026-6789",micro,http://www.abade.com.br
"Aconchego Carioca","R. Barão De Iguatemi 379","Rio De Janeiro, Brazil",,,,,,
"Amazon Beer","BOULERVARD CASTILHO FRANCA S/N ESTACAO DAS DOCAS","BELEM, Brazil",,,,+559132125401,micro,http://www.amazonbeer.com.br
"Ambev - Antarctica","Avenida Presidente Wilson 274","Sao Paulo, Brazil",,,,"+55 11 24 31 000",large,
"Anner Bier","R Artur De Azevedo 162","Porto Alegre, Brazil",,,,,,
"Antarctica (Companhia Brasileira De Bebidas)","R Maria Coelho Aguir 215","São Paulo, Brazil",,,,,,
Artesamalt,"R. Monsenhor João Rodrigues 425","Contagem, Brazil",,,,,,
"Baden Baden",,", Brazil",,,,,,
"Baita Bier Cervejaria Ltda","Alberto Dresbach 306","Novo Hamburgo, Brazil",,,,"(513) 594-1021",micro,
"Baldhead Cervejas Especiais","Travessa Nova Torent 79","Porto Alegre, Brazil",,,,,,
"Baldhead Craft Beers","Rua Vítor Valpírio, 350 - Anchieta","Porto Alegre, Brazil",,,,,micro,http://www.baldhead.com.br
Barbante,"Avenida Senhor Dos Passos 1531 - São Pedro","Juiz De Fora, Brazil",,,,"55 32 3231-2879",brewpub,http://www.cervejariabarbante.com.br
"Barco Brewers","Rua Moura Azevedo 237","Porto Alegre, Brazil",,,,555130942734,micro,http://www.barcobrewers.com
"Barley Cervejaria","Rodovia RS Km23","Capela De Santana, Brazil",,,,"(519) 982-3385",micro,http://www.barley.com.br
"Basement Cervejas Especialis Ltds.","Rua Victor Meirelles 761","Videira, Brazil",,,,,,
"Bastards Brewery","Rua Paranavai 1142","Pinhais, Brazil",,,,"(413) 557-2207",,http://www.bastardsbrewery.com.br
"Becker Dopke Brauerie","Rua Rui Barbosa 245","Santa Cruz Do Sul , Brazil",,,,"(513) 711-8024",,http://www.hbier.com.br
"Belco Beer House S/A","R. Amélia Barbieri Schincariol 10","São Manuel, Brazil",,,,,,
"Berghain Cervejaria","Rua Pomeranos, 1752","Timbó, Brazil",,,,"55 47 96195755",micro,http://www.berghaincervejaria.com.br
"Bier Hoff","Rua Willian Booth, 2950","Curitiba, Brazil",,,,"55 41 3093-0303",micro,http://www.bierhoff.com.br
"Bier Hoff Microcervejaria","Av. Sete De Setembro 2775","Curitiba, Brazil",,,,,,
"Bierland Cervejaria","Rua Gustavo Zimmermann 5361","Blumenau, Brazil",,,,"(433) 337-3100",micro,http://www.bierland.br
