name,address,city,state,zip,phone,type,url
"Balkan Pivovaren Zavod","Industrialen Kvart",,,,"62 23 825",regional,
"Pivovaren Zavod Chaskovo","Severna Industrialna Zona",,,,"38 38 003",regional,
"Pivovaren Zavod Kamenica","Ul. Kapitan Rajtcho 95",,,,"32 22 20 05",regional,
"Pivovaren Zavod Kamenitza","95, Kapitan Raicho Str.",,,,"+359 32 632 005",regional,
"Pivovaren Zavod Ledenika",,,,,"910 23 75",regional,
"Pivovaren Zavod Ljulin","Bul. 9 Septemri 134",,,,"(359) 231-7180",regional,
"Pivovaren Zavod Pirinsko Pivo",,,,,"73 23 969",regional,
"Pivovaren Zavod Sumensko Pivo",,,,,"54 55 450",large,
"Pivovaren Zavod Varensko Pivo","Industrialen Kvart",,,,"52 44 57 85",regional,
"Pivovaren Zavod Zagorka",,,,,"42 26 048",regional,
"Pivovarna Fabrika DUNAV",,,,,"971 23 259",,
"Pivovarna Fabrika Kajika",,,,,"64 27 091",regional,
"Tcherno More Pivovaren Zavod,","Industrialen Kvart",,,,"56 68 50 59",,
