name,address1,address2,city,state,zip,phone,type,url
"Balkan Pivovaren Zavod","Industrialen Kvart","Veliko Tarnovo, Bulgaria",,,,"62 23 825",regional,
"Pivovaren Zavod Chaskovo","Severna Industrialna Zona","Chaskovo, Bulgaria",,,,"38 38 003",regional,
"Pivovaren Zavod Kamenica","Ul. Kapitan Rajtcho 95","Plovdiv, Bulgaria",,,,"32 22 20 05",regional,
"Pivovaren Zavod Kamenitza","95, Kapitan Raicho Str.","Plovdiv, Bulgaria",,,,"+359 32 632 005",regional,
"Pivovaren Zavod Ledenika",,"Mezdra, Bulgaria",,,,"910 23 75",regional,
"Pivovaren Zavod Ljulin","Bul. 9 Septemri 134","Sofia, Bulgaria",,,,"(359) 231-7180",regional,
"Pivovaren Zavod Pirinsko Pivo",,"Blagoevgrad, Bulgaria",,,,"73 23 969",regional,
"Pivovaren Zavod Sumensko Pivo",,"Sumen, Bulgaria",,,,"54 55 450",large,
"Pivovaren Zavod Varensko Pivo","Industrialen Kvart","Varna, Bulgaria",,,,"52 44 57 85",regional,
"Pivovaren Zavod Zagorka",,"Stara Zagora, Bulgaria",,,,"42 26 048",regional,
"Pivovarna Fabrika Kajika",,"Pleven, Bulgaria",,,,"64 27 091",regional,
