name,address,city,state,zip,phone,type,url
"101 North Brewing Company","1304 Scott St Ste D",Petaluma,CA,94954-7100,"(707) 778-8384",micro,http://www.101northbeer.com
"12 Bravo",,,,,,planning,
"2 Tread Brewing Co",,"San Francisco",CA,94131,,planning,http://www.2treadbrewing.com
"21st Amendment Brewery","563 2nd St","San Francisco",CA,94107-1411,"(415) 369-0900",brewpub,http://www.21st-amendment.com
"21st Amendment Brewery Cafe","2010 Williams Street","San Leandro",CA,94577-2334,"(415) 369-0900",micro,
"2Kids Brewing Company","8680 Miralani Dr Ste 123","San Diego",CA,92126-6391,"(858) 480-5437",micro,http://www.twokidsbrewing.com
"32 North Brewing Co","8655 Production Ave Ste A","San Diego",CA,92121-2258,"(714) 791-8973",micro,http://www.32northbrew.com
"Abnormal Beer Company","16990 Via Tazon Suite 123","San Diego",CA,92127-1649,"(858) 618-2463",brewpub,
"Absolution Brewing Co","2878 Columbia St",Torrance,CA,90503-3808,"(310) 490-4860",micro,http://www.absolutionbrewingcompany.com
"Acoustic Ales Brewing Experiment","1795 Hancock St Ste P1","San Diego",CA,92110-2006,,micro,http://www.acousticales.com
"Aftershock Brewing Co","28822 Old Town Front St Ste 107",Temecula,CA,92590-2723,"(951) 972-2256",micro,http://www.aftershockbrewingco.com
"Ale Industries","3096 E 10th St",Oakland,CA,94601-2960,"(925) 470-5280",micro,http://www.aleindustries.com
"AleSmith Brewing Co","9990 AleSmith Court","San Diego",CA,92126,"(858) 549-9888",micro,http://www.alesmith.com
"Almanac Beer Company","2325 3rd St Ste 202","San Francisco",CA,94107-3167,"(415) 992-3438",contract,http://www.almanacbeer.com
"Alosta Brewing Co","692 Arrow Grand Cir",Covina,CA,91722-2122,"(626) 470-7897",micro,http://www.alostabrewing.com
"Alpenglow Beer Co",,,,,,planning,http://www.buckwildbrew.com
"Alpha Acid Brewing Co","121 Industrial Road. Ste 12",Belmont,CA,94002-8208,,micro,http://www.alphaacidbrewing.com
"Alpine Beer Co","PO Box 2530",Alpine,CA,91903-2530,"(619) 445-2337",brewpub,http://www.alpinebrewing.com
"Altamont Beer Works","2402 Research Dr",Livermore,CA,94550-3850,"(925) 294-8970",micro,http://www.altamontbeerworks.com
"Alvarado Street Brewery & Grill","426 Alvarado St",Monterey,CA,93940-2711,,brewpub,http://www.alvaradostreetbrewery.com
"American Craft Brewers Co-op",,Carlsbad,CA,92011-4652,"(619) 888-3142",planning,
"American Dream Brewing",,"Thousand Oaks",CA,91360-5224,"(310) 780-5345",planning,http://americandreambrewing.com
"American River Brewing Co","11151 Trade Center Dr Ste 104","Rancho Cordova",CA,95670-6403,"(916) 508-0098",micro,
"Amplified Ale Works","4150 Mission Blvd Ste 208","San Diego",CA,92109-5054,"(650) 380-4220",brewpub,http://www.amplifiedales.com
"Anacapa Brewing Co","472 E Main St",Ventura,CA,93001-2627,"(805) 643-2337",brewpub,http://www.anacapabrewing.com
"Anaheim Brewery","336 S Anaheim Blvd",Anaheim,CA,92805-3830,"(714) 780-1888",micro,http://www.anaheimbrew.com
"Anchor Brewing Co","1705 Mariposa St","San Francisco",CA,94107-2334,"(415) 863-8350",regional,http://www.anchorbrewing.com
"Anderson Valley Brewing Co","PO Box 505",Boonville,CA,95415-0505,"(707) 895-2337",regional,http://www.avbc.com
"Angel City Brewery","216 S Alameda St","Los Angeles",CA,90012-4201,"(213) 622-1261",micro,http://www.angelcitybrewery.com
"Anheuser-Busch InBev – Fairfield","3101 Busch Dr",Fairfield,CA,94534-9726,"(707) 429-2000",large,
"Anheuser-Busch InBev - Los Angeles","15800 Roscoe Blvd","Van Nuys",CA,91406-1350,"(818) 989-5300",large,
"Arcana Brewing Company","5621 Palmer Way Ste C",Carlsbad,CA,92010-7254,,micro,http://www.arcanabrewing.com
"Area 51 Craft Brewery","7123 Arlington Ave Ste A",Riverside,CA,92503-1521,,micro,http://www.area51craftbrewery.com
"Armstrong Brewing Co","415 Grant Ave","San Francisco",CA,94108-3208,"(415) 745-2739",micro,http://www.armstrongbrewing.com
"Artifex Brewing Company","919 Calle Amanecer Ste A","San Clemente",CA,92673-6298,"(949) 429-7805",micro,http://www.artifexbrewing.com
"Arts District Brewing Company",,"Los Angeles",CA,90028-5304,,planning,
"Auburn Alehouse","289 Washington St",Auburn,CA,95603-5036,"(530) 885-2537",brewpub,http://www.auburnalehouse.com
"Automatic Brewing Co. / Blind Lady Alehouse","3416 Adams Ave","San Diego",CA,92116-2428,"(619) 200-7522",brewpub,http://www.blindlady.blogspot.com
"Aztec Brewing Company","2330 La Mirada Dr Ste 300",Vista,CA,92081-7871,"(800) 706-7720",micro,http://www.aztecbrewery.com
"Babe's Bar-B-Que and Brewhouse","71800 Highway 111 Ste A176","Rancho Mirage",CA,92270-4495,"(760) 346-8738",brewpub,
"Back Street Brewery/Lamppost Pizza","3002 Dow Ave Ste 414",Tustin,CA,92780-7236,"(714) 731-6171",brewpub,http://www.lamppostpizza.com
"Back Street Brewery/Lamppost Pizza","15 Main St Ste 100",Vista,CA,92083-5800,"(760) 407-7600",brewpub,http://www.lamppostpizza.com
"Back Street Brewery/Lamppost Pizza","14450 Culver Dr Ste E",Irvine,CA,92604-0300,"(949) 857-0160",brewpub,http://www.lamppostpizza.com
"Back Street Brewery/Lamppost Pizza","78772 Highway 111","La Quinta",CA,92253-2044,"(760) 564-4568",brewpub,http://www.lamppostpizza.com
"Baeltane Brewing","401 Bel Marin Keys Blvd Ste B",Novato,CA,94949-5645,"(415) 883-2040",micro,http://www.baeltanebrewing.com
"Bagby Beer Company","601 S Coast Hwy",Oceanside,CA,92054-4120,,micro,http://www.bagbybeer.com
"Ballast Point Brewing & Spirits","9045 Carroll Way","San Diego",CA,92121-2405,"(858) 695-2739",regional,http://www.ballastpoint.com
"Ballast Point Brewing & Spirits - Scripps Ranch",,"San Diego",CA,92131,"(858) 695-2739",planning,
"Ballast Point Brewing Co / Home Brew Mart","5401 Linda Vista Rd Ste 406","San Diego",CA,92110-2402,"(619) 851-7681",micro,http://www.ballastpoint.com
"Ballast Point Tasting Room & Kitchen - Little Italy","2215 India St","San Diego",CA,92101-1725,"(619) 255-7213",brewpub,http://www.ballastpoint.com
"Bang the Drum Brewery","950 Orcutt Rd","San Luis Obispo",CA,93401-6740,"(805) 242-8372",micro,http://www.bangthedrumbrewery.com
"Barebottle Brewing Company",,"San Francisco",CA,94114-3173,"(650) 714-0506",planning,
"Barley Forge Brewing","2957 Randolph Ave Ste B","Costa Mesa",CA,92626-4375,"(714) 641-2084",micro,http://www.barleyforge.com
"Barn Brewery","2580 El Cajon Blvd Ste 3","San Diego",CA,92104-1118,,micro,http://www.thebarnbrew.com
"Barrel Harbor Brewing Co.","2575 Pioneer Ave Ste 104",Vista,CA,92081-8450,"(810) 599-0000",micro,http://www.barrelharborbrewing.com
"Barrel Head Brewhouse","1785 Fulton Street","San Francisco",CA,94117,,brewpub,http://www.barrelheadsf.com
"Barrelhouse Brewing","3055 Limestone Way","Paso Robles",CA,93446-5988,"(805) 296-1128",micro,http://www.barrelhousebrewing.com
"Bartlett Hall","242 O'Farrell St","San Francisco",CA,94102-2119,"(415) 433-4332",brewpub,http://www.bartletthallsf.com
"Beach Chalet Brewing Co","1000 Great Hwy","San Francisco",CA,94121-3268,"(415) 386-8439",brewpub,http://www.beachchalet.com
"Beach City Brewery","7631 Woodwind Dr Ste B","Huntington Beach",CA,92647-7117,"(714) 425-4756",micro,http://www.beachcitybrewery.com
"Beachwood BBQ & Brewing","210 E 3rd St Ste A","Long Beach",CA,90802-3197,"(562) 436-4020",brewpub,http://www.beachwoodbbq.com
