name,address1,address2,city,state,zip,phone,type,url
"2 Crows Brewing Co","1932 Brunswick Street","Halifax, Canada",,,,"(902) 422-0222",,http://www.2crowsbrewing.com
"33 Acres Brewing Company","15 W 8th Ave","Vancouver, Canada",,,,"(604) 620-4589",brewpub,http://www.33acresbrewing.com
"4 Mile Brewing Co",,"Victoria, Canada",,,,,planning,
"4 Mile Brewing Company","199 Island Highway","Victoria, Canada",,,,"(250) 479-3346",,http://www.4milebrewingco.com
"5 Paddles Brewing Company","1390 Hopkins Street Unit 3","Whitby, Canada",,,,"(905) 665-3042",micro,http://www.5paddlesbrewing.com
"9 Mile Legacy Brewing","229 20 St W","Saskatoon, Canada",,,,,brewpub,
"A l`Abri de la Tempete","286 Chemin Coulombe","L`Etang-du-Nord, Canada",,,,"(418) 986-5005",micro,http://www.alabridelatempete.com
"Adventureland Ales",,"Kelowna, Canada",,,,1-778-214-1743,planning,
"Ala Bride De La Tempete","286 Ch. Companyulombe","Etang-du-nord, Canada",,,,"(418) 937-6484",,
"Alexander Keiths Brewery","1496 Lower Water St","Halifax, Canada",,,,"(902) 455-1474",micro,http://www.keiths.ca
"Alexander Keith's Pilot Brewery","1496 Lower Water Street","Halifax, Canada",,,,,,
"All Or Nothing Brewhouse","1156 Speers Rd","Oakville, Canada",,,,"(905) 337-0133",micro,http://www.allornothing.beer
"Alley Kat Brewing Co","9929 60 Ave NW","Edmonton, Canada",,,,"(780) 436-8922",micro,http://www.alleykatbeer.com
"Amber`s Brewing Co","9926 - 78 Avenue NW","Edmonton, Canada",,,,"(780) 628-2305",micro,http://www.ambersbrewing.com
"Ambleside Brewing Co","1531 Clyde Ave","W Vancouver, Canada",,,,"(604) 926-6636",,http://www.amblesidebrewing.com/
"Amsterdam Brewing Co","45 Esandar Dr","Toronto, Canada",,,,"(416) 504-1040",regional,http://www.amsterdambeer.com
"Andina Brewing Company Inc.","1507 Powell Street","Vancouver, Canada",,,,"(604) 253-2400",micro,http://www.andinabrewing.ca
"Another Beer Company Inc.",,"New Westminster, Canada",,,,,planning,http://anotherbeerco.com
"Archibald Microbrasserie","1021 Blvd du Lac","Lac-Beauport, Canada",,,,"(418) 841-2224",micro,
"Ashton Brewing Company","113-159 Old Mill Road","Beckwith, Canada",,,,"(613) 257-4423",brewpub,http://www.ashtonbrewpub.ca
"Avling Brewery",,"Toronto, Canada",,,,,planning,
"Axe & Barrel Brewing Company","2323 Millstream Ave","Victoria, Canada",,,,"(250) 474-1989",brewpub,http://www.axeandbarrel.com/
"Bad Tattoo Brewing","169 Estrabrook Ave","Penticton, Canada",,,,"(250) 493-8686",brewpub,
"Banded Goose Brewing Company","31 Division Street South","Kingsville, Canada",,,,"(519) 733-6900",brewpub,http://www.jacksgastropub.com
"Banff Ave Brewing Company","110 Banff Ave 2nd Floor Clocktower Village Mall","Banff, Canada",,,,"(403) 762-1003",,http://www.banffavebrewingco.ca
"Bar Volo","28 Dundonald St, Suite 1","Toronto, Canada",,,,"(416) 920-2434",brewpub,http://www.barvolo.com
"Baril Roulant","1430 Rue De L'Académie","Val-David, Canada",,,,"(819) 322-2280",micro,http://barilroulant.com/
"Barkerville Brewing Co.","185 Davie St","Quesnel, Canada",,,,"(778) 414-2739",micro,
"Barley Days Brewery","13730 Loyalist Pkwy","Prince Edward, Canada",,,,"(613) 476-7468",micro,
"Barley Mill Brew Pub","6155 Rochdale Blvd","Regina, Canada",,,,"(306) 949-1500",brewpub,
"Barley Mill Brewpub, The","2460 Skaha Lake Road","Penticton, Canada",,,,"(250) 493-8000",brewpub,http://www.barleymillpub.com
"Barley Station Brew Pub","20 Shuswap St. N","Salmon Arm, Canada",,,,"(250) 832-0999",brewpub,http://www.barleystation.com
"Barley Station Brewpub","20 Shuswap Street N","Salmon Arm, Canada",,,,"(250) 832-0999",brewpub,http://www.barleystation.com
"Barn Hammer Brewing Co","595 Wall St","Winnipeg, Canada",,,,1-204-951-7354,,http://barnhammerbrewing.ca
"BarNone Brewery and Hop Farm","4248 Route 225","Breadalbane, Canada",,,,"(902) 394-6897",micro,
"Barnside Brewing Co.","6545 60th Ave","Delta, Canada",,,,"(604) 313-9505",micro,
"Barnstormer Brewing","384 Yonge Street Unit 3","Barrie, Canada",,,,"(705) 481-1701",brewpub,http://www.barnstormerbrewing.com
"Bayside Brewing Company",,"Erieau, Canada",,,,"(519) 676-1888",planning,http://www.baysidebrewing.com
"Beau's All Natural Brewing Co","10 Terry Fox Dr","Vankleek Hill, Canada",,,,"(613) 678-2799",micro,http://www.beaus.ca
"Bedford Brewing","776 Fairview Rd","Victoria, Canada",,,,"(250) 995-2337",,http://www.bedfordbrewing.com
"Bedondaine & Bedons Ronds","255 Rue Ostiguy","Chambly, Canada",,,,"(450) 447-5165",micro,http://www.bedondaine.com
"Belgh Brasse","8 De La Brasserie","Amos, Canada",,,,"(819) 442-3839",micro,http://www.belghbrasse.com
"Bellwood's Brewery","124 Ossington Ave","Toronto, Canada",,,,"(416) 535-4586",brewpub,http://www.bellwoodsbrewery.com
"Bench Brewing Company",,"Oakville, Canada",,,,,planning,
"Bench Creek Brewing","53527 Rge Rd 181A","Yellowhead County, Canada",,,,78051770008,micro,http://www.benchcreekbrewing.com
"Benelux Brasserie Artisanale et Cafe","245 Rue Sherbrooke W","Montréal, Canada",,,,"(514) 543-9750",brewpub,http://brasseriebenelux.com
"Better Bitters Brewing Co","864 Drury Lane","Burlington, Canada",,,,"(905) 966-1471",micro,http://www.nickelbrook.com
"Beyond the Pale","250 City Centre Ave","Otawa, Canada",,,,"(613) 695-2991",micro,http://www.beyondthepale.ca
"Bicycle Craft Brewery","850 Industrial Ave #12","Ottawa, Canada",,,,"(613) 733-2337",micro,http://www.bicyclecraftbrewery.ca
"Bierbrier Brewing Inc","1250 Rene-Levesque West Suite 2200","Montreal, Canada",,,,"(514) 933-7576",micro,http://www.bierbrier.com
"Big Axe Brewery","519 Otis Dr","Nackawic, Canada",,,,"(506) 575-1093",micro,http://www.bigaxe.ca
"Big Ridge Brewing Co","5580 152 St","Surrey, Canada",,,,"(604) 574-2739",brewpub,
"Big Ridge Brewing Company","5580 152 St","Surrey, Canada",,,,"(604) 574-2739",brewpub,http://www.mjg.ca/big-ridge
"Big Rig Brewery","2750 Iris Street","Ottawa, Canada",,,,"(613) 688-3336",micro,
"Big River Brewing Co","14200 Entertainment Way, #180","Richmond, Canada",,,,"(604) 271-2739",micro,
"Big Rock Brewery Ltd","5555 76th Ave SE","Calgary, Canada",,,,"(403) 720-3239",regional,http://www.bigrockbrewery.com
"Big Surf Beer Co","8860 Jim Bailey Cres","Kelowna, Canada",,,,"(778) 480-5530",,
"Big Tide Brewing Company","47 Princess St","Saint John, Canada",,,,"(506) 214-3311",brewpub,http://www.bigtidebrew.com
"Bistro Brasserie Les Soeurs Grises","32 Rue McGill","Montreal, Canada",,,,"(514) 788-7635",brewpub,http://www.bblsg.com
"Bistro L'Autre Oeil","55 Rue Principale","Gatineau, Canada",,,,"(819) 682-1221",micro,http://www.lautreoeil.com
"Black Bridge Brewery Ltd","295 Alexander Drive P.O. Box 445","Swift Current, Canada",,,,13067734404,micro,http://www.blackbridgebrewery.ca
"Black Creek Historic Brewery","1000 Murray Ross Pkwy","Toronto, Canada",,,,"(416) 736-1733",brewpub,http://www.blackcreekbrewery.ca
"Black Kettle Brewing Co","720 Copping St","North Vancouver, Canada",,,,"(604) 987-9989",,
"Black Magic Brewing",,"West Kelowna, Canada",,,,,planning,
"Black Oak Brewing Co","75 Horner Ave","Toronto, Canada",,,,"(416) 252-2739",micro,http://www.blackoakbeer.com
"Black Swan Brewing Company","144 Downie St","Stratford, Canada",,,,"(519) 814-7926",micro,http://www.blackswanbrewing.ca
"Blind Enthusiasm Brewing Company",,"Edmonton, Canada",,,,+1-780-699-8862,planning,http://www.blindenthusiasm.ca
"Blindman Brewing","Bay F - 3413 53 Avenue","Lacombe, Canada",,,,"(403) 786-2337",micro,http://www.blindmanbrewing.com
"Block Three Brewing Company","1430-2 King Street North","St. Jacobs, Canada",,,,"(519) 664-1001",micro,
"BNA Brewing Company","1250 Ellis St.","Kelowna, Canada",,,,"(236) 420-0025",brewpub,http://www.bnabrewing.com
"Bobcaygeon Brewing Company","1 Fallingbrook Woods","Toronto, Canada",,,,"(705) 243-7077",contract,http://bobcaygeonbrewing.ca
"Bomber Brewing Co.","1488 Adanac St","Vancouver, Canada",,,,"(604) 428-7457",micro,http://www.bomberbrewing.com
"Bone Brewing Co","4-8860 Jim Bailey Cres","Kelowna, Canada",,,,,,
"Bonzzinis Brewpub","4634 Albert St","Regina, Canada",,,,"(306) 586-3553",brewpub,
Boquebiere,"50 Rue Wellington Nord","Sherbrooke, Canada",,,,"(819) 542-1311",brewpub,http://www.boquebiere.com
"Bowen Island Brewing Co","965 McGill Pl","Kamloops, Canada",,,,"(250) 851-2543",contract,http://www.bowenislandbeer.com
"Boxing Rock Brewing Company","78 Ohio Rd","Shelburne, Canada",,,,"(902) 494-9233",micro,http://www.boxingrock.ca
"Brasserie Artisanale & Bistro / Reservoir","9 DuLuth Est","Montreal, Canada",,,,"(514) 849-7779",brewpub,http://www.brasseriereservoir.ca
"Brasserie Artisanale Albion","408 Boul Manseua","Joliette, Canada",,,,"(450) 759-7482",,http://www.brasseriealbion.com
"Brasserie Artisanale La Succursale","318 Rue Mason","Montreal, Canada",,,,"(514) 508-1615",,http://www.lasuccursale.com
"Brasserie Artisanale Le Saint Graal","32 Rue Turgeon","Sainte-Thérèse, Canada",,,,45081816039,brewpub,http://www.saintgraal.ca
"Brasserie Belgh Brasse","8 rue de la Brasserie","Amos, Canada",,,,"(819) 732-6519",micro,
"Brasserie Bierbrier","370 Rue Guy G9","Montreal , Canada",,,,,,
"Brasserie Dieu Du Ciel","29 Laurier Ouest","Montreal, Canada",,,,"(514) 490-9555",brewpub,http://www.dieuduciel.com
"Brasserie Dieu Du Ciel","259 rue de Villemure","Saint Jerome, Canada",,,,"(514) 490-9555",micro,http://www.dieuduciel.com
"Brasserie Dunham","3809 Rue Principale","Dunham, Canada",,,,"(450) 295-1500",micro,http://www.brasseriedunham.com
"Brasserie La Korrigane","380 Rue Dorchester","Quebec, Canada",,,,"(418) 614-0932",brewpub,http://www.korrigane.ca
"Brasserie Le Cardinal","5420 Martineau","St-Hyacinthe, Canada",,,,"(800) 945-1934",brewpub,http://www.lecardinal-brasserie.ch
"Brasserie Le Chaudron","107 Boulevard De Bromont","Bromont, Canada",,,,"(450) 534-0001",micro,
"Brasserie Le Trou Du Diable","412 Avenue Willow","Shawinigan, Canada",,,,"(819) 537-9151",brewpub,http://www.troududiable.com
"Brasserie McAuslan","5080 rue St Ambroise","Montreal, Canada",,,,"(514) 939-3060",regional,http://www.mcauslan.com
"Brasserie New Deal Brewery Co.","1500 Nobel Street","Boucherville, Canada",,,,"(514) 312-3035",micro,http://www.brasserie-newdeal.com
"Brasserie Saint-Antoine-Abbe","3299 QC-209","Franklin, Canada",,,,"(450) 826-4609",brewpub,http://www.brasserie-saint-antoine-abbe.com
"Brasserie Tchèquebec","4245 Route Marie-Victorin","Contrecoeur, Canada",,,,"(450) 587-2122",micro,
"Brasseries BVM du Canada","6729 Avenue De L`Esplanade","Montreal, Canada",,,,"(514) 908-2337",micro,
"Brasseurs De Montreal Inc","1485 Ottawa St","Montreal, Canada",,,,"(514) 788-4500",brewpub,
"Brasseurs Du Monde","3755 Rue Picard Porte 2","Saint-Hyacinthe, Canada",,,,"(450) 250-2611",micro,http://www.brasseursdumonde.ca
"Brasseurs et Freres","3809 rue Principale","Durham, Canada",,,,"(450) 247-2393",micro,http://www.betf.ca
"Brasseurs GMT","5585 Rue De La Roche","Montreal, Canada",,,,"(514) 274-4941",micro,
"Brasseurs Illimites","385 Rue Du Parc","Saint-Eustache, Canada",,,,"(450) 598-1363",micro,http://www.brasseursillimites.com
"Brasseurs Petit Sault","45 De L'Eglise St","Edmundston, Canada",,,,"(506) 733-1313",micro,http://www.petitsault.com
"Brasseurs RJ","5585 Rue de la Roche","Montreal, Canada",,,,"(514) 274-4941",regional,http://www.brasseursrj.com
"Brasseurs San Gluten","2350 Dickson","Montreal, Canada",,,,"(514) 933-2333",micro,http://www.brasseurssansgluten.com
"Brassneck Brewery","2148 Main St.","Vancouver, Canada",,,,"(604) 259-7686",,
"Brassuer De Montreal Brewing Company","1483 Ottawa","Montreal, Canada",,,,"(514) 788-4500",brewpub,http://www.brasseurdemontreal.com
"Brazen Hall Brewery","800 Pembina Hwy","Winnipeg, Canada",,,,"(204) 453-7980",brewpub,http://www.brazenhall.ca
"Brew Brothers Brewing Co","PO Box 82015 RPO Scarboro 607 - 11th Avenue SW","Calgary, Canada",,,,"(403) 258-2739",micro,
"Brewery in Planning - Calgary",,"Calgary, Canada",,,,"(403) 861-3529",planning,
"Brewery in Planning - Calgary",,"Calgary, Canada",,,,,planning,
"Brewery In Planning - Calgary",,"Calgary, Canada",,,,,planning,
"Brewery In Planning - Calgary",,"Calgary, Canada",,,,,planning,
"Brewery In Planning - Calgary",,"Calgary, Canada",,,,,planning,
"Brewery In Planning - Charlottetown",,"Alma, Canada",,,,,planning,
"Brewery in Planning - Kelowna",,"Kelowna, Canada",,,,"(250) 575-0787",planning,http://www.wildambition.beer
"Brewery in Planning - Mississauga",,"Mississauga, Canada",,,,"(647) 284-3956",planning,
"Brewery in Planning - Ottawa",,"Ottawa, Canada",,,,"(613) 882-8648",planning,http://www.kairosene.com
"Brewery In Planning - Ottawa","190 Colonnade Road Unit #17","Ottawa, Canada",,,,"(613) 863-8798",micro,http://nitabeer.com
"Brewery In Planning - Saint-Jacques",,"Saint-Jacques, Canada",,,,"(506) 737-3836",planning,
"Brewsters Brewing Co.","2335 111 Street","Edmonton, Canada",,,,"(780) 429-4677",regional,http://www.brewstersbrewingco.com
"Brewsters Brewing Co. - Crowfoot Crossing","25 Crowfoot Terrace NW","Calgary, Canada",,,,"(403) 208-2739",brewpub,http://www.brewstersbrewingco.com
"Brewsters Brewing Co. - Eau Clair Market","101 Barclay Parade SW","Calgary, Canada",,,,"(403) 233-2739",brewpub,http://www.brewstersbrewingco.com
"Brewsters Brewing Co. - Eleventh Ave","834 11th Ave SW","Calgary, Canada",,,,"(403) 265-2739",contract,http://www.brewstersbrewingco.com
"Brewsters Brewing Co. - Foothills","5519 53rd Street SE","Calgary, Canada",,,,"(403) 723-2739",brewpub,http://www.brewstersbrewingco.com
"Brewsters Brewing Co. - Lake Bonavista","25 Crowfoot Terrace NW","Calgary, Canada",,,,"(403) 225-2739",brewpub,http://www.brewstersbrewingco.com
"Brewsters Brewing Co. - Lakeside Landing","15327 Castledowns Road","Edmonton, Canada",,,,"(403) 208-2739",brewpub,http://www.brewstersbrewingco.com
"Brewsters Brewing Co. - Landmark","4180 Albert St.","Regina, Canada",,,,"(306) 757-2739",brewpub,http://www.brewstersbrewingco.com
"Brewsters Brewing Co. - Meadowlark","15820 87th Avenue","Edmonton, Canada",,,,"(780) 421-4677",brewpub,http://www.brewstersbrewingco.com
"Brewsters Brewing Co. - Normanview","480 North McCarthy Blvd","Regina, Canada",,,,"(306) 522-2739",brewpub,http://www.brewstersbrewingco.com
"Brewsters Brewing Co. - Oliver Square","11620 104th Ave","Edmonton, Canada",,,,"(780) 482-4677",brewpub,http://www.brewstersbrewingco.com
