name,address1,address2,city,state,zip,phone,type,url
"Brewery in Planning - Arica",,"Arica, Chile",,,,,planning,
"Brewery in Planning - Santiago",,"Santiago, Chile",,,,,planning,
"Casa Cervecera Puerto Montt","Alberto Peters Hitschfeld Chainquihue Alto Km 15","Puerto Montt, Chile",,,,,contract,http://www.ccpm.cl
"Cervecera Cuello Negro SpA.","German Saelzer 41","Valdivia, Chile",,,,56632218545,micro,http://www.cuellonegro.cl
"Cervecera d’Olbek","Avenida Gral. Baquedano 1899 Interior Coyhaique,","XI Region, Chile",,,,"(566) 723-2947",micro,http://www.dolbek.cl
"Cervecera del Norte","Av Arturo Prat 889, Dpto 42","Iquique, Chile",,,,"(565) 751-5903",micro,
"Cervecera Del Puerto","Blanco 1136","Valparaiso, Chile",,,,"56 32 2231598",micro,http://www.cerveceradelpuerto.com
"Cervecera Kunstmann S.A","Ruta T-250 No 950","Valdivia, Niebla, Chile",,,,"(566) 322-2570",regional,http://www.cerveza-kunstmann.cl
"Cerveceria Calle-Calle","Casilla 1351","Valdivia, Chile",,,,,micro,
"Cerveceria Capital",,", Chile",,,,,brewpub,http://www.cervezacapital.cl
"Cerveceria Chile SA","Panamericana Norte 9600, Quilicura","Santiago, Chile",,,,"2 623 4023",regional,
"Cerveceria Del Mar",,"Pichilemu, Chile",,,,56982489180,planning,http://www.viejolobo.cl
"Cerveceria Kunstmann Limitada","Ruta T 350 nro 950","Valdivia , Chile",,,,56632292969,brewpub,http://www.cerveza-kunstmann.com
"Cerveceria Principal S.A.","Hernando De Aguirre 128 Of 405 Providenc","Santiago, Chile",,,,56998866981,contract,http://www.cerveceriaprincipal.cl
"Cerveceria Unidas","Vitacura 2670","Las Condes. Santiago, Chile",,,,,contract,
"Cerveceria Y Embotelladora Pol","Patagona 508-Casilla 64","Punta Arenas, Chile",,,,"(219) 742-4696",large,
"Cervecerias Unidas SA","Vitacura 2670","Las Condes, Santiago, Chile",,,,"(562) 427-3000",large,http://www.ccu.cl
"Cervejaria Unidas","Ahumada 131, 2nd Flr","Santiago, Chile",,,,,large,
"Cerveza Austral.","Patagona 508","Punta Arenas, P.A., Chile",,,,,micro,http://www.cervezaaustral.cl
"Cerveza Crater","Cervecera Lago Villarrica Por Commercial El Gauchuto","Blanco 1136, Valpraiso, Chile",,,,,contract,
"Cerveza Los Colonos","Sco. Cervecera Toloral Ltda. Km 4, Camino Llanquihue","Toloral – X Region, Chile",,,,,micro,
"Cerveza SZOT","Camino A Melipilla 7061","Talagante, Chile",,,,"(569) 436-9493",micro,
"Cerveza Yakima","Paris 824","Santiago, Chile",,,,,micro,http://www.cervezayakima.cl
"Chester Beer Brewing Company","Linea Nueva 93","Puerto Varas, Chile",,,,56965195684,micro,http://www.chesterbeer.cl
"Cia. Cerveceria Unidas Sa","Calle Paseo Ahumada 131 Casilla 1977","Santiago, Chile",,,,,large,
"Comercial Olmue",,"Santiago, Chile",,,,0056998495867,planning,
"Del Puerto","Blanco 1136","Valparaiso, Chile",,,,56977191134,micro,http://www.cerveceradelpuerto.cl
"Embottelladoros Polar, SA","Patagona #508 Punta Arenas","Santiago, Chile",,,,"(566) 124-7048",,
"J. Bello Cerveza Artesenal",,"Valdivia, Chile",,,,"(566) 324-6751",micro,
"Los Andes Brewpub","Casilla 6","Valdivia, Chile",,,,,,
"Microcerveceria Craft","Las Aaraucarias 2546, Independencia","Santiago, Chile",,,,,micro,http://www.cerveceriacraft.cl
"Microcervecerias sudamericanas s.a.","espoz 2334","Santiago, Chile",,,,228-6755,,http://www.brewtop.c.cl
"Southern Brewing Co. SA","Avenida Santa Maria 5888","Santiago, Chile",,,,,micro,
Tropera,"Paseo Horn 47-D","Coyhaique, Chile",,,,,micro,
Valbier,,", Chile",,,,"+ (63) 27 45 45.",micro,http://www.valbier.cl
