name,address,city,state,zip,phone,type,url
"BAOJI BREWERY","RAILWAY StATION LUOZHEN",,,,"0917 2072",regional,
"Beijing Brewery","32 Baiziwan Rd Chaoyand District",,,,"01 783031",regional,
"Beijing Yanjing Brewery Co., Ltd","9 Shuange Road Shunyi",,,,"+86 10 894 93388",large,http://www.yanging.com.cn
"Benxi Brewery",Niuxintai,,,,,regional,
"Boxing Cat Brewery","82 West FuXing Lu",,,,,micro,
"Bradley's Restaurant & Brewery","No. 33 Middle Sichwan Lv 1/F",,,,,,
"Brautechnische Academy","Wuhan Shi Bailing",,,,,,http://www.brauschle.com.cn
"Brewery In Planning - Beijing",,,,,,planning,
"Brewery in Planning - Wuhan",,,,,8613618614065,planning,
"Carlsberg Brewery (Guangdong) Ltd.","28 Eling South Road",,,,"+ 86 20 8669 5241",large,
"Changchun Brewery","28 Tiebei 2nd Rd",,,,"0431 38456",regional,
"China Beverage And Food Stuffs","11th Flr, Jingyin Bldg 2A Dong San Huan North Rd",,,,"(861) 466-0838",,
"CHONGQING BREWERY",SHIJIAOPU,,,,"(081) 181-1557",regional,
"Daifeng Brewery","Jiuchang Rd",,,,"0378 3193",regional,
"Dalian Brewery","545 Malancun, Shahekou Dist",,,,"(041) 140-4436",regional,
"Dier Yanjing Brewery","Mapoxiang, Shunyi County",,,,"01 752 6936",regional,
"FG Fine Foods",,,,,"(858) 459-5710",planning,
"Golden Hans Chain Restaurant Mngmnt Co, Ltd","RM2004, TowerA, Fortune Center, Ao city HongJunYing Sth Rd",,,,0086-10-84932683,brewpub,http://www.goldenhans.com
"Great Leap Brewing","Ziming Mansion, Unit 215, Xinzhong St B1",,,,8613552237655,brewpub,http://www.greatleapbrewing.com
"GUANGDONG QIANGLI BREWERY","16 LIXIN St",,,,"07652 3364",regional,
"Guangzhou Brewery","63 Xizhen Rd",,,,"(208) 650-9983",,
"Guangzhou San Miguel Brewery","63 Xizeng Rd, Xicun C",,,,"+86 20-6509983",,
"Hainan Asia Pacific Breweries Co Ltd.","PO Box 5076 Baipo P.O. Del. Grp.",,,,,,
"Hangzhou Brewery","117 Xixi Rd",,,,"0571 81414",regional,
"Harbin Hande (Group) Co.","20 Tian Shun St Mall Nan Gang Dist Harbin",,,,"+86 451 2309736",,
"Harbin Songjiang Brewery","No. 20 Youfang Street Xiangfáng Qu",,,,"(045) 128-1319",regional,
"HB-L Beverage Co Ltd","Hangzau Brewery, Danbrew",,,,"(043) 422-6248",large,
"Hefei Brewery","Shushan Rd",,,,"0551 60173",regional,
"Huinan Brewery","Tianda Rd",,,,"0554 3168",regional,
"Huizhou Brewing Co. Ltd","28 Elin South Rd Huizhou City",,,,86-752-260933,large,
"Jilin Brewery","6 Qingdao Rd",,,,"0432 26130",regional,
"Jing-A Brewing Co.","1949 The Hidden City, Courtyard 4 Gongti Beilu, Chaoyang District",,,,"+86 13910612493",brewpub,http://www.capitalbrew.com
"Jingmen Brewery","83 Beijun Avenue",,,,"(072) 673-2314",regional,
"KUNMING BREWERY","NORTH SUBURT",,,,"0871 29125",regional,
"Mudanjiang Brewery","1 Dongxinyong St",,,,"0453 24866",regional,
"NANNING GENERAL BREWERY","XINYANG ROAD",,,,"0771 33571",regional,
"PandaBrew Beer","No.107 Building B, BDK, Dongsi Beidajie",,,,86(0)1057426086,proprietor,http://www.pandabrew.cn
"Qingdao Brewery","56 Dengzhou Rd",,,,"(053) 233-4047",regional,
"Qinhuangdao Shanhaiguang Brewy","Menjiadian, Gaojianxiang",,,,"0335 52298",regional,
"Rudong County Distillery","2 Tanqinqiaowai Juegang Town",,,,412011,micro,
"Shandong Linyi Brewery","Lubei Jiefang Rd West Section",,,,3213,regional,
"Shanghai Mingle Beer And Drink","938 Zhumei Rd",,,,"(021) 492-2830",regional,
"Shenyang Brewery","12 Section 1 Jianshe E Rd Teixi District",,,,"024 453287",regional,
"Shijiazhuang Grewery","23 Beivaihuan W Rd",,,,"0311 22788",regional,
"Slow Boat Brewery",,,,,,planning,
"Suqian Brewery","Fandhuang Rd",,,,213626,regional,
"Taian Brewery","Taiwen Rd",,,,,regional,
"TaiHuShui Wuxi Brewery Co Ltd.","No. 5 Bridge Mawei",,,,,,http://www.lion-nathan.com.cn
"Tainjin Bojai Brewery","East Of Jangou Station Beijiao District",,,,"022 590408",,
"Taps Brewpub Shenzhen","Shop 136, Zhiwu Rd, Junhui Xintian Garde",,,,"86 18688955002",brewpub,http://www.tapsbeer.cn
"Xiamen Brewery","823 Xiahe Rd",,,,"(059) 222-3793",regional,
"XIAN BEER & DRINKS GENERAL FAC","1 PIJIU ROAD",,,,"(862) 972-2246",,
"Yantai Platinum Brewery","#89-2-6, Huanhai Road",,,,,,
"Zhanjing Zhujiang Brewery Co, Ltd.","28 Shuanggang Street Chigang District",,,,,micro,
"ZHAOQING BREWERY",SANRONGXIA,,,,"(075) 822-2479",regional,
"Zhejiang Aianjiang Brewery","Xiaoshan County",,,,"(058) 122-2122",regional,
"Zhi Jiang Brewery","No. 118 Modiesha Avenue East Xing Road",,,,,regional,
