name,address1,address2,city,state,zip,phone,type,url
"BAOJI BREWERY","RAILWAY StATION LUOZHEN","Baoji, China",,,,"0917 2072",regional,
"Beijing Brewery","32 Baiziwan Rd Chaoyand District","Beijing, China",,,,"01 783031",regional,
"Beijing Yanjing Brewery Co., Ltd","9 Shuange Road Shunyi","Beijing, China",,,,"+86 10 894 93388",large,http://www.yanging.com.cn
"Benxi Brewery",Niuxintai,"Benxi, China",,,,,regional,
"Boxing Cat Brewery","82 West FuXing Lu","Xuhui, China",,,,,micro,
"Bradley's Restaurant & Brewery","No. 33 Middle Sichwan Lv 1/F","Shanghai, China",,,,,,
"Brautechnische Academy","Wuhan Shi Bailing","Wuchang, China",,,,,,http://www.brauschle.com.cn
"Bravo Brewing Co.","Unit 114-115, No. 6 Huajiu Road, Zhujian","Guangzhou, China",,,,8620-38093309,brewpub,
"Bravo Brewing Company","Unit 115, No. 6 Huajiu Road","Guangzhou, China",,,,,,
"Brewery In Planning - Beijing",,"Beijing, China",,,,,planning,
"Carlsberg Brewery (Guangdong) Ltd.","28 Eling South Road","Huizhou City, China",,,,"+ 86 20 8669 5241",large,
"Changchun Brewery","28 Tiebei 2nd Rd","Changchun, China",,,,"0431 38456",regional,
"China Beverage And Food Stuffs","11th Flr, Jingyin Bldg 2A Dong San Huan North Rd","Beijing, China",,,,"(861) 466-0838",,
"CHONGQING BREWERY",SHIJIAOPU,"CHONGQING, China",,,,"(081) 181-1557",regional,
"Daifeng Brewery","Jiuchang Rd","Kaifeng, China",,,,"0378 3193",regional,
"Dalian Brewery","545 Malancun, Shahekou Dist","Dalian, China",,,,"(041) 140-4436",regional,
"Dier Yanjing Brewery","Mapoxiang, Shunyi County","Beijing, China",,,,"01 752 6936",regional,
"Golden Hans Chain Restaurant Mngmnt Co, Ltd","RM2004, TowerA, Fortune Center, Ao city HongJunYing Sth Rd","Chaoyang District, China",,,,0086-10-84932683,brewpub,http://www.goldenhans.com
"Great Leap Brewing","101 Ziming Mansion, B12 Xinzhong St.","Dongcheng, China",,,,"86 010 64167062",brewpub,http://www.greatleapbrewing.com
"GUANGDONG QIANGLI BREWERY","16 LIXIN St","SANSHUI, China",,,,"07652 3364",regional,
"Guangzhou Brewery","63 Xizhen Rd","Guangzhou, China",,,,"(208) 650-9983",,
"Guangzhou San Miguel Brewery","63 Xizeng Rd, Xicun C","Guangzhou, China",,,,"+86 20-6509983",,
"Hainan Asia Pacific Breweries Co Ltd.","PO Box 5076 Baipo P.O. Del. Grp.","Haiko City, China",,,,,,
"Hangzhou Brewery","117 Xixi Rd","Hangzhou, China",,,,"0571 81414",regional,
"Harbin Hande (Group) Co.","20 Tian Shun St Mall Nan Gang Dist Harbin","Kun Lun, China",,,,"+86 451 2309736",,
"Harbin Songjiang Brewery","No. 20 Youfang Street Xiangfáng Qu","Harbin, China",,,,"(045) 128-1319",regional,
"HB-L Beverage Co Ltd","Hangzau Brewery, Danbrew","Siping City, China",,,,"(043) 422-6248",large,
"Hefei Brewery","Shushan Rd","Hefei, China",,,,"0551 60173",regional,
"Huinan Brewery","Tianda Rd","Huinan, China",,,,"0554 3168",regional,
"Huizhou Brewing Co. Ltd","28 Elin South Rd Huizhou City","Guangdong, China",,,,86-752-260933,large,
"Jilin Brewery","6 Qingdao Rd","Jilin, China",,,,"0432 26130",regional,
"Jing-A Brewing Co.","1949 The Hidden City, Courtyard 4","Beijing, China",,,,,brewpub,http://www.jingabrewing.com
"Jingmen Brewery","83 Beijun Avenue","Jingmen, China",,,,"(072) 673-2314",regional,
"KUNMING BREWERY","NORTH SUBURT","Kunming, China",,,,"0871 29125",regional,
