name,address,city,state,zip,phone,type,url
"Bogota Beer Co","Calle 88 # 9 - 30 Apto 302",,,,"(571) 611-1254",brewpub,http://www.bogotabeercompany.com
"Brewery In Planning- Bogota",,,,,,planning,
"Cerveceria Aguila","Calle 10 #38-56 Apartado Aereo 1797",,,,"411 900",large,
"Cerveceria Andina","Calle 22b #30-75 Apartado A 3471",,,,244-08-20,large,
"Cerveceria Bohemia",,,,,,planning,http://www.cerveceriabohemia.com
"Cerveceria Colon SA","Cra 19 B N",,,,"(572) 660-2840",micro,
"Cerveceria Del Litoral S.A.","Calle 22B No. 30-75 Apartado Aereo 3471",,,,244-1346,regional,
"Cerveceria Leona S.A.","Calle 92 No. 9-64",,,,"(571) 218-4921",regional,
"Cerveceria Union","Apartado Aereo 627",,,,2-77-14-44,large,
"Cerveceria Union, S.A.","Carrera 50-A #38-39",,,,"(574) 372-2400",,
"Cerveceria Union, S.A.","Carrera 50-A #38-39",,,,"(574) 372-2400",,
Chelarte,"Cra 14 93B45",,,,"57 3173004759",brewpub,http://www.chelarte.com
"GRUPO BRUMAR SAS",,,,,,planning,
"Inducerv S.A.S.","Carrera 49 #60 sur 110",,,,"(574) 444-3501",micro,http://www.inducerv.com
"Master Beer","Cra 69# 73a-71",,,,57314422539,micro,
"Ozy Pub","CLL 85 N. 11-53 INTERIOR 9 CALLE PASEO DEL FARO",,,,"(571) 622-6598",brewpub,http://www.ozypub.com
"Palos De Moguer Casa Cervecera","Avienda 82 #12-09",,,,"(571) 218-8038",brewpub,http://www.palosdemoguer.com
