name,address1,address2,city,state,zip,phone,type,url
Arteavex,,"San José, Costa Rica",,,,(506)2253-1659,planning,http://www.arteavex.com
"Brewery in Planning - Uvita",,"Uvita, Costa Rica",,,,0050687015050,planning,
"Brewery In Planning- Costa Rica",,", Costa Rica",,,,,planning,
"Cerveceria Costa Rica","Apartado 795","San Jose, Costa Rica",,,,"(506) 221-3511",large,http://www.ccr.co.cr
"Cerveceria Tropical","Apratado 1610","San Jose, Costa Rica",,,,,large,
"Costa Rica Craft Brewing Co.","125 Mts noreste De La Escuela Pública de","San Jose, Costa Rica",,,,"506 22490919",micro,http://www.beer.cr
"Florida Ice & Farm Co","Calle 12, Av 4-6, Aptdo 10021 Apartado 10021-1000","San Jose, Costa Rica",,,,"(506) 221-3511",,http://www.fifco.com
"La Micro Brewing Company","Autopista Gral Canas","Heredia, Costa Rica",,,,0050624376812,micro,
"Las Tres Carabelas","San Jose","Coronado, Costa Rica",,,,"(506) 88489363",,http://lastrescarabelas.com/
"Palmareña Brewing Company","Bodega # 4, Pastas Viena","Palmares, Costa Rica",,,,"(506) 6040-7926",micro,
"Salamandra Brewery","Local #5 Plaza Cristal","Curridabat, Costa Rica",,,,506-8820-3833,brewpub,http://www.salamandracr.com
