name,address,city,state,zip,phone,type,url
"Bernard Pivo","5. Kvetna 1",,,,,,
"Bonver CZ, S.r.o.","Žerotínova 20",,,,,,
"Branik Pivovar A Sladovna","Udolni 212",,,,2461841,,
"Budejovický Budvar","Karoliny Svetlé 4",,,,,,
"Budejovický Budvar","Karoliny Svetle 4",,,,"420 387 705 281",large,
"Budejovický Meštanský Pivovar","Lidická 458/51",,,,,,
"Cernokostelecký Zájezdní Pivovar","Ceskobrodská 17",,,,,,
"Chebský Minipivovar","Pastýrská 8",,,,,,
"Chmelarský Institut, S.r.o. Pokusný Minipivovar","Kadanská 2525",,,,,,
"Chodovar S.R.O","Pivovarska 107",,,,184992811,regional,
"Chodovar, S.r.o","Pivovarská 107",,,,,,
Czechvar/B.B.N.P.,"Karoliny Svetle 4",,,,"+420 38 7705 111",large,http://www.czechvar.com
"Hema S.r.o Pivovar Golcuv Jen","5 Kvetna 172",,,,45193209,regional,
"Hostinský Minipivovar Moritz",,,,,,,
"Hostinský Pivovar & Hotel Excelent","Pivovarska 10",,,,,,
"HSP Hlucínský Pivovar V.o.s","Podle Zdi 148",,,,,,
"Jihoscesk Pivovary A.S.","Karloiny Svetle P O Box 107",,,,038-2-40-27,regional,
"Klášterní Restaurace A Pivovar","Strahovské Nádvorí 302/10",,,,,,
Krakonoš,"Križíkova 486",,,,,,
"Kralovsky p. Krusovice",,,,,"+420 313-569-236",,
"Královský Pivovar Krušovice, A.s.",,,,,,,
"Lobkowiczký Pivovar Vysoký Chlumec","Vysoký Chlumec",,,,,,
"Meštanský Pivovar Havlíckuv Brod","Dobrovského 2027",,,,,,
"Mestský Pivovar Nová Paka, A.s.","Pivovarská 400",,,,,,
"Mikropivovar J.Fencla",C.P.169,,,,,,
"Minipivovar Frýdek-Místek","Pionýru 839",,,,,,
"Minipivovar Harrachov","Nový Svet 95",,,,,,
"Minipivovar Hukvaldy","Restaurace U Zastávky Dolní Sklenov 33",,,,,,
"Minipivovar Jirí Jelínek","Sentice 13",,,,,,
"Minipivovar Konícek Vojkovice","Vojkovice 10",,,,,,
"Minipivovar Medlešice","Medlešice C. 2",,,,,,
"Minipivovar U Medvídku","Na Perštýne 7",,,,,,
"Moravskoslezske Pivovary","Komenskeho 35 P O Box 51",,,,0641-30-51-7,,
"Nova Paka Brewery","Pivovarska 400",,,,+420-493-727-031-2,large,http://www.novopackepivo.cz
"Novomestský Pivovar","Vodickova 20",,,,,,
"Pegas Gasthausbrauerei","Jakubska 4",,,,"05 2 21 30",regional,
"Pegas Hostinský Pivovar","Jakubské Nám. 4",,,,,,
"Piuvovar Gemer Sro","Cukrovarska 67 PO Box 153",,,,0866-2-2644,regional,
"PIVO Praha S.r.o","Podskalska 10",,,,420-224-915-813,,
"Pivovar A Hostinec U Hušku","Belec Nad Orlicí 2",,,,,,
"Pivovar A Restaurant Modrá Hvezda","Námestí T.G.Masaryka 159",,,,,,
"Pivovar A Sladovny Pvtos","Lipova 15",,,,224915384,regional,
"Pivovar A Sodovkárna Jihlava, A.s.","Vrchlického 2",,,,,,
"Pivovar Benesor","Taborska 306 PO Box 33",,,,"0301 2 25 11",regional,
"Pivovar Benešov, S.r.o.","Táborská 306",,,,,,
"Pivovar Berounský Medved","Tyršova 135",,,,,,
"Pivovar Broumov","Tr.Osvobození 55",,,,,,
"Pivovar Cerná Hora","Cerná Hora 3/5",,,,,,
"Pivovar Cerna Hora, a.s.","679 21 Cerna Hora 3/5",,,,+420-506-482411,micro,http://www.pivovarch.cz
"Pivovar Dalešice","Dalešice 71",,,,,,
"Pivovar Domazlice","Komenskeho 10",,,,1893595,regional,
"Pivovar Eggenberg","Latrán 27",,,,,,
"Pivovar Hanusovice",Pivovarska,,,,64996317,regional,
"Pivovar Havlickuv Brod.","Dobrovskeho 2027 P O Box 45",,,,"(045) 121-1635",regional,
"Pivovar Herold","PO Box 13",,,,420-318-682-047,regional,http://heroldbeer.com
"Pivovar Herold Breznice","Pošt. Pr. 13",,,,,,
"Pivovar Hlinsko V Cechach","Ressolva 260",,,,45422117,regional,
"Pivovar Holba","Pivovarská 261",,,,,,
"Pivovar Hostan","Hradní 2",,,,,,
"Pivovar Janácek","Neradice 369",,,,,,
"Pivovar Jarosov","Pivovarska PO Box 32",,,,063222014,regional,
"Pivovar Jihlave","Vrchlickenho 2",,,,6622591,regional,
"Pivovar Kácov","V Podskalí 6",,,,,,
"Pivovar Klaster",,,,,32927279,regional,
"Pivovar Klášter, A.s.",,,,,,,
"Pivovar Krásné Brezno","Dráždanská 80",,,,,,
"Pivovar Krumlov","Latran 27 PO Box 30",,,,"0337 3921",regional,
"Pivovar Kutná Hora","Sportovcu 364",,,,420-327-513-801,,
"Pivovar Litovel","Palackého 934",,,,,,
"Pivovar Louny","Rícní 633",,,,,,
"Pivovar Martin","Hrdinov 12 PO Box 1",,,,0842-3-0291,regional,
"Pivovar Matuska","Spanielova 1268/3",,,,"+ 420 (2) 723 983 594",micro,http://www.pivovarmatuska.cz
"Pivovar Náchod","Dobrošovská 130",,,,,,
"Pivovar Nachod AS","Dobrosovska 130",,,,"+420 441-407-265",,http://www.primator.cz
"Pivovar Nymburk","Prazska 581 Harantova 400",,,,32545814,regional,
"Pivovar Nymburk","Pražská 581",,,,,,
"Pivovar Opava","Pivovarska 6 PO Box 30",,,,6833568,regional,
"Pivovar Pardubice, A.s.","Palackého 250",,,,,,
"Pivovar Pelhrimov","Pivovarska 856",,,,036635003,regional,
"Pivovar Podkovan",,,,,32695722,regional,
"Pivovar Policka","Pivovarska 151",,,,46322575,regional,
"Pivovar Prerov","Komenskeho Ulice 35",,,,0641-30-51,regional,
