name,address,city,state,zip,phone,type,url
"16 Mile Brewing Co","413 S Bedford St",Georgetown,DE,19947-1849,"(302) 253-8816",micro,http://www.16milebrewery.com
"3rd Wave Brewing Co","501 N Bi State Blvd",Delmar,DE,19940-1106,"(302) 907-0423",micro,http://www.3rdwavebrewingco.com
"Argilla Brewing Co @ Pietro's Pizza","2667 Kirkwood Hwy",Newark,DE,19711-7242,"(302) 731-8200",brewpub,http://www.argillabrewing.com
"Blue Earl Brewing Company","210 Artisan Dr",Smyrna,DE,19977-3715,,micro,http://www.blueearlbrewing.com
"Braeloch Brewing Company",,Newark,DE,19711,,planning,
"Brewery In Planning - Hockessin",,Hockessin,DE,19707-9250,,planning,
"Brewery In Planning - Wilmington",,Wilmington,DE,19808,,planning,
"Crooked Hammock Brewery",,Lewes,DE,19958-4782,,planning,
"Dewey Beer Co.","2100 Coastal Hwy","Dewey Beach",DE,19971-2317,"(302) 227-1182",brewpub,http://www.deweybeerco.com
"Dogfish Head Brewings & Eats","320 Rehoboth Ave","Rehoboth Beach",DE,19971-3108,"(302) 226-2739",brewpub,http://www.dogfish.com
"Dogfish Head Craft Brewery","6 Cannery Village Ctr",Milton,DE,19968-1308,"(302) 684-1000",regional,http://www.dogfish.com
"First State Brewing Company",,,,,,planning,http://www.firststatebrewing.com
"Fordham Brewing Co","1284 McD Dr",Dover,DE,19901-4639,"(302) 678-4810",regional,http://www.fordhambrewing.com
"Iron Hill Brewery & Restaurant - Newark","147 E Main St",Newark,DE,19711-7313,"(302) 266-9000",brewpub,http://www.ironhillbrewery.com
"Iron Hill Brewery & Restaurant - Wilmington","710 Justison St",Wilmington,DE,19801-5141,"(302) 658-8200",brewpub,http://www.ironhillbrewery.com
"Iron Hill Brewery & Restaurant (Corp) / Chesapeake & Delaware Brewing Company","2502 W 6th St",Wilmington,DE,19805-2909,"(302) 888-2739",brewpub,http://www.ironhillbrewery.com
"Midnight Oil Brewing Company",,,,,,planning,
"Mispillion River Brewing","255 Mullet Run St",Milford,DE,19963,"(302) 491-6623",micro,http://www.mispillionriverbrewing.com
"Old Dominion Brewing Co","1284 McD Dr",Dover,DE,19901-4639,"(302) 678-4810",micro,http://www.olddominion.com
"Pizza By Elizabeths",,Greenville,DE,19807,"(302) 388-4749",planning,http://www.pizzabyelizabeths.com
"Stewart's Brewing Co","219 Governors Pl",Bear,DE,19701-3026,"(302) 836-2739",brewpub,http://www.stewartsbrewingcompany.com
"Tall Tales Brewing Co. LLC","16054 S Dupont Hwy",Harrington,DE,19952-3121,"(410) 341-9500",brewpub,http://www.talltalesbrew.com
"Twin Lakes Brewing Co","4210 Kennett Pike",Greenville,DE,19807-2023,"(302) 658-1826",micro,http://www.twinlakesbrewery.com
