name,address,city,state,zip,phone,type,url
"3 Stars Brewing Co","6400 Chillum Pl NW Ste B",Washington,DC,20012-2111,"(202) 670-0333",micro,http://www.3starsbrewing.com
"Atlas Brew Works","2052 W Virginia Ave NE Ste 102",Washington,DC,20002-1832,"(202) 832-0420",micro,http://www.atlasbrewworks.com
Bluejacket,"300 Tingey St SE",Washington,DC,20003-4600,,brewpub,http://www.bluejacketdc.com
"Brewery In Planning - Washington",,Washington,DC,20002,,planning,
"ChopHouse and Brewery - District","509 7th St NW",Washington,DC,20004-1600,"(202) 347-3434",brewpub,http://www.chophouse.com
"City-State Brewing Company",,Washington,DC,20001,,planning,
"DC Brau Brewing","3178-B Bladensburg Rd NE",Washington,DC,20018-2204,"(202) 210-1814",micro,http://www.dcbrau.com
"Farmers and Brewers",,,,,,planning,
"Gordon Biersch Brewer Restaurant","100 M St SE",Washington,DC,20003-3519,"(202) 484-2739",brewpub,http://www.gordonbiersch.com
"Gordon Biersch Brewery Restaurant - Washington","900 F St NW",Washington,DC,20004-1404,"(202) 783-5454",brewpub,http://www.gordonbierschrestaurants.com
"Hauptstadt Brewing Company",,Washington,DC,20016,,planning,http://www.hauptstadtbrewing.com
"Hellbender Brewing Company","5788 2nd St NE",Washington,DC,20011,,micro,http://www.hellbenderbrewingcompany.com
"Low Brau LLC",,Washington,DC,20017-2312,,planning,http://lowbraudc.com/?page_id=14
"National Capital Brewing Company",,,,,,planning,
"Right Proper Brewing Company","624 T St NW",Washington,DC,20001-5119,"(202) 607-2337",brewpub,http://www.rightproperbrewery.com
