name,address,city,state,zip,phone,type,url
"Brewery in Planning - Quito",,,,,59322525834,planning,http://www.tours-unlimited.com
"Camino Del Sol","Alfonso Moncayo S/N Y Panamericana Norte KM 10.7",,,,"(099) 541-7296",,
"CERVCA, Cervezas Ecuatorianas","Casilla 17-03-4644 Panamericana Sur Km 10.5",,,,"32 674 103, 674249",regional,
"Cerveceria Andina SA","Cumbaya Casilla Postal 4027",,,,355-006,large,
"Cerveceria La Cayetana","Potreros altos S/N",,,,"(099) 540-2881",,
"Cervecerias Regionales, S.A.","Av Jose A Gomez Al Lado Derech Del Km8 Via A Daule Frente Ala",,,,"(593) 425-0890",,
"Cervezas Nacionale","Parque Industrial Ecuateriano Km16,5 Via A Doule",,,,"(593) 489-3088",,
"Cervezas Naciones","Parque Industrial Ecuatoriano Km16,5 Via A Daule",,,,"(593) 489-3088",,
"Cia. De Cervezas Nacionales CA","Parque Industrial Ecuatoriano Km 16.5 Via Duale, Calle Cobre",,,,"253 553 250 088",regional,
"Companhia De Cervejas Nacionals","Planta Pascuales Km 16.5 Via Daule",,,,253454,large,
"Nine Peaks Brewing",,,,,,planning,
"Odisea Brewing Company",,,,,,planning,
"TENN House Brewing Co",,,,,59392748213,planning,
"The Turtle's Head","La Nina E4-451 Entre Juan Leon Mera Y Avenida Amazones",,,,593-9-111-0-200,,
