name,address,city,state,zip,phone,type,url
"Baltic Beverages Holding AB","Oy Hartwell Ab PO Box 31",,,,35805402402,,
"Brewery in Planning - ravijoki",,,,,,planning,
"Brweery Olvi Oyj","Box 16",,,,,,
"Glenorval Oy","Punavuorenkatu 19 A 21",,,,+358.50.511.53.75,,
"Hartwall Plc.","P.O Box 44",,,,,,
"Hiisi Brewing Co.",,,,,,planning,
"Laitilan Wirvoitusjuomatehdas","Limonaadikuja 4",,,,,regional,
"Olvi Oy","Box 16",,,,"977 158 51",regional,
"Oy Alko Ab","Salmisaarenranta 7",,,,,,
"Oy Amri AB Lapin Kulta",Lapinkulank,,,,"9698 43 3 66",regional,
"Oy Hartwall AB","Ristipellontie 4, Box 31",,,,"90 5 40 21",regional,
"Oy Lahden Polttimo Ab","PO Box 22",,,,35891886411,regional,
"Oy Sinebyrchoff AB","PO Box 87",,,,"(358) 929-4991",,http://www.koff.fi
"Panimoravintola Beer Hunter's","Antinkatu 11",,,,"+358 2 6415599",micro,
"Pyynikin Craft Brewery","Tesoman valtatie 24",,,,00358447699137,micro,http://www.pyynikin.com
"Sinebrychoff Oy AB","PO Box 87",,,,"(358) 929-4991",large,
