name,address,city,state,zip,phone,type,url
"3 Daughters Brewing","222 22nd St S Bldg 1","Saint Petersburg",FL,33712-1240,"(727) 495-6002",micro,http://www.3dbrewing.com
"3 Sons Brewery",,,,,"(954) 601-3833",contract,
"4th Age Brewing",,Miami,FL,33185,"(305) 781-9049",planning,
"7venth Sun Brewery","1012 Broadway",Dunedin,FL,34698-5762,"(727) 773-3013",micro,http://www.7venthsun.com
"A1A Ale Works","1 King St Ste 101","St Augustine",FL,32084-4461,"(904) 829-2977",brewpub,http://www.a1aaleworks.com
"Aardwolf Brewing Company","1461 Hendricks Ave",Jacksonville,FL,32207-8622,"(904) 301-0755",micro,http://www.aardwolfbrewing.com
"Abbey Brewing Co","1115 16th St","Miami Beach",FL,33139-2441,"(305) 538-8110",contract,
"Agua Clara Brewery Inc",,,,,,planning,
"Alligator Brewing / Tall Paul's Brewhouse","10 SE 2nd Ave",Gainesville,FL,32601-6232,"(352) 505-0990",micro,
"Americana Brewery",,"Fort Lauderdale",FL,33328-1606,"(954) 476-8762",planning,
"Ancient City Brewing Co.","3420 Agricultural Center Dr. Ste 8","Saint Augustine",FL,32092-0690,"(904) 429-9654",micro,http://www.ancientcitybrewing.com/home
"Angry Chair Brewing, LLC.","6401 N Florida Ave",Tampa,FL,33604-6007,"(813) 892-1651",micro,http://www.angrychairbrewing.com
"Anheuser-Busch InBev – Jacksonville","111 Busch Dr",Jacksonville,FL,32218-5546,"(904) 751-0700",large,
"AristoCraft Brewing",,Maitland,FL,32751,,planning,
"Bangin' Banjo Brewing Company","3200 NW 23rd Ave Ste 500","Pompano Beach",FL,33069-5909,,micro,
"Barley Mow Brewing Co","518 West Bay Dr",Largo,FL,33770-3327,"(727) 584-7772",micro,http://www.barleymowbrewingco.com
"Barley Mow Brewing Co","521 Commerce Dr",Largo,FL,33770-1834,"(727) 584-7772",micro,http://www.barleymowbrewingco.com
"Barrel of Monks Brewing","1141 S Rogers Cir Ste 5","Boca Raton",FL,33487-2789,,micro,http://www.barrelofmonks.com
"Bastet Brewpub",,Tampa,FL,33613-1254,,planning,http://www.bastetbrewpub.com
"Beachside Brew Pub",,"Ormond Beach",FL,32176-3630,"(386) 846-5143",planning,http://www.beachsidebrewpub.com
"Big Bear Brewing Co","1800 N University Dr","Coral Springs",FL,33071-6031,"(954) 341-5545",brewpub,http://www.bigbearbrewingco.com
"Big River Grille & Brewing Works - Disney","2101 Epcot Resorts Blvd","Lake Buena Vista",FL,32830-8442,"(407) 560-0253",brewpub,http://www.bigrivergrille.com
"Big Storm Brewery","2438 Merchant Ave Ste 103",Odessa,FL,33556-3489,"(727) 807-7998",micro,http://www.bigstormbrewery.com
"Big Top Brewing Company","6111 Porter Way",Sarasota,FL,34232-6224,,micro,http://www.bigtopbrewing.com
"Biscayne Bay Brewing Co","8000 NW 25th St Ste 500",Miami,FL,33122-1631,"(305) 444-0344",micro,http://www.biscaynebaybrewing.com
"Bold City Brewery","2670 Rosselle St Ste 7",Jacksonville,FL,32204-3004,"(904) 379-6551",micro,http://www.boldcitybrewery.com
"Bone Island Brewing","1111 Eaton St","Key West",FL,33040-6926,"(305) 304-3472",brewpub,http://www.boneislandbrewing.com
"Brevard Ale Works",,Melbourne,FL,32901,,planning,http://www.brevardaleworks.com
"Brew Bus Brewing","3924 W Spruce St",Tampa,FL,33607-2441,"(813) 990-7310",contract,http://www.brewbususa.com
