name,address,city,state,zip,phone,type,url
,"10 Rue De La Ronde",,,,"(024) 794-2822",,http://www.brasseriedelombre.com
"A Tribbiera","RN 198 - Casamozza PRUNELLI DI FIU MORBO",,,,"(049) 556-7648",,http://corsica.fiumorbu.free.fr/atribbiera.htm
"AB Bière","1 Allée Des Bois",,,,"(032) 647-0633",,
"ABBA (Association Bienfaisante Des Brasseurs Amateurs)","6 Rue Du Moulin",,,,"(024) 079-0564",,
"Académie De La Bière","88 Bis Boulevard Port Royal",,,,,,
Aguiana,"640 Route De Larègle",,,,"(052) 426-1506",,
Akerbeltz,"Zone Artisanale Larre Lore",,,,"(055) 923-8421",,http://www.akerbeltz.fr
Aliénor,"24 Chemin Du Terrail",,,,,,http://alienor-bieres.com
"An Alarc'h","Zone Artisanale Du Vieux Tronc",,,,"(029) 899-9199",,
"An Alarc'h","Z.A. Di Vieux Tronc",,,,,,
"Annceullin/Brasserie D","4 Grand Pl",,,,"(032) 086-8360",,
Artésienne,"Parc De La Porte Des Flandres - Rue Simo",,,,,,http://brasserie.artesienne.free.fr
"Artis. De Pouldreuzic",Tregonguen,,,,"(029) 854-3771",,
"Artis. De Rarécourt","Ferme De La Vallée",,,,"(032) 988-4195",,http://www.rarecourtoise.com
"Artis. De Riquewihr","8 Avenue Jacques Preiss",,,,"(038) 973-7034",,http://www.gilbertholl.com
"Artis. Des Albères","29 Avenue Des Flaments Roses",,,,"(046) 895-7909",,http://www.cap-dona.com
"Artis. Des Grands Cols","5 Av. Du Dauphiné BRIANCON",,,,"(049) 221-3149",,http://www.brasseriedesgrandscols.fr
"Artisanale De Puisaye","Ferme Des Grenouillettes La Plauderie",,,,"(038) 674-9495",,http://pagesperso-orange.fr/grenouillettes
"Artisanale De Sabaudia (B.A.S)","61 Chemin De La Brondelle",,,,"(047) 960-4293",,http://www.b-a-s.fr
"Artisanale Des Vosges","680 Rue De La Brasserie",,,,"(032) 962-2896",,http://www.brasserie-lamadelon.fr
"Artisanale Du Cambier","18 Bis Rue Pasteur",,,,"(032) 792-0995",,
"Artisanale Du Sud","69 Av. Frédéric Mistral",,,,"(047) 526-9575",,http://www.la-grihete.com
"Artisanale Landaise (La Séquère)","125 Route De Saubagnacq",,,,,,http://www.lasequere.com
"Artisanale Ratz","725 Avenue Saint Exupéry - Parc D'activi",,,,"(056) 553-0563",,http://www.biereratz.fr
"Artisanale Saaloise","8 Rue De L'Eglise",,,,"(038) 897-7680",,http://www.facebook.com/brasserieartisanale.saaloise
ArtMalté,"7 Boulevard Bellevue",,,,"(067) 474-4421",,http://www.artmalte.com
"Associative Soif'Art","86 Grand'Rue",,,,"(038) 922-4390",,http://www.facebook.com/brasserie.soifart
"Au Brasseur","22 Rue Des Veaux",,,,"(038) 836-1213",,http://www.aubrasseur.fr
"Au Chevalier Barbu","Commanderie De Saint Antoine NÉVACHE",,,,"(049) 220-0842",,http://www.chevalierbarbu.com/fr/
"Au Royaume Du Boeuf","100 Rue Georges Clémenceau",,,,,,
Bailleux,"2 Rue Piémont",,,,"(032) 739-8904",,
"Bar L'Estaminet","45 Rue Rouyers",,,,"(032) 986-0786",,http://www.brasserie-de-verdun.com
Barbaroux,L'Hermet,,,,"(047) 174-3846",,http://www.brasseriebarbaroux.fr
"Bastide Brewery","11 Rue Du Loup",,,,"(055) 327-1567",,http://www.bastidebrewery.com
"Bastide Brewery","11 Rue Du Loup",,,,,,
Begusseau,"Le Cremat",,,,"(046) 645-9337",,
"Bell' De Loing","Rue Eugène Lacroix",,,,,,
Bicof,"22 Rue Paul Déroulède",,,,"(038) 220-1958",,
Bicof,"22 Rue Paul Déroulède",,,,"(038) 220-1958",,
Biercors,"Ferme Marceau, Villevieille",,,,,,http://www.biereduvercors.fr
"Bière Boutique","13 Grande Rue",,,,"(038) 186-0456",,http://www.biere-boutique.fr
