name,address1,address2,city,state,zip,phone,type,url
,"10 Rue De La Ronde","CÉRÉ LA RONDE, France",,,,"(024) 794-2822",,http://www.brasseriedelombre.com
"A Tribbiera","RN 198 - Casamozza PRUNELLI DI FIU MORBO","PRUNELLI DI FIU MORBO, France",,,,"(049) 556-7648",,http://corsica.fiumorbu.free.fr/atribbiera.htm
"AB Bière","1 Allée Des Bois","SAINT ETIENNE SUR SUIPPE, France",,,,"(032) 647-0633",,
"ABBA (Association Bienfaisante Des Brasseurs Amateurs)","6 Rue Du Moulin","SAINT OMER DE BLAIN, France",,,,"(024) 079-0564",,
"Académie De La Bière","88 Bis Boulevard Port Royal","Paris, France",,,,,,
Aguiana,"640 Route De Larègle","CAUNEILLE, France",,,,"(052) 426-1506",,
Akerbeltz,"Zone Artisanale Larre Lore","ASCAIN, France",,,,"(055) 923-8421",,http://www.akerbeltz.fr
Alaryk,"2 rue des poiriers","Beziers, France",,,,"33 (0)9 52 13 60 88",contract,http://www.alaryk.fr
Aliénor,"24 Chemin Du Terrail","SAINT CAPRAIS DE BORDEAUX, France",,,,,,http://alienor-bieres.com
"An Alarc'h","Zone Artisanale Du Vieux Tronc","HUELGOAT, France",,,,"(029) 899-9199",,
"An Alarc'h","Z.A. Di Vieux Tronc","Huelgoat, France",,,,,,
"Annceullin/Brasserie D","4 Grand Pl","Annceullin, France",,,,"(032) 086-8360",,
Artésienne,"Parc De La Porte Des Flandres - Rue Simo","AUCHY LES MINES, France",,,,,,http://brasserie.artesienne.free.fr
"Artis. De Pouldreuzic",Tregonguen,"POULDREUZIC, France",,,,"(029) 854-3771",,
"Artis. De Rarécourt","Ferme De La Vallée","RARÉCOURT, France",,,,"(032) 988-4195",,http://www.rarecourtoise.com
"Artis. De Riquewihr","8 Avenue Jacques Preiss","RIQUEWIHR, France",,,,"(038) 973-7034",,http://www.gilbertholl.com
"Artis. Des Albères","29 Avenue Des Flaments Roses","ARGELES SUR MER, France",,,,"(046) 895-7909",,http://www.cap-dona.com
"Artis. Des Grands Cols","5 Av. Du Dauphiné BRIANCON",", France",,,,"(049) 221-3149",,http://www.brasseriedesgrandscols.fr
"Artisanale De Puisaye","Ferme Des Grenouillettes La Plauderie","SAINT PRIVÉ, France",,,,"(038) 674-9495",,http://pagesperso-orange.fr/grenouillettes
"Artisanale De Sabaudia (B.A.S)","61 Chemin De La Brondelle","SONNAZ, France",,,,"(047) 960-4293",,http://www.b-a-s.fr
"Artisanale Des Vosges","680 Rue De La Brasserie","DOMMARTIN LES REMIREMONT, France",,,,"(032) 962-2896",,http://www.brasserie-lamadelon.fr
"Artisanale Du Cambier","18 Bis Rue Pasteur","AUBIGNY AU BAC, France",,,,"(032) 792-0995",,
"Artisanale Du Sud","69 Av. Frédéric Mistral","NYONS, France",,,,"(047) 526-9575",,http://www.la-grihete.com
"Artisanale Landaise (La Séquère)","125 Route De Saubagnacq","DAX, France",,,,,,http://www.lasequere.com
"Artisanale Ratz","725 Avenue Saint Exupéry - Parc D'activi","FONTANES, France",,,,"(056) 553-0563",,http://www.biereratz.fr
"Artisanale Saaloise","8 Rue De L'Eglise","SAALES, France",,,,"(038) 897-7680",,http://www.facebook.com/brasserieartisanale.saaloise
ArtMalté,"7 Boulevard Bellevue","ANNECY, France",,,,"(067) 474-4421",,http://www.artmalte.com
"Associative Soif'Art","86 Grand'Rue","JEBSHEIM, France",,,,"(038) 922-4390",,http://www.facebook.com/brasserie.soifart
"Au Brasseur","22 Rue Des Veaux","STRASBOURG, France",,,,"(038) 836-1213",,http://www.aubrasseur.fr
"Au Chevalier Barbu","Commanderie De Saint Antoine NÉVACHE","NÉVACHE, France",,,,"(049) 220-0842",,http://www.chevalierbarbu.com/fr/
"Au Royaume Du Boeuf","100 Rue Georges Clémenceau","Cannes , France",,,,,,
Bailleux,"2 Rue Piémont","Gussignies, France",,,,"(032) 739-8904",,
"Bar L'Estaminet","45 Rue Rouyers","VERDUN, France",,,,"(032) 986-0786",,http://www.brasserie-de-verdun.com
Barbaroux,L'Hermet,"CHASSAGNES, France",,,,"(047) 174-3846",,http://www.brasseriebarbaroux.fr
"Bastide Brewery","11 Rue Du Loup","EYMET, France",,,,"(055) 327-1567",,http://www.bastidebrewery.com
"Bastide Brewery","11 Rue Du Loup","Eymet, France",,,,,,
Begusseau,"Le Cremat","SAINT GERMAIN DE CALBERTE, France",,,,"(046) 645-9337",,
"Bell' De Loing","Rue Eugène Lacroix","Amilly, France",,,,,,
Bicof,"22 Rue Paul Déroulède","JARNY, France",,,,"(038) 220-1958",,
Bicof,"22 Rue Paul Déroulède","JARNY, France",,,,"(038) 220-1958",,
