name,address,city,state,zip,phone,type,url
"5 Seasons Brewing Co - North","3655 Old Milton Pkwy",Alpharetta,GA,30005-4487,"(770) 521-5551",brewpub,http://www.5seasonsbrewing.com
"5 Seasons Brewing Co - Prado","5600 Roswell Rd","Sandy Springs",GA,30342-1150,"(404) 255-5911",brewpub,http://www.5seasonsbrewing.com
"5 Seasons Brewing Co - Westside","1000 Marietta St NW Ste 204",Atlanta,GA,30318-0683,"(404) 875-3232",brewpub,http://www.5seasonsbrewing.com
"Abbey of the Holy Goats",,Roswell,GA,30075-3543,,planning,
"Anheuser-Busch InBev – Cartersville","100 Busch Dr NE",Cartersville,GA,30121-7217,"(770) 386-2000",large,
"BlueTarp Brewing Co","731 E College Ave",Decatur,GA,30030-5365,"(404) 669-6740",micro,http://www.bluetarpbrew.com
"Brewery In Planning - Atlanta",,Atlanta,GA,30327,,planning,
"Brewery in Planning - Atlanta1",,Roswell,GA,30076-2264,,planning,
"Brewery In Planning - Augusta, GA.",,Augusta,GA,30901-1029,,planning,
"Brewery In Planning - Cochran",,Cochran,GA,31014,,planning,
"Brewery In Planning - Johns Creek",,,,,,planning,
"Brewery In Planning - Lilburn",,Lilburn,GA,30047,,planning,
"Brewery In Planning - McDonough",,Mcdonough,GA,30253,,planning,
"Brewery In Planning - Pooler",,Pooler,GA,31322,,planning,
"Brewery In Planning - Snellville",,Snellville,GA,30078,,planning,
"Brewery In Planning - Woodstock",,Woodstock,GA,30189,,planning,
"Brewery In Planning - Woodstock",,Woodstock,GA,30189,,planning,
"Brewery In Planning- Athens, GA.",,,,,,planning,
"Brewery In Planning- Rock Spring, GA.",,"Rock Spring",GA,30739,,planning,
"Brewery In Planning- Roswell, GA.",,Roswell,GA,30075,,planning,
"Burnt Hickory Brewery","2260 Moon Station Ct NW Ste 210",Kennesaw,GA,30144-5653,"(770) 514-8812",micro,http://www.burnthickorybrewery.com
"Cannon Brewpub","1041 Broadway",Columbus,GA,31901-5256,"(706) 653-2337",brewpub,
"Coastal Empire Beer Co","79 Ross Rd",Savannah,GA,31405-1660,"(912) 428-7911",micro,http://www.coastalempirebeer.com
"Copper Creek Brewing Company","140 E Washington St PO Box 8111",Athens,GA,30601-2747,"(706) 546-1102",brewpub,http://www.classiccitybrew.com/burntstone.html
"Creature Comforts Brewing Co.","271 W Hancock Ave",Athens,GA,30601-2727,"(706) 410-1043",micro,http://www.creaturecomfortsbeer.com
"Dockside Brewery",,,,,,planning,http://www.docksidebrewery.com
"Eagle Creek Brewing Company","106 Savannah Ave Ste B",Statesboro,GA,30458-7162,,micro,http://www.eaglecreekbrewingco.com
EuroBevs,"1 Northside 75 Nw",Atlanta,GA,30318-7715,"(770) 437-1285",contract,http://www.eurobevs.com
"Eventide Brewing Co","1015 Grant St SE",Atlanta,GA,30315-2014,"(404) 907-4543",micro,http://www.eventidebrewing.com
"Fannin Brewing","3758 East 1st St","Blue Ridge",GA,30513,"(706) 258-2762",micro,http://www.fanninbrewingcompany.com
"Gate City Brewing Company","43 Magnolia Street",Roswell,GA,30075-4289,,micro,http://www.gatecitybrewingco.com
"Gordon Biersch Brewery Restaurant - Atlanta","3242 Peachtree Rd NE",Atlanta,GA,30305-2425,"(404) 264-0253",brewpub,http://www.gordonbierschrestaurants.com
"Gordon Biersch Brewery Restaurant - Midtown","848 Peachtree St NE",Atlanta,GA,30308-1202,"(404) 870-0805",brewpub,http://www.gordonbierschrestaurants.com
"Hop Alley Brewing Co","25 S Main St",Alpharetta,GA,30009-1965,"(770) 696-2097",brewpub,http://www.hopvalleybrew.com
"Ironwood Creek",,,,,,planning,
"Jailhouse Brewing Co","14 Cherry St",Hampton,GA,30228-5575,"(404) 729-7681",micro,http://www.jailhousebrewing.com
"Jekyll Brewing","2855 Marconi Dr Ste 350",Alpharetta,GA,30005-2037,"(770) 596-8788",micro,http://www.jekyllbrewing.com
"Left Nut Brewing Co",,Cumming,GA,30041-9606,,planning,http://www.leftnutbrewing.com
"Macon Beer Company","345 Oglethorpe St",Macon,GA,31201-3274,"(415) 295-2337",micro,http://www.maconbeercompany.com
"Magic Rooster Brews",,,,,,planning,
"Max Lager's Wood Fired Grill & Brewery","320 Peachtree St NE",Atlanta,GA,30308-3210,"(404) 525-4400",brewpub,http://www.maxlagers.com
"Monday Night Brewing","670 Trabert Ave NW",Atlanta,GA,30318-4230,"(404) 352-7703",micro,http://www.mondaynightbrewing.com
"Monkey Wrench Brewing Company LLC",,Snellville,GA,30078,"(770) 978-7327",planning,http://www.monkeywrenchbrewing.com
"Moon River Brewing Co","21 W Bay St",Savannah,GA,31401-1106,"(912) 447-0943",brewpub,http://www.moonriverbrewing.com
"Normaltown Artisinal Beers - Brewery In Planning - Athens",,,,,,planning,http://www.normaltowncraftbeers.com
"O'Dempsey's Brewing Co","PO Box 28347",Atlanta,GA,30358-0347,"(404) 845-0059",contract,http://www.odempseys.com
"Omaha Brewing Company","1 Ford Rd",Omaha,GA,31821,"(229) 838-4779",micro,http://www.omahabrewingcompany.com
"Orpheus Brewing","1440 Dutch Valley Pl NE",Atlanta,GA,30324-5366,"(404) 347-1777",micro,http://www.orpheusbrewing.com
"Park Tavern Brewery","500 10th St NE",Atlanta,GA,30309-4272,"(404) 249-0001",brewpub,http://www.parktavern.com
"Piedmont Brewery and Kitchen",,Macon,GA,31202-1834,"(478) 747-1202",planning,http://www.piedmontbrewery.com
"Pontoon Brewing",,,,,,contract,http://www.pontoonbrewing.com
"Red Brick Brewing Co / Atlanta Brewing Co","2323 Defoor Hills Rd NW",Atlanta,GA,30318-2207,"(404) 355-5558",micro,http://www.atlantabrewing.com
"Red Hare Brewing Co","1998 Delk Industrial Blvd SE",Marietta,GA,30067-8904,"(770) 331-8763",micro,http://www.redharebrewing.com
