name,address,city,state,zip,phone,type,url
"Aalener Loewenbrauerei KG","Galgenbergstrasse 8",,,,"+49 7361 32597",,
Adam-Braeu,"Bahnhofstrasse 51",,,,"+49 9924 94000",,http://www.adam-braeu.de
"Adler Braeu Norbert Merklein","Hauptstrasse 19",,,,"+49 9522 369",,
"Adler Brauerei Balingen Aktiengesellschaft",,,,,"(497) 474-1411",,
"Adler Brauerei Max Haag, Nachfolger Wolfgang Haag","Hauptstrasse 38",,,,"(497) 263-5852",,
"Adlerbraeu Herbert Werner","Hoffenheimer Strasse 1",,,,"(496) 226-1341",,
"Adler-Braeu in Wiernsheim","Bei der Linde 5",,,,"+49 7044 920778",,http://www.adlerbraeu.de
"Adler-Braeu Moosbeuren GmbH and Co. KG","Biberacher Strasse 17",,,,"+49 7357 9207-0",,
"Adlerbrauerei Altenstadt Karl Goetz oHG","Stuttgarter Strasse 214",,,,"+49 7331 63028/9",,http://www.adler-bier.de
"Adlerbrauerei Brennerei Gebhard Foehr","Rissstrasse 2, Risstissen",,,,"(497) 392-2138",,
"Adlerbrauerei Goeggingen Ulrich Nauhauser GmbH C","Kirchweg 2, Goeggingen",,,,"(497) 576-9780",,http://www.goegginger.de
"Adolf Abel OHG, Spirituosenfabrik","Knapperstrasse 36",,,,"+49 2351 1794-0",,
"Ahornberger Landbrauerei Stroessner-Braeu KG","Brauereiweg, Ahornberg",,,,"(499) 292-1051",,
"Aktien-Brauerei Kaufbeuren AG","Hohe Buchleuthe 3",,,,"+49 8341 4304-0",,http://www.aktien-brauerei.de
"Aktienbrauerei Simmerberg","Ellhofer Strasse 2",,,,"(498) 387-1016",,
"Aktien-Brauerei Vilsbiburg AG","Hohe Buchleuthe 3",,,,08341430430,,http://www.aktien-brauerei.com
Ale-Mania,,,,,,planning,
"Allgaeuer Brauhaus AG","Beethovenstrasse 7",,,,"(498) 312-0500",,http://www.allgaeuer-brauhaus.de
"Alois Hempfer Rossle Brauerei KG","Am Mauerle 8",,,,"+49 (0) 7392 3564",,
"Alpirsbacher Klosterbraeu Glauner GmbH and Co","Marktplatz 1",,,,"+49 7444 67-0",,http://www.alpirsbacher.de
"Alte Klosterbrauerei Vierzehnheiligen Alfred Trunk","Haus Nr. 3",,,,"(499) 571-3488",,
"Altered Course Craftbrauerei",,,,,"+49 176 10200681",planning,
"Altes Brauhaus zu Fallersleben",Schlossplatz,,,,"(495) 362-3140",,
"Alt-Oberurseler Brauhaus GmbH, Im Deutschen Haus","Ackergasse 13",,,,"+49 6171 54370",,http://www.hochtaunus.net/vetter
"Altstadt-Braeu Johann Sion GmbH",,,,,,,
"Andorfer GmbH & Co. Weizenbierbrauerei KG","Rennweg 2",,,,"+49 851 753584",,
"Andreas Schneider Brauerei","Bachgasse 15/17",,,,"(499) 141-2407",,
"Ankerbraeu Noerdlingen Marie Grandel Bierbrauerei","Ankergasse 4",,,,"+49 9081 86077",,http://www.noerdlinger.de
"Anker-Brauerei Nagold GmbH","Freudenstaedter Strasse 14",,,,"(497) 452-2431",,http://www.anker-brauerei.de
"Anton Walser Gasthof und Brauerei zum Hasen","Hauptstrasse 3",,,,"(497) 309-2412",,
"Apostelbraeu Inh. Max Hirz KG","Eben 11-15",,,,"(498) 586-2200",,http://www.apostelbraeu.de
"Arcobraeu Graefliches Brauhaus GmbH and Co. KG","Schlossallee 1",,,,"+49 9938 918180",,http://www.arcobraeu.de
"Arnsteiner Brauerei Max Bender","Schweinfurter Strasse 9",,,,"+49 9363 777",,
"Aspera Brauerei Riese GmbH and Co","Rheinstrasse 146 -152",,,,"+49 208 588 98 0",regional,http://www.aspera-riese.de
"Auer Braeu AG","Muenchener Strasse 80",,,,"+49 8031 1805-0",,http://www.auerbraeu.de
"August Cohrt and Co. Getraenke GmbH","Eichkamp 1-9 und 16-20",,,,"+49 431 16905-0",,http://www.cohrt.de
"Augusta-Brauerei GmbH","Lauterlech 10-14",,,,"+49 821 311055",,
"Augustiner-Braeu Wagner KG","Landsberger Strasse 35",,,,"(498) 951-9940",,http://www.augustiner-braeu.de
"B and L Handelshaus GmbH","Kamerunweg 11",,,,"+49 40 781109-0",,
"B. Fuerst Erfrischungsgetraenke","Repperndorferstrasse 12e",,,,"(499) 321-4295",,
