name,address1,address2,city,state,zip,phone,type,url
"Altered Course Craftbrauerei",,"Heidenheim, Germany",,,,,planning,
"Aspera Brauerei Riese GmbH and Co","Rheinstrasse 146 -152","Mulheim an der Ruhr, Germany",,,,"+49 208 588 98 0",regional,http://www.aspera-riese.de
Bier-Company,"Mittenwalder Str. 24","Berlin, Germany",,,,"+49 30/ 694 01 257 / -8",micro,http://www.turn.de
Binding-Brauerei,"Darmstadter Landstr. 185 Postfach 700 240","Franfurt Am Main 70, Germany",,,,"+49 69 6065-381",regional,
"Bitburger Brauerei Th Simon GmbH","Postfach 1164","Bitburg, Germany",,,,"+49 6561 14-0",regional,
"Brau Und Brunnen","Aktiengesellschaft Rheinische Strasse 2","Dortmund, Germany",,,,"0231 1817-633",large,
"Brauerei A. Schnupp","Haupststr. 8","Altdrossenfeld, Germany",,,,92036474,regional,
"Brauerei Aldersbach",,"Aldersbach, Germany",,,,85431642,regional,
"Brauerei Alois Rittmayer","Aischerhauptstr 5.","Abtsgmund, Germany",,,,091957222,regional,
"Brauerei Alwin Maerkl","Hauptstrasse 11","Freudenberg, Germany",,,,"49 9627 912 40",regional,
"Brauerei Aying","Zornedinger Str 1","Aying, Germany",,,,"+49 8095 88 0",regional,http://www.ayinger-bier.de
"Brauerei Bischofshof Regensburg","Heitzerstrasse 2","Regensburg, Germany",,,,"(499) 412-0010",large,http://www.bischofshof.de
"Brauerei Bosch GmbH and Co KG","Steinackerstrasse 15","Bad Laasphe, Germany",,,,"+49 2752 476220",regional,http://www.brauerei-bosch.de
"Brauerei Burgerbrau August Rohm and Sohne KG","Waaggasse 1-3","D-83435 Bad Reichenahll, Germany",,,,"49 8651 608 617",regional,http://www.buergerbraeu.com
"Brauerei Felsenkeller Herford","Postfach 1351","Herford, Germany",,,,"(495) 221-9650",large,http://www.herforder-pils.de
"Brauerei Lemke Berlin","Dircksenstrasse, S-Bahnbogen 143","Berlin, Germany",,,,"49 30 247 287 27",micro,http://www.lemke.berlin
"Brauerei Ludwig Dorzbacher","Langestr 53","Ahorn-Schillingstadt, Germany",,,,7930374,regional,
"Brauerei Westheim GmbH","Kasseler Strasse 7","Marsberg-Westheim, Germany",,,,"(492) 994-8890",regional,http://www.brauerei-westheim.de
"Brauerei Wilhelm Ketterer","Jahnstrasse 10-22","Pforzheim, Germany",,,,"+49 7231 9211-0",micro,http://www.brauerei-ketterer.de
"Brauerigasthof Prosselbrau","Dominikanerinnenstr 1-3","Adlersberg, Germany",,,,94041822,regional,
"Brauhaus Faust OHG vormals Loewenbrauerei Miltenbe","Hauptstrasse 219","Miltenberg, Germany",,,,"+49 9371 971310",micro,http://www.faust.de
"Brewery in Planning - Berlin",,"Berlin, Germany",,,,491606949966,planning,
"Chr Schmid","Grunbaumbrauerei Aalen Postfach 1232 Ziegelstr","Aalen, Germany",,,,736132330,regional,
"Darmstaedter Privatbrauerei Wilhelm Rummel GmbH","Goebelstrasse 7","Darmstadt, Germany",,,,"+49 6151 9288-0",micro,http://www.darmstaedter.de
