name,address,city,state,zip,phone,type,url
"Brewery in Planning - Tsing Yi, Hong Kong",,,,,"852 92238285",planning,
"Carlsberg Hong Kong Limited","1/F Delta House, 3 On Yiu Street, Siu Lek Yuen,",,,,+85231898000,large,http://www.carlsberg.com
"Hong Kong Beer Co.","G/F Wah Shing - 5 Fung Yip Street",,,,,micro,
"MashnHop Brewery",,,,,,planning,http://www.mashnhop.com
"MPP Group","22 Wang Lee Str. 3rd Fl. Admin. Building",,,,,,
"San Miguel Brewery Inc","22 Wang Lee Street Yuen Long Industrial Estate",,,,"852-2486 7368",large,
"San Miguel Brewery Inc","22 Wang Lee Street Yuen Long Industrial Estate",,,,"852-2486 7368",large,
"San Miguel Brewery Inc","22 Wang Street Yuen Long Industrial Estate",,,,"852-2486 7368",large,
"South China Brewing Co Hong Kong Beer Co.","Unit 5A, Ground Floor Wah Shing Centre",,,,+852-2580-2506,,
"Young Master Ales","Unit 407-9 Oceanic Industrial Centre 2 Lee Lok Street",,,,,micro,http://www.youngmasterales.com
