name,address,city,state,zip,phone,type,url
"350 Brewing Co","7144 W 183rd St","Tinley Park",IL,60477,"(708) 518-2239",micro,http://www.350brewing.com
"4204 Main St Brewing Co","4204 W Main St",Belleville,IL,62226-5501,"(618) 416-7261",brewpub,http://www.mainstreetbrewingco.com
"5 Rabbit Cerveceria Inc","6398 W 74th St",Chicago,IL,60638-6129,"(312) 895-9591",micro,http://www.5rabbitbrewery.com
"Abbey Ridge Brewery & Tap Room",,"Alto Pass",IL,62905-3213,"(618) 634-1767",planning,
"Against the Grain Brewery & Alehouse",,"Rock Island",IL,61201-2949,"(309) 283-7605",planning,http://www.atgqc.com
"Alarmist Brewing Co",,,,,,planning,http://www.panicbrewing.com
"Ale Syndicate Brewers","2601 W Diversey Ave",Chicago,IL,60647-1817,"(773) 340-2337",micro,http://www.alesyndicate.com
"All Rise Brewing Co","235 N Ashland Ave",Chicago,IL,60607-1401,"(312) 226-6300",brewpub,http://www.allrisebrewing.com
"Alter Brewing Company",,"Downers Grove",IL,60515-4021,,planning,
"Ancient Owl Brewing",,,,,,planning,
"Aquanaut Brewing Co","5435 N Wolcott Ave",Chicago,IL,60640-1017,,micro,http://www.aquanautbrew.com
"Arcade Brewery LLC","2601 W Diversey Ave",Chicago,IL,60647-1817,"(847) 796-0049",proprietor,http://www.arcadebrewery.com
"Argus Brewery","11314 S Front Ave",Chicago,IL,60628-5007,"(773) 941-4050",micro,http://www.argusbrewery.com
"Around the Bend Beer Co.","2601 West Diversy",Chicago,IL,60647-1817,,contract,
"Atlas Brewing Co","2747 N Lincoln Ave",Chicago,IL,60614-1320,"(773) 295-1270",brewpub,http://www.atlasbeer.com
"Baderbrau Brewing Co","4338 N Ashland Ave",Chicago,IL,60613-1204,"(603) 512-6228",contract,http://www.baderbrau.com
"Beer Fairy Brewing",,,,,,planning,
"Begyle Brewing LLC","1800 W Cuyler Ave",Chicago,IL,60613-1295,"(773) 661-6963",micro,http://www.begylebrewing.com
"Belleville Brewing",,Belleville,IL,62220-3282,"(618) 304-1584",planning,http://www.bellevillebrewing.com
"Bent River Brewing Co","1413 5th Ave",Moline,IL,61265-1335,"(309) 797-2722",brewpub,http://www.bentriverbrewery.com
"Bent River Brewing Co Production & Tasting Room","512 24th St","Rock Island",IL,61201-8928,"(309) 283-4811",micro,http://www.bentriverbrewery.com
"Big Muddy Brewing Co","1430 N 7th St",Murphysboro,IL,62966-3938,"(618) 684-8833",micro,http://www.bigmuddybrewing.com
"Birreria @ Eataly","43 E Ohio St",Chicago,IL,60611-2701,,brewpub,http://www.eataly.com
"Blind Pig Brewery","120 N Neil St",Champaign,IL,61820-4023,"(217) 398-5133",brewpub,http://www.blindpigbrewery.com
"Blue Cat Brew Pub","113 18th St","Rock Island",IL,61201-8708,"(309) 788-8247",brewpub,http://www.bluecatbrewpub.com
"Blue Island Beer Co","13357 Old Western Ave","Blue Island",IL,60406-2969,"(708) 954-8085",micro,http://www.blueislandbeerco.com
"Breakroom Brewery","2925 W Montrose Ave",Chicago,IL,60618-1403,"(773) 564-9534",brewpub,http://www.breakroombrewery.com
"Brewery In Planning - Bloomington",,,,,,planning,
"Brewery In Planning - Broadlands",,Broadlands,IL,61816,,planning,
"Brewery In Planning - Burr Ridge",,Hinsdale,IL,60527,,planning,
"Brewery In Planning - Chicago",,Chicago,IL,60607,,planning,
"Brewery In Planning - Chicago",,,,,,planning,
"Brewery In Planning - Chicago",,Chicago,IL,60601,,planning,
"Brewery In Planning - Chicago",,Chicago,IL,60618,,planning,
"Brewery In Planning - Chicago",,Chicago,IL,60611,"(312) 576-1016",planning,
"Brewery In Planning - Chicago",,,,,,planning,
"Brewery In Planning - Chicago",,Chicago,IL,60654,,planning,
"Brewery In Planning - Chicago",,,,,,planning,
"Brewery In Planning - Chicago",,Chicago,IL,60643,,planning,
"Brewery In Planning - Chicago",,Chicago,IL,60640,,planning,
"Brewery In Planning - Cobden",,Cobden,IL,62920,,planning,
"Brewery In Planning - Gurney",,Gurnee,IL,60031-5560,,planning,
"Brewery In Planning - Hampshire",,Hampshire,IL,60140,,planning,
"Brewery In Planning - Itasca1",,Itasca,IL,60143,"(630) 250-8830",planning,
"Brewery In Planning - Lombard",,Lombard,IL,60148,,planning,
"Brewery In Planning - O Fallon",,,,,,planning,
"Brewery In Planning - Pekin",,Pekin,IL,61554,,planning,
"Brewery In Planning - Port Byron",,"Port Byron",IL,61275,,planning,
"Brewery In Planning - Riverside",,Riverside,IL,60546-1957,,planning,
"Brewery In Planning - South Elgin",,"South Elgin",IL,60177-1033,,planning,
"Brewery In Planning - Westmont",,Westmont,IL,60559,,planning,
"Brewery In Planning- Chicago, IL",,,,,,planning,
"Brewery In Planning- Chicago, IL.",,,,,,planning,
"Brewery In Planning- Darien, IL.",,Darien,IL,60561,,planning,
"Brewery In Planning- Dundee, IL.",,Dundee,IL,60118-1434,,planning,
"Brewery In Planning- Lake Zurich, IL.",,"Lake Zurich",IL,60047,,planning,
"Brewery Zatkoff",,Chicago,IL,60625-3002,,planning,http://www.breweryzatkoff.com
"Brickstone Restaurant & Brewery","557 William Latham Dr",Bourbonnais,IL,60914-2319,"(815) 936-9277",brewpub,http://www.brickstonebrewery.com
"BuckleDown Brewing","8700 47th St",Lyons,IL,60534-1626,"(708) 777-1842",micro,http://www.buckledownbrewing.com
"Cademon Brewing Co","217 W Main St",Genoa,IL,60135-1145,"(815) 827-6145",micro,http://www.cademon.com
"Carbondale Craft Beer LLC","184 Magnolia Ln",Carbondale,IL,62903-7667,,micro,
"Carlyle Brewing Co","215 E State St",Rockford,IL,61104-1010,"(815) 963-2739",brewpub,http://www.carlylebrewing.com
"Cary Ale House & Brewing Co.","208 W Main St",Cary,IL,60013-2786,,brewpub,
"Chain O'Lakes Brewing Co","3425 Pearl St",McHenry,IL,60050-4446,"(815) 331-8345",micro,http://www.chainolakesbrewing.com
