name,address1,address2,city,state,zip,phone,type,url
"Arbor Brewing Company India","8 Magrath Road, Allied Grande Plaza 3rd","Bangalore, India",,,,,brewpub,http://www.arborbrewing.in
"Blossom Industries Ltd.","Village Jani Vankad","Nani Daman, India",,,,+91-260-222-1050,micro,
"Brewery in Planning - durgapur","27,lindsay street","durgapur, India",,,,,micro,
"CMJ BREWERIES PVT LTD","CMJ HOUSE, FERNDALE COMPLEX, BLOCK-III,","SHILLONG, India",,,,,contract,http://www.cmjbrewery.com
"Empyrean Spirits Pvt Ltd",,"New Delhi, India",,,,91-9599587829,planning,http://www.empyreanspirits.com
"Golden Hill Breweries Ltd","Riico Industrial Area Shiwar","Sawai madhopur, India",,,,642-0202,regional,
"Haryana Breweries Ltd","Stone G.T. Rd Murthal","Sonepat, Haryana, India",,,,3314196,regional,
"Hindustan Breweries & Bottling","C 23-24 Wagle Industrial Estate","Thane, Maharashtra, India",,,,5323421,regional,
"Hope Floats Brewing Pvt Ltd.","8-2-293/82/J/III/173, Jubilee Hills, Pha","Hyderabad, India",,,,,micro,
"Independence Brewing Co","Company Zero One 79/1, Pingle Vasti, Mundhwa Road","Mundhwa, India",,,,,brewpub,http://www.independencebrewco.com
"Jupiter Breweries Ind. Ltd.","Diamond Harbor Rd PO Pailan","Parganas-24 South, West Bengal, India",,,,61-54-89,regional,
"Mohan Meakin Ltd","Mohan Nagar","Ghaziabad, UP, India",,,,0592-225,regional,
"Narang Breweries Exec Offices","28 Sardar Patel Marg","New Deli 110 020, India",,,,301-41-44,regional,
"Toit Brewpub","298, 100 Feet Road Indiranagar 560038","Bangalore, India",,,,+918042198630,brewpub,
"United Breweries Ltd.","PO Box 5104, 24 Grant Rd","Bangalore, India",,,,,large,
"White Owl Brewery","THE WHITE OWL, ONE INDIA BULLS CENTER, T","MUMBAI, India",,,,919892487878,brewpub,http://www.whiteowl.in
"Windmills Craftworks","Windmills Craftworks, No 331, Road 5B EP","Bangalore, India",,,,919900027600,brewpub,http://www.windmillscraftworks.com
"Yuksom Breweries Ltd","A-14 Kalumal Estate A.B. Nair Rd","Juhu, Bombay, India",,,,"620 2042",regional,
