name,address,city,state,zip,phone,type,url
"18th Street Brewery","5725 Miller Ave",Gary,IN,46403-2871,,contract,
"450 North Brewing Company @ Simmons Winery","8111 E 450 N",Columbus,IN,47203-8106,"(812) 546-0091",brewpub,http://www.450northbrewing.com
"Back Alley Brewing Co","211 S Main St",Goshen,IN,46526-3722,"(574) 370-4049",micro,
"Back Road Brewery","308 Perry St.","La Porte",IN,46350-3216,"(219) 362-7623",micro,http://www.backroadbrewery.com
"Bare Hands Brewery","12801 Sandy Ct",Granger,IN,46530-4309,"(574) 277-2258",micro,http://www.barehandsbrew.blogspot.com
"Barley Island Brewing Co","639 Conner St",Noblesville,IN,46060-2532,"(317) 770-5280",brewpub,http://www.barleyisland.com
"Basket Case Brewing Co","1340 1/2 Mill St",Jasper,IN,47546-2310,"(812) 482-4345",micro,http://www.basketcasebeer.com
"Bier Brewery and Taproom","5133 E 65th St",Indianapolis,IN,46220-4816,"(317) 696-0200",micro,http://www.bierbrewery.com
"Big Woods Brewery","PO Box 100",Nashville,IN,47448-0100,"(813) 988-6000",brewpub,http://www.bigwoodsbeer.com
"Birdboy Brewing Co",,"Fort Wayne",IN,46825-5304,"(260) 579-5508",planning,http://www.birdboybrewing.com
"Black Acre Brewing Co","5632 E Washington St",Indianapolis,IN,46219-6428,"(317) 207-6266",brewpub,http://www.blackacrebrewing.com
"Black Swan Brewpub","2067 E Hadley Rd",Plainfield,IN,46168-7484,"(317) 838-7444",brewpub,http://www.blackswanbrewpub.com
"Blind Owl Brewery","5014 E. 62nd St",Indianapolis,IN,46220-5228,"(317) 924-1000",brewpub,http://www.blindowlbrewery.com
"Bloomington Brewing Co","PO Box 6955 1795 E 10th St",Bloomington,IN,47407-6955,"(812) 339-2256",brewpub,
"Bloomington Brewing Co - Production Facility","2234 W Industrial Park Dr",Bloomington,IN,47404-2688,"(812) 339-2256",micro,http://www.bbcbloomington.com
"Books & Brews","9402 Uptown Dr Ste 1400",Indianapolis,IN,46256-1076,"(317) 288-5136",brewpub,http://www.booksnbrews.com
"Brew Link Brewing",,Plainfield,IN,46168-8232,"(317) 408-6970",planning,http://www.brewlinkbrewing.com
"Brewery In Planning - Bloomington",,Bloomington,IN,47401,,planning,
"Brewery In Planning - Carmel, IN.",,Carmel,IN,46033-9732,,planning,
"Brewery In Planning - Fishers",,,,,,planning,
"Brewery In Planning - Indianapolis",,Indianapolis,IN,46220,,planning,
"Brewery In Planning - Indianapolis",,Indianapolis,IN,46260,,planning,
"Brewery In Planning - Indianapolis",,Indianapolis,IN,46236,"(317) 823-0521",planning,
"Brewery In Planning - Indianapolis, IN.",,Indianapolis,IN,46220-2020,,planning,
"Brewery In Planning - Muncie",,Muncie,IN,47304,,planning,
"Brewery In Planning - South Bend",,"South Bend",IN,46619,,planning,
"Brewery In Planning - South Bend, IN.",,"South Bend",IN,46615-3413,,planning,
"Brewery In Planning - Valparaiso",,Valparaiso,IN,46385,,planning,
"Brewery In Planning- Carmel, IN.",,Carmel,IN,46032,,planning,
"Broad Ripple Brewing Co","840 E 65th St",Indianapolis,IN,46220-1674,"(317) 253-2739",brewpub,http://www.broadripplebrewpub.com
"Brothers Brewing Company",,,,,,planning,
"Brugge Brasserie","1011A E Westfield Blvd",Indianapolis,IN,46220-1719,"(317) 255-0978",brewpub,http://www.bruggebrasserie.com
"Brugge Brasserie (#2) / Vigo Brewing","401 S 9th St","Terre Haute",IN,47807-4417,"(812) 235-6758",micro,http://www.bruggebrasserie.com
"Bulldog Brewing","1409 119th St",Whiting,IN,46394-1714,"(219) 655-5284",brewpub,http://www.bulldogbrewingco.com
"Burn'Em Brewing","718 Freyer Rd","Michigan City",IN,46360-1911,"(219) 210-3784",micro,http://www.burnembrewing.com
"Byway Brewing Company",,,,,,planning,http://www.bywaybrewing.beer
