name,address1,address2,city,state,zip,phone,type,url
Alltech,"Cahergal, Clonbur","Galway, Ireland",,,,"(859) 885-9613",,http://www.alltech.com/alcoholdivision
"Bass Ireland Ltd","Ulster Brewery Glen Rd 11","Belfast, Ireland",,,,232301301,regional,
"Beamish Crawford Ltd","15 Leitrim St","Cork, Ireland",,,,,,
"Beoir Chorca Dhuibhne (West Kerry Brewery)","Bricks Pub An Riasc","Ballyferriter, Ireland",,,,"353 876822834",micro,http://www.westkerrybrewy.ie
"Biddy Early Brewery",Inagh,"Ennis, Ireland",,,,,,http://www.beb.ie
"Blacks Brewery",Farmlane,"Kinsale, Ireland",,,,353861523340,micro,http://blacksbrewery.com
"Carlow Brewing Company","Muine Bheag Business Park","Bagenalstown, Ireland",,,,,micro,
"Celtic Brew","Enfield Industrial Estate","Enfield, Ireland",,,,,,
"Central Bar",Carrickferus,"Northern Ireland, Ireland",,,,,,
"Costellos Brewing Company",Clashwilliam,"Gowran, Ireland",,,,"353 86 810 2320",contract,http://www.costellosbrewco.ie
"CWI Drinks","54b Mount Prospect Ave Clontarf","DUBLIN, Ireland",,,,353868059272,,
"Diageo Ireland-The Waterford Brewery","Mary Street","Waterford, Ireland",,,,,,
"Dublin Brewing Co","141-146 N. King St. Smithfield","Dublin, Ireland",,,,,,http://www.dublinbrewing.com
"E Smithwick & Sons Ltd","St Francis Abbey Brewery","Kilkenny, Ireland",,,,056-210-14,regional,
"Eight Degrees Brewing Company Limited","27a Drummartin Park","Goatstown, Ireland",,,,,contract,
"Galway Bay Brewery","Unit 12B Ballybrit Upper Monivea Rd.","Galway, Ireland",,,,,micro,
"Guinness Group Sales Ltd.","St James Gate","Dublin 8, Ireland",,,,"+353 1 453 5131",,
"Harp Ireland Ltd","Harp Lager Brewery","Dundalk (co. South), Ireland",,,,042-347-93,regional,
"Killarney Brewing Company","Muckross Road","Killarney, Ireland",,,,353646636505,micro,http://www.killarneybrewing.com
"Kinnegar Brewing",Aughavennon,"Rathmullan, Ireland",,,,353749158436,contract,http://www.kinnegarbrewing.ie
"Metalman Brewing","14 Tycor Business Centre Tycor","Waterford, Ireland",,,,"+353 (0) 51 348 448",micro,http://www.metalmanbrewing.com
"Molly's Yard","1 College Green Mews","Belfast, Ireland",,,,,,
"Murphy Brewery Ireland Ltd","Ladys Well Brewery 58 Leitrim St","Cork, Ireland",,,,021-50-3371,regional,
"Pokertree Brewing Co","357 B Drumnakilly Road County Tyrone","Carrickmore, Ireland",,,,,,
"Porter House Brewing Co","16-18 Parliament St","Dublin, Ireland",,,,,,
"Rye River Brewing Company",Donaghcumper,"Celbridge, Ireland",,,,35316287255,regional,http://www.ryeriverbrewingco.com
"Strangford Lough Brewing Company","22 Shore Road Braidleigh Lodge","Killyleagh, Ireland",,,,"44 (0)28 4482 1461",,http://www.slbc.ie
"Sullivans Brewing Co. (1702)","The Glasshouse, 16 John Street","Kilkenny, Ireland",,,,"353 872466136",micro,http://www.sullivansbrewingcompany.com
"The Corwn","46 Great Victoria Street Belfast","Northern Ireland, Ireland",,,,,,
"The John Hewitt","51 Donegall Street","Belfast, Ireland",,,,,,
"The Vineyard","375-377 Ormeau Road","Belfast, Ireland",,,,,,
"The White Horse","49 Main Street","Saintfield, Ireland",,,,,,
"Tipperary Brewing Co Ltd","De Mall","Thurles, Ireland",,,,"+353 504 22271",,
"Whitewater Brewin Co","40 Tullyframe Rd Kikeel","County Down, Ireland",,,,,,http://www.whitewaterbrewery.com
"Wicklow Wolf Brewery","Galtrim Park Bray","Co Wicklow, Ireland",,,,353871038460,micro,http://www.wicklowwolf.com
