name,address,city,state,zip,phone,type,url
"32 Via Dei Birrai","Via Cal Lusent 41",,,,,,
Abba,"Via Conti Della Rocchetta 39",,,,,,
"Alla Ghiacciaia","Via Beligna 1014",,,,,,
Amarcord,"Via Norvegia 7",,,,"+39 541 743558",,
"Appennino Risorse","Via G. Marconi 4",,,,,,
"Arte Birraia","Via Montegge 48",,,,,,
Beba,"Viale Italia 11",,,,,,
"Beba SRL Train Robbers Synd.","V.le Italia, 11",,,,"+39 1213 15755",brewpub,http://www.birrabeba.it
"BEFeD Pub","Viale Costa 6/B",,,,,,
"Bi-Du Brew Pub","Via Confine 26",,,,,,
Bierstube,"Via Lungolago 6",,,,,,
"Birra Amiata Srl","Via Poderino 1 Loc. Zancona",,,,+393405106742,micro,http://www.birra-amiata.it
"Birra Castello","Via Le V. Veneto 72",,,,,,
"Birra Ceria","V.S. Agata Dei Goti 33",,,,,,
"Birra Del Borgo Srl","Loc. Piana di spedino snc",,,,39074631287,micro,http://www.birradelborgo.it
"Birra Dreher","Localita Autoporto 9",,,,,,
"Birra Dreher","Via Maffucci 10",,,,39-2-37751,large,
"Birra Forst SpA","Casella Postale 29 Via Val Venosta 8",,,,473260111,regional,
"Birra Menabrea","Via Ramella Germanin 4",,,,,,
"Birra Moretti","Viale Venezia 9",,,,,,
"Birra Olimpo Artigianale","Contrada Pieta 10",,,,,,
"Birra Peroni-napoli","Piazza Madonna Del`Arco 12 I-80145 Miano Di Napoli",,,,390817305111,large,
"Birra Prodel","Via Cirimele 14",,,,,,
"Birra Stelvio","Via Roma 27",,,,,,
"Birra Stelvio","Via ROMA N27",,,,+39-342-904785,micro,http://www.braulio.it
Birracrua,"Strada Vicinale Monte Crocetta 6",,,,,,
"Birreria Cicci Coco","Via Pietro Milanese 39",,,,,,
"Birreria De Momi","Via Botte 64",,,,,,
"Birreria Del Vichingo","Via Colomara 3",,,,,,
"Birreria Pedavena","Piazza Fiera 13",,,,,,
"Birrificio Artigianale Bassa Bresciana","Via San Martino Del Carso 6",,,,,,
"Birrificio Artigianale Foglie d`Erba","Via Nazionale 87, P.I. 02506010301",,,,000393473555197,micro,http://www.birrificiofogliederba.it
"Birrificio Artigianale Pevak","Strada A 16/B S.Zeno",,,,,,
"Birrificio Artigianale Tennent's Tavern","Via Filettine 211",,,,,,
"Birrificio Artigiano","Via Settelvalli 133",,,,,,
"Birrificio Casa Del Popolo","Via F.lli Borghini 34 Anzola D`Ossola",,,,"(393) 238-3031",brewpub,http://www.roybeer.com/microbirrifici/casadelpopolo.htm
"Birrificio Casa Del Popolo","Via F. Ili Borghini 34",,,,,,
"Birrificio Di Comoo","Via Giovanni Scalabrini 10",,,,,,
"Birrificio E Birreria Turbacci","Via Della Mezzaluna 50",,,,,,
"Birrificio Italiano srl","Via Castello 51",,,,"(393) 189-5450",brewpub,http://www.birrificio.it
"Birrificio Lambrate","Via Adelchi, 5",,,,"+39 2 70638678",,http://www.birrificiolambrate.com
"Birrificio Lambrate","Via Adelchi 5",,,,,,
"Birrificio Lodigiano","Via Adda 6",,,,,,
"Birrificio Ostiense Artigianale","Piazzale Del Ravennati 1",,,,,,
"Birrificio Pettenaschese","Corso Roma 3",,,,,,
"Birrificio Prinz","Via Domodossola 7",,,,,,
"Birrificio Rurale S.r.l.",,,,,"(335) 177-3191",planning,
"Birrificio San Paolo","Via Airasca 11",,,,,,
"Birrificio Svevo","S.P. 231 KM 0 800",,,,,,
"Birrificio Toccalmatto","Via San Michele Campagna 22/c",,,,"(052) 453-3289",,http://www.birratoccalmatto.it
"Birrificio Torino","Via Parma 30",,,,,,
"Birrificio Troll","Strada Valle Grande 15/A",,,,,,
"Birrificio Udinese Brewpub","Piazzale Osoppo Via Caccia 5",,,,,brewpub,http://www.bire.it
"Brasseria Spluga","Via Degli Emigranti 12",,,,,,
"Brew Pub Turbacci","Via della Mezzaluna, 50 Ctr Sportivo Mezzaluna di Mentana",,,,"(396) 909-4701",brewpub,
"Brewery In Planning- Italy",,,,,,planning,
"Brewery In Planning- Milan",,,,,,planning,
"Canediguerra SRL - CDG SRL","Via Del Prato 11",,,,"39 0131 325438",micro,http://www.canediguerra.com
"Carlsberg Italia S.p.A","Via Olona, 103",,,,"+39 (0)332 208 111",large,
"Centrale Della Birra","Viale Trento Trieste 62/A",,,,"(393) 723-3267",brewpub,http://www.centraledellabirra.it
"Centrale Della Birra","Viale Trento Trieste 62/A",,,,,,
"COBIT ITALIA di Faieta Ugo","Via Aldo Moro, 28\36",,,,,,http://www.lacu.it
"Cooperativa Sociale DIEFFE",,,,,393296670013,planning,http://www.dieffe.com/
"Coopers Yard","Via D. Stazione 65/b",,,,,,
"Crak Brewery","Via Galielo Galilei 14",,,,393492613292,micro,http://www.crakbrewery.com
"Duel Beer","Via Antiniana 2A",,,,,,
Echo,"Via Pontiglia 37",,,,,,
"Fabbrica Birra Busalla","Genova localita Birra",,,,"+39 10 964 0161",,http://www.prodottoitaliano.com/categorie/alimenta_fr.htm
"Gasthaus Alpen Keller","Via Cola D` Amatrice 30",,,,"(397) 364-1786",brewpub,
"Grado Plato Birrificio","Viale Fasano 36/bis",,,,,,
"Gruppo Italy SRL","Via G Strepponi 50 / A",,,,39-0524-90137,micro,
"Hausbrandt Theresianer Antica Birreria","Via Foscarini 52",,,,"(390) 422-8891",micro,http://www.theresianer.com
"Heineken Italia S.p.A.","Stabilimento di Pedavena Viale Vittorio Veneto, 78",,,,"+39 439 330 213",large,
"HOPS! Desenzano","Via Dei Colli Storici 115",,,,,,
"Hotel Excelsior","Piazza Cesare Battisti, 11",,,,"+39 462.340403",,
"Il Birraio","Via Del Duomo 13-17",,,,,,
"Il Giardino Della Birra","Via Ortica 8-10",,,,,,
"Industrie Moretti","Via Olona 103",,,,,,
"Industrie Poretti SPA","Via Olona 103",,,,200.12,large,
"Iron Twins Brew Bar","Via Legnano 31",,,,,,
"Ittolittos Pub","Olgiati 25",,,,,,
"La Barchessa Di Villa Pola","Via Sandro Pomini 3",,,,,,
"Le Baladin","P. 5 Luglio n15",,,,"+39 173795431",brewpub,
"Luca Ferretti","Via Faggeto 1",,,,,,
Maivisto,"Via Maivista 3",,,,,,
"Manerba Brewery","Via Treisago 19",,,,,,
"Mastro Birraio","Via Nazionale 97",,,,,,
