name,address,city,state,zip,phone,type,url
"Abashiri Beer","Minami 2 Jonishi",,,,"(015) 245-5100",micro,http://www.takahasi.co.jp/beer
"Asabiraki Co.","Daiji-ji No. 10, No. 34",,,,"(019) 652-3111",micro,http://www.asabiraki-net.jp
"Asahi Breweries Ltd","23-1 Azumabashi 1-chome Sumida-ku 130",,,,+81-3-5608-5160,large,http://www.asahibeer.co.jp
"Baeren Brewery Ltd.","Kitagama 1-Chome, 3-31",,,,"(019) 606-0766",micro,http://www.baerenbier.com
"Baiko Mountain Takashilsaotera","Okudo 93 Shimokita",,,,"(017) 537-3342",micro,http://www.bikou.yukimizake.net
"Baird Brewing Co","1052-1 Odaira",,,,81-558-73-1199,micro,http://www.bairdbeer.com
"Brau Stern Co. Ltd.","3-10-4 Toranomon #207 Toranomon Garden",,,,"+81 354 25 7477",,
"Brauhaus Onuma CO","OnumaCho Kameda",,,,"(012) 016-2142",micro,http://www.onumabeer.co.jp
"Brewery In Planning - Tokyo",,,,,+81-80-4209-9869,planning,
"Coedo Brewery","385-10 Kamitome Miyoshi-machi",,,,,,
"COEDOBREWERY Kyodoshoji Corp., Ltd","2908-2 Imafuku",,,,+81-49-244-6911,,
"Devil Craft","DevilCraft Brewery 1-3-22 Hiromachi, Tat",,,,,micro,
"Ebisu Brewery","1-4-1 Mita Meguro-Ku",,,,,large,
"Echigo Beer Co. Ltd","Yubinbango953-0016 District Matsuyama 2",,,,"(025) 676-2866",,
"Ekinan Co., Ltd","2548-1 Nishishinmachi",,,,"81 0853-20-2811",micro,http://www.ekinan.jp
"Fujikankokaihatsu Co. Ltd.","6663-1 Funatsu Kawaguchiko",,,,"+81 555-83-2236",,http://www.fuji-net.co.jp
"Ginga Kogen Beer","2-8-12 Ginza Chuo-ku",,,,,,
"Ginga-Kogen Beer Co","3-647-1 Sawauchi Kaisawa",,,,"(019) 785-5321",,
"Hakodate Beer","Restaurant Hakodate 2nd Meijikan Otemachi",,,,"(013) 826-1811",micro,http://www.hakodate.or.jp
"Hanyu no Sata Co Ltd","1725 Ohaza-Mitagaya",,,,"+81 48-565-5267",micro,http://www.hana-beer.com
