name,address1,address2,city,state,zip,phone,type,url
"Abashiri Beer","4-1-2 Minami Nijo Nishi","Abashiri, Japan",,,,"(152) 45-5100",,http://www.takahasi.co.jp/beer
"Asabiraki Co.","Daiji-ji No. 10, No. 34","Morioko, Japan",,,,"(019) 652-3111",,http://www.asabiraki-net.jp
"Asahi Breweries Ltd","23-1 Azumabashi 1-chome Sumida-ku","Tokyo-to, Japan",,,,"+81 3 5608 5112",,http://www.asahibeer.co.jp
"Baeren Brewery Ltd.","Kitagama 1-3-31","Morioka, Japan",,,,"(019) 606-0766",,http://www.baerenbier.com
"Baiko Mountain Takashilsaotera","Okudo 93 Shimokita","Oma, Japan",,,,"(017) 537-3342",,http://www.bikou.yukimizake.net
"Baird Brewing Co","1052-1 Odaira","Izu, Japan",,,,"(055) 873-1225",,http://www.bairdbeer.com
"Be Easy Brewing","Matsuga 5 - Chome 7 - 9 1F","Hirosaki City, Japan",,,,"+81 172-78-1222",,http://www.beeasybrewing.com
"Brauhaus Onuma CO","OnumaCho Kameda","Nanae, Japan",,,,"81 0138-67-2227",,http://www.onumabeer.co.jp
"COEDOBREWERY Kyodoshoji Corp., Ltd","Oya 1352","Higashimatsuyama, Japan",,,,+81-49-259-7735,,http://www.coedobrewery.com
"Devil Craft","Kanda - Ishikawa Bldg. Nihonbashi-Muromachi 4-2-3","Chuo-ku, Japan",,,,"(036) 265-1779",,http://www.devilcraft.jp
"Ebisu Brewery","4-20-1 Ebisu Shibuya","Tokyo, Japan",,,,"(035) 423-7255",,
"Ekinan Co., Ltd","2548-1 Nishishinmachi","Izumo-shi , Japan",,,,"81 0853-20-2811",,http://www.ekinan.jp
"Hakodate Beer","Restaurant Hakodate 2nd Meijikan Otemachi","Hakodate, Japan",,,,"+81 138-23-8000",,http://www.hakodate.or.jp
"Hanyu no Sata Co Ltd","1725 Ohaza-Mitagaya","Hanyu-city, Japan",,,,"+81 48-565-5267",,http://www.hana-beer.com
"Harvest Moon Brewery","1-4 Maihama","Urayasu City, Japan",,,,"+81 47-305-5652",,http://www.ikspiari.co.jp/harvestmoon
"Hokkaido Asahi Breweries Ltd.","Nanko Dori 4 - Chome South 1-1 Shiraishi Ward","Hokkaido, Japan",,,,"+81 11-863-3515",,
"Hokkaido Brewery CO","Takashima 1-8-16","Otaru, Japan",,,,"(013) 421-0775",,http://www.hokkaidobeer.com
"Hokkaido Winery Beer","1-130 Asarigawa Onsen","Otaru-shi, Japan",,,,"(013) 434-2181",,
"Hyappa Brews","20-1 Minami-Chigara Nishiura Cho","Gamagori, Japan",,,,"81 (533) 799-449",,http://www.hyappabrews.com
"Iki iki Beer","8-1 Okade","Himishi, Toyama Prefecture, Japan",,,,"+81 766-91-8200",,
"Ise Kadoya Brewery","6-428 Jinkyu","Ise, Japan",,,,"+81 596-21-8108",,http://www.kadoyahomtem.co.jp
"Kamiheii Syuzo Co.","31 Chiwari-19-7 Aozasacho Nukamae","Tono, Japan",,,,"(019) 862-2002",,
"Kitakami Beer Co Ltd","103 Gou Dai-1-Numatahaitu 812-4 Ina - Akiruno-shi","Tokyo, Japan",,,,"+42 533 0522",,
"Kiuchi Syuzuo Ltd","1257 Kounosu","Naka-shi, Japan",,,,"+81 29-298-0105",,http://www.kodawari.cc
"Kohjinsha Co Ltd",Toko,"Chitose, Japan",,,,"(012) 346-5231",,
"Kumazawa Brewing Co.","2292 Kagawa","Chigasaki-shi, Japan",,,,"+81 467-52-6118",,
"Kyoto Brewing Co.","25-1 Nishi-Kujyo Takahatacho Minami-Ku","Kyoto-Shi, Japan",,,,81-(0)75-574-7820,,http://www.kyotobrewing.com
"LOCOBEER Inc","1193 Joza","Sakura-shi, Japan",,,,81-43-487-6914,,http://www.locobeer.jp
"MS Brewing","1 Chome Minami 3 Johigashi Chuo-Ku","Sapporo, Japan",,,,"(011) 218-5311",,http://www.facebook.com/msbrewing
"Niseko Brewing","Hondori 4-11 Abuta District","Niseko, Japan",,,,"(013) 655-5664",,http://www.niseko-wow.com
"Obihiro Beer Co","6-13-20 Nishi 16 Jominami","Obihiro-shi, Japan",,,,"(015) 534-3418",,http://www.elpaso.co.jp
"Octagon Brewing(Maruhachi Real Estate Co., Ltd.)","315-25 Tamachi, Naka-ku Octagon Brewing","Hamamatsu, Japan",,,,"81 (534) 012-007",,http://www.octagonbrewing.com
"Oirase Beer","Oaza Okuse 39-1 Kamikita","Machi, Japan",,,,"(017) 672-3201",,http://www.oirase.or.jp/beer
"Okhotsk Beer CO","2-2 2 Chome","Yamashita-cho, Japan",,,,"(015) 723-6300",,http://www.beers.co.jp/okb
"Okinawa Brewing Company","443 Toya Yomitan-son","Okinawa-ken, Japan",,,,"(098) 923-5850",,http://www.okinawabrewingcompany.com
"Orion Breweries Ltd",Urasoe-shi,"Okinawa, Japan",,,,81988771133,,
"Outsider Brewing","1-1-5 Chuo Miyazawa Building 1F & 2F","Kofu-shi, Japan",,,,"(055) 223-2622",,
"Saitama Brewery","385-10 Kaitome, Myoshi-machi, Iruma-gun Saitama-ken Kawagoe-shi 354-0045","Saitama, Japan",,,,,,
"Sapporo Beer Sendai Beer Garden","Hachiman - 310 - 1 Tekurada","Natori, Japan",,,,"+81 22-384-9301",,http://www.sapporobeer.jp
"Sekinoichi-shuzo Co.,Ltd/Iwai Brewery","5-42 Tamuracho","Ichinoseki-city, Japan",,,,+81-191-21-1144,,http://www.sekinoichi.co.jp
