name,address,city,state,zip,phone,type,url
"Brewery in Planning - Seoul",,,,,821020889264,planning,
"Budnamu Brewery","93-8 Hongje Dong",,,,82-10-9404-1691,brewpub,http://www.budnamu.kr
"Chosun Brewery Co., Ltd.","640 Youngdeungpo-Dong Youngdeoungpo-Ku",,,,,large,
"Craftworks Brewing Company","Myeongsan Building, #206, 651-bunji Yongsan-gu, Yongsan 2-dong",,,,,,
"Devil's Door","6th Floor, A-Ju Digital Tower 284-56 Sung-Su 2ga",,,,"(026) 282-4466",brewpub,
Hitejinro,"55, Digital-ro 33-gil, Guro-gu",,,,,proprietor,
"HITEJINRO Group","132-12, Cheongdam-dong",,,,,proprietor,
"Jeju Brewery - Modern Time","263-6 Yeon-dong Jeju Si",,,,82-64-748-4180,brewpub,
"Jinro Coors Brewing Co Ltd","52 Joongsam-Ri-hyundo Mym Cheongum-Gu",,,,82432794881,regional,
"Magpie Brewing Co.","Yongsangu Itaewon2dong 704",,,,,micro,http://www.magpiebrewing.com
"Micro Brewery Korea Co Ltd","125 seonggok-gil, useong-meeon,",,,,"82 010 5403 5048",brewpub,http://www.weizenhaus.com
"Oriental Brewing Co","27 Shinha-ri",,,,,,
Platinum,"Yeoksamdong 822-2",,,,"(822) 465-3100",micro,http://www.platinumbeer.com
"The Hand And Malt","Chang Hyun Li 23-16",,,,82315936258,micro,http://www.thehandandmalt.com
"The Shisha House","Yuseong-gu Kungdong 404-5 (1f)",,,,,,
"Vaneheim Brewery Co.","240-19 KO/RYEO BLDG",,,,"(882) 948-8003",,
