name,address1,address2,city,state,zip,phone,type,url
"Brewery in Planning - Seoul",,"Seoul, Korea, Republic Of",,,,821020889264,planning,
"Brewery in Planning - Suwon",,"Suwon, Korea, Republic Of",,,,,planning,
"Budnamu Brewery","93-8 Hongje Dong","Gangneung, Korea, Republic Of",,,,82-10-9404-1691,brewpub,http://www.budnamu.kr
"Chosun Brewery Co., Ltd.","640 Youngdeungpo-Dong Youngdeoungpo-Ku","Seoul, Korea, Republic Of",,,,,large,
"Craftworks Brewing Company","Myeongsan Building, #206, 651-bunji Yongsan-gu, Yongsan 2-dong","Seoul, Korea, Republic Of",,,,,,
"Devil's Door","6th Floor, A-Ju Digital Tower 284-56 Sung-Su 2ga","Seoul, Korea, Republic Of",,,,"(026) 282-4466",brewpub,
"Galmegi Brewing Company","58 Gwangnam-ro","Busan, Korea, Republic Of",,,,8211066297113,brewpub,http://www.galmegibrewing.com
Hitejinro,"55, Digital-ro 33-gil, Guro-gu","seoul, Korea, Republic Of",,,,,proprietor,
"HITEJINRO Group","132-12, Cheongdam-dong","Kangseo-ku, Seoul, Korea, Republic Of",,,,,proprietor,
"Jeju Brewery - Modern Time","263-6 Yeon-dong Jeju Si","Jeju Do, Korea, Republic Of",,,,82-64-748-4180,brewpub,
"Jinro Coors Brewing Co Ltd","52 Joongsam-Ri-hyundo Mym Cheongum-Gu","Cheongum-Gu, Korea, Republic Of",,,,82432794881,regional,
"Magpie Brewing Co.","Yongsangu Itaewon2dong 704","Seoul, Korea, Republic Of",,,,,micro,http://www.magpiebrewing.com
"Micro Brewery Korea Co Ltd","125 seonggok-gil, useong-meeon,","gongju-si, Korea, Republic Of",,,,"82 010 5403 5048",brewpub,http://www.weizenhaus.com
"Oriental Brewing Co","27 Shinha-ri","Icheon, Korea, Republic Of",,,,,,
Platinum,"Yeoksamdong 822-2","Seoul, Korea, Republic Of",,,,"(822) 465-3100",micro,http://www.platinumbeer.com
"The Booth",,"Seoul, Korea, Republic Of",,,,,planning,http://thebooth.co.kr
"The Hand And Malt","Chang Hyun Li 23-16","Hwado, Korea, Republic Of",,,,82315936258,micro,http://www.thehandandmalt.com
"The Shisha House","Yuseong-gu Kungdong 404-5 (1f)","Daejeon, Korea, Republic Of",,,,,,
"Vaneheim Brewery Co.","240-19 KO/RYEO BLDG","Seoul, Seoul, Korea, Republic Of",,,,"(882) 948-8003",,
