name,address,city,state,zip,phone,type,url
"Allagash Brewing Co","50 Industrial Way",Portland,ME,04103-1270,"(207) 878-5385",regional,http://www.allagash.com
"Andrews Brewing Co","353 High St",Lincolnville,ME,04849-5846,"(207) 763-3305",micro,
"Atlantic Brewing Co","15 Knox Rd","Bar Harbor",ME,04609-7770,"(207) 288-2337",micro,http://www.atlanticbrewing.com
"Austin Street Brewery","1 Industrial Way Ste 8",Portland,ME,04103-1072,"(207) 831-6387",micro,http://www.austinstreetbrewery.com
"Bag and Kettle, The","19 Village West","Carrabassett Valley",ME,04947,"(207) 237-2451",brewpub,http://www.thebagandkettle.com
"Banded Horn Brewery","32 Main St Bldg 13-W",Biddeford,ME,04005-5173,,micro,http://www.bandedhorn.com
"Bar Harbor Brewing Co","8 Mount Desert St","Bar Harbor",ME,04609-1717,"(207) 288-4592",micro,http://www.barharborbrewing.com
"Baxter Brewing Co, LLC","PO Box 603",Auburn,ME,04212-0603,"(207) 333-6769",micro,http://www.baxterbrewing.com
"Belfast Bay Brewing Co","100 Searsport Ave",Belfast,ME,04915-7221,"(207) 338-4216",contract,http://www.belfastbaybrewing.com
"Bigelow Brewing Company","473 Bigelow Hill Rd",Skowhegan,ME,04976-5126,"(207) 399-6262",micro,http://www.bigelowbrewing.com
"Bissell Brothers Brewing","1 Industrial Way Ste 3",Portland,ME,04103-1072,"(207) 423-3622",micro,http://www.bissellbrothers.com
"Black Bear Brewery","19 Mill St Ste 4",Orono,ME,04473-4095,"(207) 949-2880",micro,http://www.blackbearmicrobrew.com
"Boothbay Craft Brewery, Inc","301 Adams Pond Rd",Boothbay,ME,04537-4334,"(217) 633-3411",micro,http://www.boothbayresort.com
"Brays Brewing Co, Inc","678 Roosevelt Trl",Naples,ME,04055-5335,"(207) 693-6806",brewpub,http://www.braysbrewpub.com
"Brewery In Planning - Orrington",,Orrington,ME,4474,,planning,
"Bunker Brewing Co","122 Anderson St",Portland,ME,04101-2546,"(207) 450-5014",micro,
"D.L. Geary Brewing Co Inc.","38 Evergreen Dr",Portland,ME,04103-1066,"(207) 878-2337",regional,http://www.gearybrewing.com
"Deep Water Brewing At the Vinery","33 Tenney Hl","Blue Hill",ME,04614-5948,"(207) 374-2411",micro,http://www.arbovine.com
"Foundation Brewing Company","1 Industrial Way Ste 5",Portland,ME,04103-1072,"(207) 370-8187",micro,http://www.foundationbrew.com
"Friar's Brewhouse","21 Central St",Bangor,ME,04401-5105,"(207) 947-3770",micro,
"Funky Bow Brewery & Beer Company","21 Ledgewood Ln",Lyman,ME,04002-7376,"(888) 456-2345",micro,http://www.funkybowbeercompany.com
"Geaghan Brothers Brewing Co","570 Main St",Bangor,ME,04401-6821,"(207) 945-3730",brewpub,http://www.geaghanspub.com
"Gneiss Brewing","94 Patterson Rd",Limerick,ME,04048-4242,,micro,http://www.gneissbeer.com
"Gritty McDuffs - Freeport","PO Box 328",Freeport,ME,04032-0328,"(207) 865-4321",brewpub,http://www.grittys.com
"Gritty McDuffs - Lewiston/Auburn","68 Main St",Auburn,ME,04210-5812,"(207) 376-2739",brewpub,
"Gritty McDuffs - Portland","396 Fore St",Portland,ME,04101-4026,"(207) 772-2739",brewpub,http://www.grittys.com
"Hidden Cove Brewing Co","73 Mile Rd",Wells,ME,04090-4135,"(207) 646-0228",micro,http://www.hiddencovebrewingcompany.com
"Inn On Peaks Island Brewery, The","33 Island Ave","Peaks Island",ME,04108-1333,"(207) 766-5100",brewpub,http://www.innonpeaks.com
"Kennebec River Brewery","PO Box 100 1771 US Rte 201","West Forks",ME,04985-0100,"(800) 765-7238",brewpub,http://www.northernoutdoors.com
"Kennebunkport Brewery / Federal Jacks","8 Western Ave Ste 6",Kennebunk,ME,04043-7756,"(207) 967-4311",brewpub,http://www.federaljacks.com
"Liberal Cup Public House and Brewery","115 Water St",Hallowell,ME,04347-1357,"(207) 623-2739",brewpub,http://www.theliberalcup.com
"Liquid Riot Bottling Co.","4 Canal Plz Ste 1",Portland,ME,04101-4034,"(207) 221-8889",brewpub,http://www.novareresbiercafe.com
"Lively Brewing Co / Ebenezer's Brewpub","112 Pleasant St",Brunswick,ME,04011-2207,"(207) 373-1840",brewpub,
"Lubec Brewing Co",,Eastport,ME,4631,,planning,
"Maine Beer Co","525 US Route 1",Freeport,ME,04032-7009,"(207) 221-3159",micro,http://www.mainebeercompany.com
"Maine Coast Brewing Co / Jack Russel's Steakhouse","102 Eden St","Bar Harbor",ME,04609-1106,"(207) 288-4914",micro,
"Mainely Brews Restaurant and Brewhouse","One Post Office Sq",Waterville,ME,04901-6651,"(207) 873-2457",contract,http://www.mainelybrews.com
"Marshall Wharf Brewing Co","40 Marshall Wharf",Belfast,ME,04915-6835,"(207) 338-1707",micro,http://www.marshallwharf.com
"Monhegan Brewing Co.","1 Boody Lane",Monhegan,ME,04852,"(207) 975-3958",micro,http://www.monheganbrewingcompany.com
"Mount Henry Brewing Co",,,,,,planning,
"Oak Pond Brewing Co","101 Oak Pond Rd",Skowhegan,ME,04976-4602,"(207) 474-3233",micro,http://www.oakpondbrewery.com
"Orono Brewing Company","PO Box 106",Orono,ME,04473-0106,"(207) 866-4677",brewpub,http://www.oronobrewing.com
"Oxbow Brewing Co","274 Jones Woods Rd",Newcastle,ME,04553-3123,"(207) 351-5962",micro,http://www.oxbowbeer.com
"Peak Organic Brewing Co","110 Marginal Way # 802",Portland,ME,04101-2442,"(207) 586-5586",proprietor,http://www.peakbrewing.com
"Pennesseewassee Brewing","458 Plains Rd",Harrison,ME,04040-3829,"(207) 743-9808",micro,http://www.pennybrew.com
"Penobscot Bay Brewery","PO Box 405 279 South Main Street",Winterport,ME,04496-0405,"(207) 223-4500",brewpub,http://www.winterportwinery.com/brewery.asp
"Post Road Tavern & Rocky Coast Brewing","705 Main St",Ogunquit,ME,03907-3013,"(207) 641-0640",brewpub,http://www.postroadtavern.com
"Rising Tide Brewing Co","103 Fox St",Portland,ME,04101-2539,"(207) 370-2337",micro,http://www.risingtidebrewing.com
"Rock Harbor Pub & Brewing","416 Main St",Rockland,ME,04841-3345,"(207) 593-7488",brewpub,http://www.rockharbor.me
"Run of the Mill Public House & Brewery","100 Main St",Saco,ME,04072-3500,"(207) 571-9648",brewpub,
"Sea Dog Brewing Co - Bangor","26 Front St",Bangor,ME,04401-6418,"(207) 947-8009",brewpub,http://www.seadogbrewing.com
"Sebago Brewing Co & Corporate Offices","48 Sanford Dr",Gorham,ME,04038-2646,"(207) 856-2537",micro,http://www.sebagobrewing.com
"Sheepscot Valley Brewing Co","74 Hollywood Blvd",Whitefield,ME,04353-3729,"(207) 549-5530",micro,http://www.sheepscotbrewing.com
"Shipyard Brewing Co","86 Newbury St",Portland,ME,04101-4219,"(207) 761-0807",regional,http://www.shipyard.com
"Shipyard Brewing Co Brewpub","28 Levesque Dr Ste 4 C/O Eliot Commons",Eliot,ME,03903-2073,"(207) 686-2026",brewpub,
"SoMe Brewing Co","1 York St Ste 3",York,ME,03909-1392,"(215) 718-3541",micro,http://www.somebrewingco.com
"Strong Brewing","7 Old Rope Ferry Rd",Sedgewick,ME,03907,"(207) 641-0640",micro,http://www.strongbrewing.com
"Sunday River Brewing Co","PO Box 4152",Portland,ME,04101-0352,"(207) 824-4253",brewpub,http://www.sundayriverbrewpub.com
"Tributary Brewing Company","10 Shapleigh Rd",Kittery,ME,03904-1480,,micro,http://www.tributarybrewingcompany.com
"Tumbledown Brewing LLC","805 Farmington Falls Rd Ste 7 Eastside Mall",Farmington,ME,04938-6454,"(207) 944-0697",micro,http://www.tumbledownbrewing.com
