name,address,city,state,zip,phone,type,url
"Baja Brewing Co SA de CV","Morelos E/Comonfort Y Obregon 1277",,,,,brewpub,
"Brewery in Planning - Apatzingan",,,,,5214531194102,planning,
"Brewery in Planning - colima",,,,,"(716) 548-0708",planning,
"Brewery in Planning - colima",,,,,,planning,
"Brewery in Planning - colima",,,,,"(716) 548-0708",planning,
"Brewery in Planning - colima",,,,,"(716) 548-0708",planning,
"Brewery In Planning - Guadalajara",,,,,,planning,
"Brewery in Planning - Hermosillo",,,,,"(662) 149-0798",planning,
"Brewery in Planning - Hermosillo",,,,,"(662) 149-0798",planning,
"Brewery in Planning - hermosillo",,,,,,planning,
"Brewery in Planning - La Paz",,,,,,planning,
"Brewery in Planning - Mexico",,,,,,planning,
"Brewery In Planning - Mexico",,,,,,planning,
"Brewery in Planning - Mexico City",,,,,,planning,
"Brewery in Planning - Mexico City",,,,,"(554) 388-8955",planning,
"Brewery In Planning - San Pedro",,,,,,planning,
"Brewery In Planning - Tijuana Mexico",,,,,,planning,
"Brewery In Planning- Mexico",,,,,,planning,
"Cancun Brewing Company",,,,,529848772415,planning,http://www.cervezacancun.com
"Carmen Beer Co.","Av. Balamcanché, Plaza Xaman Ha, Playaca",,,,"1 724 4135566",brewpub,http://fb.com/carmenbeerco
"Cervceria Cuitlahuac","Claveles 22 Mza 29 Lote 25 SM 22",,,,529981278405,,
"Cervecera Del Tropico","Carretera Tuxtepec- KM2",,,,287-522-11,regional,
"Cerveceria Agua Mala","Carretera Tijuana - Ensenada Km 104 Fracc. Ray Ban #999 Apt 1",,,,"+52 626 174 6068",micro,http://www.aguamala.com.mx
"Cerveceria Allende","Valle Verde 4 Loma De Vallescondido",,,,,micro,http://www.cerveceriaallende.com
"Cerveceria Calavera","Cda. De Hidalgo 8, Col. Puente D Vigas",,,,"052 55 53644073",micro,
"Cerveceria Coaontenoc Moctzuma","Carretera Mexica Toluca K 59,5",,,,,,
"Cerveceria Cuahtemoc Moctezuma","Ave Alfonso Reyes 2202 Nte Col Bella Vista",,,,,,
"Cerveceria Cuauhtemoc","Av AlfnsoReyes 2202 Nte",,,,"(528) 328-5000",large,http://www.femsa.com/beer.html
"Cerveceria De Colima","5 Km Highway Colima Autopista Colima-Guadalajara",,,,,micro,http://www.cerveceriadecolima.com
"Cerveceria Del Pacifico",,,,,69814479,regional,
"Cerveceria Huerfana","Chabacanos 225",,,,"(844) 432-0254",brewpub,http://www.cervezahuerfana.com
"Cerveceria Insurgente","Calle Juan Cordero 10401-2 Zona Rio, Tijuana",,,,,micro,http://www.cervezainsurgente.com
"Cervecería La Blanca S.A. De C.V.","Lope De Vega 127 Col. Arcos Vallarta",,,,,micro,
"Cerveceria Mexicana","Blv. Morelos # 750",,,,"(665) 654-2065",brewpub,
"Cerveceria Minerva SA de CV","Periferico Sur 4250-A3 San Juan Ocotan",,,,"011 52333 6820474",micro,
"Cerveceria Moctezuma","Ave Colon Edison/Ap 223",,,,46-25-00,large,
