name,address1,address2,city,state,zip,phone,type,url
"Baja Brewing Co SA de CV","Morelos E/Comonfort Y Obregon 1277","San Jose Del Cabo, Mexico",,,,,brewpub,
"Baja Brewmasters","Avenue Gateway No. 701 San Pablo","Tecate, Mexico",,,,,micro,http://www.bajabrewmasters.com
"Brewery in Planning - colima",,"colima, Mexico",,,,"(716) 548-0708",planning,
"Brewery In Planning - Mexico",,"Merida, Mexico",,,,"1 551 206 0518",planning,
"Buqui Bichi Brewing","Blvd Enrique Mazon Lopez, No 609 Bodega K","Hermosillo, Mexico",,,,"52 (662) 285-0649",micro,http://www.buquibichi.com
"Cancun Brewing Company","SM 3 MZ LT 112, 113 2 Av Nader 15 Supermanzana 3 Centro","Cancun, Mexico",,,,529848772415,micro,http://www.cervezacancun.com
"Carmen Beer Co.","Av. Balamcanche, Plaza Xaman Ha, Playaca","Playa del Carmen, Mexico",,,,"1 724 4135566",brewpub,http://fb.com/carmenbeerco
"Casa Cervecera Cru Cru","Callejon de Romita 8","Mexico City, Mexico",,,,,micro,
"Cervecera Del Tropico","Carretera Tuxtepec- KM2","Tuxtepec, Mexico",,,,287-522-11,regional,
"Cerveceria Agua Mala","Carretera TIjuana-Ensenada km 104","Ensenada, Mexico",,,,52-646-1746068,micro,http://www.aguamala.com.mx
"Cerveceria Albur","Carretera a Reynosa km.10 #1923-D Coloni","Guadalupe, Mexico",,,,528183601901,micro,http://www.albur.mx
"Cerveceria Allende","Calzada de la Estacion #19 Col. Estacion del Ferrocarril","San Miguel de Allende, Mexico",,,,,micro,http://www.cerveceriaallende.com
"Cerveceria Calavera","Cda. De Hidalgo 8, Col. Puente D Vigas","54090 Tlalnepantla, Mexico",,,,"052 55 53644073",micro,
"Cerveceria Cholula","Av. Hidalgo 1118-5 San Juan Calvario","San Pedro Cholula, Mexico",,,,"52 (222) 5312420",micro,http://www.cerveceriacholula.com
"Cerveceria De Colima","5 Km Highway Colima Autopista Colima-Guadalajara","Guadalajara El Trapiche, Mexico",,,,,micro,http://www.cerveceriadecolima.com
"Cerveceria de la Costa","Gabriela Mistral 115 Col Lomas Vista Hermosa","Colima, Mexico",,,,"52 (313) 315-0505",micro,http://www.cerveceriadelacosta.com
"Cerveceria Del Pacifico",,"Mazatlan, Mexico",,,,69814479,regional,
"Cerveceria Dos Aves","Relampago 4 Colonia La Lejona 2","San Miguel De Allende, Mexico",,,,52-1-415-119-2578,micro,http://www.cerveceriadosaves.com
"Cerveceria El Catrín","Cda. 16 De Septiembre 2","San Felipe, Mexico",,,,"+52 1 55 1227 2674",micro,http://www.cerveceriaelcatrin.com
"Cerveceria Huerfana","Chabacanos 225","Saltilo, Mexico",,,,"(844) 432-0254",brewpub,http://www.cervezahuerfana.com
"Cerveceria Insurgente","Calle Juan Cordero 10401-2 Zona Rio, Tijuana","Baja California, Mexico",,,,,micro,http://www.cervezainsurgente.com
"Cervecería La Blanca S.A. De C.V.","Lope De Vega 127 Col. Arcos Vallarta","Guadalajara, Mexico",,,,,micro,
"Cerveceria La Bru","Oriente Poniente 365 Ciudad Industrial","Morelia, Mexico",,,,"52 (443) 274-0783",micro,http://www.cervezalabru.com.mx
"Cerveceria La Sonrisa","Paseo LOma Ancha 3547 Colinas de San Jav","Guadalajara, Mexico",,,,5213310432041,regional,
"Cerveceria Malteza","Adolfo Prieto 718 B 301 Colonia Del Valle Norte","Ciudad De Mexico, Mexico",,,,,micro,
"Cerveceria Mexicana","Blv. Morelos # 750","Tacata, Mexico",,,,"(665) 654-2065",brewpub,
"Cerveceria Moctezuma","Ave Colon Edison/Ap 223","Monterrey, Mexico",,,,46-25-00,large,
"Cerveceria Modelo","Calle De Lago Alberto 156","Mexico City, Mexico",,,,"(644) 411-0338",large,http://cnoroeste@gmodelo.com.mx
"Cerveceria Modelo De Torreon","Ave Bravo Ote Y Saltillo 400","Torreon, Mexico",,,,3-51-50,large,
"Cerveceria Modelo Del Noroeste","Carretera Fed No 15","Ciudad Obregon, Mexico",,,,,large,
"Cerveceria Modelo Sa De Cv","Lago Alberto 156","Mexico City, Mexico",,,,,large,
"Cerveceria Primus","Av. Revolucion 344","Mexico, Mexico",,,,"(555) 718-0722",contract,http://www.primus.com.mx
"Cervecería Punta Sur","298-A Avenida 10 Entre Calle 3 Y Dr. Aldolfo Rosado Salas","cozumel, Mexico",,,,"+52 987.119.2879",brewpub,http://www.cerveceriapuntasur.com.mx
"Cerveceria Ramuri S.A. De C.V.","calle sexta vientos aliseos #18 colonia","tijuana, Mexico",,,,01526646268809,micro,http://www.cervezaramuri.com
"Cerveceria Transpeninsular","107+240 Carretera Tijuana","Col. Playitas, Ensenada, Mexico",,,,,brewpub,
"Cerveceria Tres Islas","Av Miguel Aleman 923","Mazatlan, Mexico",,,,"(669) 994-9513",micro,
"Cerveceria Vegana SA","Avenida General Juan Rodriguez Ap 128","La Vega, Mexico",,,,"(809) 573-3151",large,
"Cerveceria Wendlandt","Calle Diez #385","Ensenada, Mexico",,,,"52 (646) 174-7060",micro,http://www.wendlandt.com.mx
"Cerveceria Yucateca","Calle 14 No 70 Col Chuminopolis","Merida, Mexico",,,,992-7-19-00,large,
