name,address,city,state,zip,phone,type,url
"612 Brew","945 Broadway St NE",Minneapolis,MN,55413-1471,"(612) 964-8939",micro,http://www.612brew.com
"Able Seedhouse and Brewery",,Minneapolis,MN,55441,,planning,http://www.ablebeer.com
"August Schell Brewing Co","PO Box 128","New Ulm",MN,56073-0128,"(507) 354-5528",regional,http://www.schellsbrewery.com
"Bad Weather Brewing LLC","6020 Culligan Way",Minnetonka,MN,55345-5917,,proprietor,http://www.badweatherbrewery.com
"Badger Hill Brewing","4571 Valley Industrial Blvd S Ste 500",Shakopee,MN,55379-1846,"(612) 388-4479",proprietor,http://www.badgerhillbrewing.com
"Bang Brewing","2320 Capp Rd","Saint Paul",MN,55114-1251,,micro,http://www.bangbrewing.com
"Bard's Tale Beer Co","5125 W 59th St",Edina,MN,55436-2612,"(612) 961-2275",proprietor,http://www.bardsbeer.com
"Barley Johns Brewpub","781 Old Highway 8 SW","New Brighton",MN,55112-7735,"(651) 636-4670",brewpub,http://www.barleyjohns.com
"Bauhaus Brew Labs","1341 Tyler St NE",Minneapolis,MN,55413-1530,"(612) 327-8774",micro,http://www.bauhausbrewlabs.com
"Bemidji Brewing Company","401 Beltrami Ave NW",Bemidji,MN,56601-3106,,micro,http://www.bemidjibeer.com
"Bent Brewstillery","1744 Terrace Dr",Roseville,MN,55113,"(844) 879-2368",micro,http://www.bentbrewstillery.com
"Bent Paddle Brewing Co","1912 W Michigan St",Duluth,MN,55806-2135,"(218) 279-2722",micro,http://www.bentpaddlebrewing.com
"Big Wood Brewery","2222 4th St Ste REAR","White Bear Lake",MN,55110-3045,"(612) 360-2986",micro,http://www.bigwoodbrewery.com
"Birch's On the Lake",,"Long Lake",MN,55356-9495,"(952) 473-7373",planning,http://www.birchsrestaurantandbar.com
"Blacklist Brewing Co.","211 E 2nd St",Duluth,MN,55805-1911,,micro,http://www.blacklistbeer.com
"Boathouse Brewery LLC","47 E Sheridan St",Ely,MN,55731-1289,"(218) 365-4301",brewpub,http://www.boathousebrewpub.com
"Boom Island Brewing Company","2014 Washington Ave N",Minneapolis,MN,55411-2220,"(612) 227-9635",micro,http://www.boomislandbrewing.com
"Borealis Fermentery","PO Box 130","Knife River",MN,55609-0130,"(218) 834-4856",micro,
"Brau Brothers Brewing Co","POB 158// 111 Main Street",Lucan,MN,56255,"(507) 747-2337",micro,http://www.braubeer.com
"Brewery In Planning - Eden Prairie, MN.",,"Eden Prairie",MN,55347-5228,,planning,
"Brewery In Planning - Fisher",,Fisher,MN,56723,"(218) 280-1524",planning,
"Brewery In Planning - Hermantown",,Duluth,MN,55811-9770,,planning,
"Brewery In Planning - Minneapolis",,Minneapolis,MN,55419,,planning,
"Brewery In Planning - Minneapolis",,Minneapolis,MN,55407,,planning,
"Brewery In Planning - Minneapolis",,Minneapolis,MN,55417,,planning,
"Brewery In Planning - Minneapolis",,Minneapolis,MN,55449,,planning,
"Brewery In Planning - Minneapolis",,Minneapolis,MN,55410-1420,,planning,
"Brewery In Planning - Northfield",,,,,,planning,
"Brewery In Planning - Pine City",,"Pine City",MN,55063,,planning,
"Brewery In Planning - Saint Paul",,"Saint Paul",MN,55102,,planning,
"Brewery In Planning - Saint Paul",,"Saint Paul",MN,55105,,planning,
"Brewery In Planning - Shakopee",,Shakopee,MN,55379,,planning,
"Brewery In Planning - St. Paul, MN.",,,,,,planning,
"Brewery In Planning- Minneapolis, MN.",,Minneapolis,MN,55419-1732,,planning,
"Brewery In Planning- Plymouth, MN.",,Minneapolis,MN,55442,,planning,
"Brewery In Planning- Woodbury, MN",,,,,,planning,
"Burning Brothers Brewing","1750 Thomas Ave","Saint Paul",MN,55104-2468,"(651) 444-8882",micro,http://www.burnbrosbrew.com
"Canal Park Brewery","300 Canal Park Dr",Duluth,MN,55802-2316,,brewpub,http://www.canalparkbrewery.com
"Carmody Irish Pub & Brewing","308 E Superior St",Duluth,MN,55802-2120,"(218) 740-4747",brewpub,http://www.carmodyirishpub.com
"Castle Danger Brewery","3067 E Castle Danger Rd","Two Harbors",MN,55616-2007,"(218) 834-4303",micro,http://www.castledangerbrewery.com
"Cedar Grove Brewery and Tap, LLC",,"Saint Paul",MN,55122,,planning,
"Dangerous Man Brewing Co","1300 2nd St NE",Minneapolis,MN,55413-1132,"(612) 377-4164",micro,http://www.dangerousmanbrewing.com
"Day Block Brewing Company","1105 Washington Ave S",Minneapolis,MN,55415-1225,"(612) 617-7793",brewpub,http://www.dayblockbrewing.com
"Dubh Linn Irish Brewpub","109 W Superior St",Duluth,MN,55802-3026,"(218) 727-1559",brewpub,http://www.dubhlinnpub.com
"Eastlake Craft Brewery","920 E Lake St Ste 123",Minneapolis,MN,55407-4129,"(612) 217-4668",micro,http://www.eastlakemgm.com
"Enki Brewing","7929 Victoria Dr",Victoria,MN,55386-7728,"(952) 300-8408",micro,http://www.enkibrewing.com
"Excelsior Brewing Co","421 3rd St Ste 3",Excelsior,MN,55331-2008,"(612) 817-4853",micro,http://www.excelsiorbrew.com
"Fair State Brewing Cooperative",,Minneapolis,MN,55418-3726,,planning,
Finnegans,,Minneapolis,MN,55404,,contract,http://www.finnegans.org
"Fitgers Brewhouse","600 E Superior St",Duluth,MN,55802-2222,"(218) 726-1392",brewpub,http://www.brewhouse.net
"Flat Earth Brewing Co","688 Minnehaha Ave E","Saint Paul",MN,55106-4462,"(651) 698-1945",micro,http://www.flatearthbrewing.com
"Founding Fathers Brewing Company","1607 W Wayzata Blvd","Long Lake",MN,55356-9300,"(952) 767-6403",contract,http://www.foundingfathersbrewingco.com
"Foxhole Brewhouse",,Willmar,MN,56201,,planning,
"F-Town Brewing Company",,Faribault,MN,55021,,planning,
"Fulton Beer","414 6th Ave N",Minneapolis,MN,55401-1214,"(612) 876-0904",micro,http://www.fultonbeer.com
"Game On Brewing","1999 Shepard Rd","Saint Paul",MN,55116-3210,,contract,
"Goat Ridge Brewing",,"New London",MN,56273,,planning,
"Grand Rounds Brewing Company",,,,,,planning,
"Granite City Food & Brewery (#1)","3945 2nd St S","Saint Cloud",MN,56301-3792,"(320) 203-9000",brewpub,http://www.gcfb.net
"Granite City Food & Brewery (#10)","3330 Pilot Knob Rd",Eagan,MN,55121-2055,"(651) 452-4600",brewpub,http://www.gcfb.net
"Granite City Food & Brewery (#15)","5500 Excelsior Blvd","St Louis Park",MN,55416-2935,"(952) 746-9900",brewpub,http://www.gcfb.net
"Granite City Food & Brewery (#17)","851 Rosedale Ctr","Saint Paul",MN,55113-2093,"(651) 209-3500",brewpub,http://www.gcfb.net
"Granite City Food & Brewery (#8)","11909 Main St","Maple Grove",MN,55369-7098,"(763) 416-0010",brewpub,http://www.gcfb.net
"Granite City Food (Corp)","7001 Xenia Ave S Ste 120",Minneapolis,MN,55416,,brewpub,
"Great Waters Brewing Co","426 Saint Peter St","Saint Paul",MN,55102-1105,"(651) 224-2739",brewpub,http://www.greatwatersbc.com
"Gull Dam Brewing, Inc.","23836 Smiley Rd",Nisswa,MN,56468-2432,"(218) 963-2739",micro,http://www.gulldambrewing.com
"HammerHeart Brewing Company","7785 Lake Dr","Lino Lakes",MN,55014-1109,"(651) 964-2160",micro,http://www.hammerheartbrewing.com
"Harriet Brewing Company","3036 Minnehaha Ave",Minneapolis,MN,55406-1932,"(651) 491-8979",brewpub,http://www.harrietbrewing.com
"Hayes Public House","112 1st St S",Buffalo,MN,55313-1402,"(763) 746-6389",micro,http://www.hayespublichouse.com
"Herkimer Pub and Brewery","2922 Lyndale Ave S",Minneapolis,MN,55408-2110,"(612) 821-0101",brewpub,http://www.theherkimer.com
"Indeed Brewing Co","711 15th Ave NE",Minneapolis,MN,55413-1738,"(612) 843-5090",micro,http://www.indeedbrewing.com
"Insight Brewing Company","2821 E Hennepin Ave",Minneapolis,MN,55413,,proprietor,
"Jack Pine Brewery","7942 College Rd",Baxter,MN,56425-8634,,micro,http://www.jackpinebrewery.com
"Junkyard Brewing Company","1416 1st Ave N",Moorhead,MN,56560-2208,"(701) 261-8403",micro,http://www.junkyardbeer.com
"Karst Brewing LLC",,Fountain,MN,55935,,planning,
"Kinney Creek Brewery","1016 7th St NW",Rochester,MN,55901-2668,"(507) 282-2739",micro,http://www.kinneycreekbrewery.com
"Lake Monster Brewing",,Edina,MN,55435,,planning,
"Lake Superior Brewing Co","2711 W Superior St Ste 204",Duluth,MN,55806-1893,"(218) 723-4000",micro,http://www.lakesuperiorbrewing.com
"Lakes & Legends",,Minneapolis,MN,55403-2316,,planning,
"Lazy Loon Brewing Co","8750 County Road 43",Chaska,MN,55318-9358,"(952) 484-3417",micro,http://www.lazyloonbrewing.com
"Leech Lake Brewing","195 Walker Industries Blvd",Walker,MN,56484-1364,"(218) 547-4746",micro,http://www.leechlakebrewing.com
"Lift Bridge Brewery","1900 Tower Dr W",Stillwater,MN,55082-7515,"(888) 430-2337",micro,http://www.liftbridgebrewery.com
"LTD Brewery","725 Mainstreet",Hopkins,MN,55343-7624,"(952) 938-2415",micro,http://www.ltdbrewing.com
"LTS Brewing Company",,Rochester,MN,55901-5583,,planning,
"Lucid Brewing","6020 Culligan Way",Minnetonka,MN,55345-5917,"(612) 810-9324",micro,http://www.lucidbrewing.com
"Lupulin Brewing",,"Big Lake",MN,55309,,planning,
"LynLake Brewery","2934 Lyndale Ave S",Minneapolis,MN,55408-2110,"(612) 224-9682",micro,http://www.lynlakebrewery.com
"Mankato Brewery","1119 Center St",Mankato,MN,56003-2108,"(507) 386-2337",micro,http://www.mankatobrewery.com
"Mantorville Brewing Co LLC","PO Box 16545","Saint Paul",MN,55116-0545,"(651) 387-0708",micro,http://www.mantorvillebeer.com
"McGarry's Pub","5189 Main St E","Maple Plain",MN,55359-9391,"(763) 479-4031",brewpub,http://www.mcgarryspub.com
"Minneapolis Town Hall Brewery","1430 Washington Ave S",Minneapolis,MN,55454-1038,"(612) 339-8696",brewpub,http://www.townhallbrewery.com
"Northbound Smokehouse Brewpub","2716 E 38th St",Minneapolis,MN,55406-3004,"(612) 208-1450",brewpub,http://www.smokehousebrewpub.com
"Northgate Brewing","783 Harding St NE",Minneapolis,MN,55413-2813,"(612) 234-1056",micro,http://www.northgatebrew.com
"Olvalde Farm & Brewing","16557 County Road 25",Rollingstone,MN,55969-4046,"(651) 698-3845",micro,http://www.olvalde.com
"Pigs Eye Brewing Co, LLC","10107 Bridgewater Pkwy",Woodbury,MN,55129-8587,"(651) 734-1661",proprietor,http://www.pigseyebeer.com
"Pondscum Brewing",,"Saint Michael",MN,55376-8221,,planning,
"Pour Decisions Brewing Company","1744 Terrace Dr","Saint Paul",MN,55113-1315,"(651) 567-6871",micro,http://www.pourdecisionsbrewery.com
"Reads Landing Brewing Co","70555 202nd Ave","Reads Landing",MN,55968-6842,"(651) 560-4777",brewpub,http://www.rlbrewingco.com
"Red Wing Brewing Company","1411 Old West Main St","Red Wing",MN,55066-2162,"(651) 327-2200",brewpub,http://www.redwingbrewing.com
"Rock Bottom Brewery - Minneapolis","800 Lasalle Ave",Minneapolis,MN,55402-2006,"(612) 332-2739",brewpub,http://www.rockbottom.com
"Saint Croix Beer Co. DBA Saint Croix Brewing Co.","PO Box 16545","Saint Paul",MN,55116-0545,"(651) 387-0708",contract,http://www.stcroixbeer.com
"Schram Vineyards Winery & Brewery","8785 Airport Rd",Waconia,MN,55387-9634,"(952) 442-5105",micro,http://www.schramvineyards.com
"Sisyphus Brewing","712 Ontario Ave W",Minneapolis,MN,55403-1138,,micro,http://www.sisyphusbrewing.com
"Spilled Grain Brewhouse",,Annandale,MN,55302-9406,"(612) 743-5224",planning,http://www.spilledgrainbrewhouse.com
"St. Louis River Brewing Company",,,,,,planning,
"Steel Toe Brewing","4848 W 35th St","St Louis Park",MN,55416,"(952) 955-9965",micro,http://www.steeltoebrewing.com
"Summit Brewing Co","910 Montreal Cir","Saint Paul",MN,55102-4246,"(651) 265-7800",regional,http://www.summitbrewing.com
"Surly Brewing Company","4811 Dusharme Dr","Brooklyn Ctr",MN,55429-3940,"(763) 535-3330",regional,http://www.surlybrewing.com
"Take 16 Brewing Company","509 E Main St",Luverne,MN,56156-1905,"(855) 582-5316",micro,http://www.take16beer.com
"The Freehouse","701 Washington Ave N",Minneapolis,MN,55401-1180,,brewpub,http://www.freehousempls.com
"Theodore Fyten Brewing Co, LLC",,"Saint Paul",MN,55102-3651,"(651) 387-0708",planning,
"Third Street Brewhouse","219 Red River Ave N","Cold Spring",MN,56320-1624,"(320) 685-3690",regional,http://www.thirdstreetbrewhouse.com
"Tin Whiskers Brewing","125 9th St E Unit 127","Saint Paul",MN,55101-2308,"(612) 597-6229",micro,http://www.twbrewing.com
"Twelve Down Brewing",,,,,,planning,
"Urban Growler Brewing Co","2325 Endicott St","Saint Paul",MN,55114,"(763) 234-2980",brewpub,http://www.urbangrowlerbrewing.com
"Urban Moose Brewing Company",,,,,,planning,
"Utepils Inv LLC",,Minneapolis,MN,55413-2467,,planning,
"Vine Park Brewing Co","1254 7th St W","Saint Paul",MN,55102-4123,"(651) 228-1355",micro,http://www.vinepark.com
"Voyageur Brewing Co","233 W Hwy 61","Grand Marais",MN,55604,"(218) 370-1376",brewpub,http://www.voyageurbrewing.com
"Waconia Brewing Company","255 W Main St",Waconia,MN,55387-1025,,micro,http://www.waconiabrewing.com
"Wayzata Brew Werks",,Minneapolis,MN,55439-0463,,planning,
"Wenonah Brewing Co","4065 W 6th St",Goodview,MN,55987,"(507) 429-0730",micro,
"Wolf Brewery","85 7th Pl E Ste 200","Saint Paul",MN,55101-2143,"(612) 751-9422",contract,
"Zambaldi Bros.",,Minneapolis,MN,55410,,planning,
"Zurbey Brewing",,Minneapolis,MN,55408,,planning,
