name,address,city,state,zip,phone,type,url
"406 Brewing Company","101 E Oak St Ste D",Bozeman,MT,59715-2939,,micro,http://www.406brewingcompany.com
"Anarchy Ales",,Belgrade,MT,59714-8392,,planning,
"Angry Hank's Microbrewery","20 N 30th St",Billings,MT,59101-2140,"(406) 252-3370",micro,
"Backslope Brewing",,"Columbia Falls",MT,59912,"(406) 224-2510",planning,http://www.backslopebrewing.com
"Bandit Brewing Co","308 E Tanner Rd",Darby,MT,59829,"(406) 646-6003",micro,
"Bayern Brewing Inc.","1507 Montana St",Missoula,MT,59801-1409,"(406) 721-1482",micro,http://www.bayernbrewery.com
"Beaver Creek Brewery","PO Box 196",Wibaux,MT,59353-0196,"(406) 795-2337",micro,http://www.beavercreekbrewery.com
"Beaverhead Brewing Co","218 S Montana St",Dillon,MT,59725,"(406) 988-0011",micro,http://www.beaverheadbeer.com
"Big Medicine Brewing Co",,,,,"(406) 459-8993",planning,http://www.bigmedicinebrewing.com
"Big Sky Brewing Co","5417 Trumpeter Way",Missoula,MT,59808-8680,"(406) 549-2777",regional,http://www.bigskybrew.com
"Bitter Root Brewing Co","101 Marcus St",Hamilton,MT,59840-2541,"(406) 363-7468",micro,http://www.bitterrootbrewing.com
"Blackfoot River Brewing Co","66 S Park Ave",Helena,MT,59601-6271,"(406) 449-3005",micro,http://www.blackfootriverbrewing.com
"Blacksmith Brewing Co","114 Main St",Stevensville,MT,59870-2109,"(406) 777-0680",micro,http://www.blacksmithbrewing.com
"Bonsai Brewing Project","549 Wisconsin Ave",Whitefish,MT,59937,"(406) 730-1717",micro,
"Bowser Brewing Co","1826 10th Ave S","Great Falls",MT,59405-2632,"(406) 315-1340",micro,http://www.bowserbrew.com
"Bozeman Brewing Co","504 N Broadway Ave",Bozeman,MT,59715-3006,"(406) 585-9142",micro,http://www.bozemanbrewing.com
"Brewery In Planning - Billings",,,,,,planning,
"Brewery In Planning - Bozeman",,Bozeman,MT,59715,,planning,
"Brewery In Planning - East Glacier",,,,,,planning,
"Brewery In Planning - Missoula",,Missoula,MT,59801-3932,,planning,
"Bridger Brewing Company","1609 S 11th Ave",Bozeman,MT,59715-5466,"(406) 587-2124",brewpub,http://www.bridgerbrewing.com
"Busted Knuckle Brewery",,Glasgow,MT,59230-2308,,planning,
"Butte Brewing Co",,Butte,MT,59701,,planning,http://www.buttebrewing.com
"Cabinet Mountain Brewing Co","206 Mineral Ave",Libby,MT,59923,"(406) 293-2739",micro,http://www.cabinetmountainbrewing.com
