name,address,city,state,zip,phone,type,url
"Admirals Bierbrouwerij Aldtsjerk","Rhaladik 7",,,,310622554538,,http://www.admiraalsbierbrouwerij.nl
"Alfa Bierbrouwerij B.V.","Thull 15-19",,,,"+31 (46) 4432888",,http://www.alfa-bier.nl
"Alfa Brouwerij","Thull 15-19",,,,"(047) 443-2888",,http://www.alfabier.nl
"Ambrass Brouwerij","Berkenbaan 8",,,,"(046) 400-9300",,http://www.ambrass.nl
"Amelander Brouwerij","Smitteweg 6 Ameland",,,,"(051) 955-4365",micro,http://www.amelanderbier.nl
"Amstel Amsterdam","Burgmeester Smeetsweg 1",,,,"(071) 545-7150",,http://www.amstel.com.nl
"Amsterdam Brewboy","Pa Seranggracht 15",,,,"(065) 478-0822",contract,http://www.amsterdambrewboys.nl
"Apeldoornse Stadbierbrouwerij","Fabianusstraat 46",,,,"(055) 533-7249",micro,http://www.stadsbierbrouwerij.nl
"Arnulfus Bieren","Enargietdijk 9",,,,,contract,http://www.arnulfusbieren.nl
"Attemer Brouwerij","Verlendge Parklaan 8",,,,"(038) 444-6662",,http://www.attemerbier.nl
"B.V. Gulpener Bierbrouwerij","Rijksweg 16",,,,"+31 (43) 7575",,http://www.gulpener.nl
"Bad Hair Brewing","Kapellerie 7",,,,"(063) 613-9141",contract,http://www.badhairbrewing.nl
"Bavaria N.V.","Burg v. d. Heuvelstraat 35",,,,"+31 499 428111",large,http://www.bavaria.nl
"Bax Bier","Walstraat 26b",,,,"(065) 063-5360",contract,http://www.baxbier.nl
"BE+ER VOF","Pa Polderburg 20",,,,"(061) 511-0131",contract,http://www.be-er.nl
"Beijerse Brouwerij","Stravinskypad 45",,,,"(062) 061-0166",micro,http://www.beijersebrouwerij.nl
"Berghoeve Brouwerij","Achteres 15",,,,"(061) 827-8345",micro,http://www.berghoevebrouwerij.nl
"Berging Brouwerij","Impuls 147",,,,"(062) 920-9585",contract,http://www.bergingbrouwerij.nl
"Bergsch Bierbrouwersglide","c/o Marc Vander Steen Krokussenveld 19",,,,"(016) 403-7715",micro,
