name,address,city,state,zip,phone,type,url
"Able Baker Brewing",,"Las Vegas",NV,89135,,planning,http://www.ablebakerbrewing.com
"Alibi Ale Works","204 E. Enterprise St.","Incline Village",NV,89451-9456,"(775) 298-7001",micro,http://www.alibialeworks.com
"Bad Beat Brewing","7380 Eastgate Rd Ste 110",Henderson,NV,89011-4012,"(702) 463-4199",micro,http://www.badbeatbrewing.com
"Banger Brewing Co","450 Fremont St Ste 135","Las Vegas",NV,89101-5624,"(702) 456-2739",micro,http://www.bangerbrewing.com
"Barley's Casino and Brewing Co","4500 E Sunset Rd Ste 30",Henderson,NV,89014-2253,"(702) 458-2739",brewpub,http://www.wildfire.sclv.com/barleys
"Battle Born Beer Co","200 South Virginia Street",Reno,NV,89501-2405,"(775) 849-3376",contract,http://www.battlebornbeer.com
"Big Dog's Brewing Co","4547 N Rancho Dr Ste A","Las Vegas",NV,89130-3432,"(702) 368-3715",brewpub,http://www.bigdogsbrews.com
"BJs Restaurant & Brewery - Reno","13999 S Virginia St",Reno,NV,89511-8917,"(775) 853-7573",micro,http://www.bjsbrewhouse.com
"Boulder Dam Brewing Co","453 Nevada Hwy","Boulder City",NV,89005-2424,"(702) 243-2739",brewpub,http://www.boulderdambrewing.com
"Brasserie Saint James","901 S Center St",Reno,NV,89501-2307,"(775) 348-8888",brewpub,http://www.brasseriesaintjames.com
"Brew Brothers/Eldorado Hotel and Casino","345 N Virginia St",Reno,NV,89501-1136,"(775) 786-5700",brewpub,http://www.eldoradoreno.com
"Brewery In Planning - Henderson",,Henderson,NV,89052,,planning,
"Brewery In Planning - Las Vegas",,,,,,planning,
"Brewery In Planning - Las Vegas",,"Las Vegas",NV,89129,,planning,
"Brewery In Planning - Las Vegas",,"Las Vegas",NV,89129,,planning,
"Brewery In Planning - Las Vegas, NV.",,"Las Vegas",NV,89117-2302,,planning,
"Brewery In Planning - Reno",,Reno,NV,89508-8809,,planning,
"Brewery In Planning - Reno",,Reno,NV,89523,,planning,
"Chicago Brewing Co - NV","2201 S Fort Apache Rd","Las Vegas",NV,89117-5704,"(702) 254-3333",brewpub,http://www.chicagobrewingcolv.com
"CraftHaus Brewery","7350 Eastgate Rd Ste 110",Henderson,NV,89011,"(702) 462-5934",micro,http://www.crafthausbrewery.com
CraftKegs,,,,,,planning,http://www.craftkegs.com
"Ellis Island Casino and Brewery","4178 Koval Ln","Las Vegas",NV,89109-4568,"(702) 733-8901",brewpub,http://www.ellisislandcasino.com/brew.html
"Gordon Biersch Brewery Restaurant - Las Vegas","3987 Paradise Rd","Las Vegas",NV,89169-4607,"(702) 312-5247",brewpub,http://www.gordonbierschrestaurants.com
"Great Basin Brewing Co","846 Victorian Ave",Sparks,NV,89431-5275,"(775) 355-7711",brewpub,http://www.greatbasinbrewingco.com
"Great Basin Brewing Co","5525 S Virginia St",Reno,NV,89502-6085,"(775) 284-7711",brewpub,http://www.greatbasinbrewingco.com
"Great Basin Brewing Co - Production Facility","1155 S Rock Blvd Ste 490",Reno,NV,89502-7174,"(775) 355-7711",micro,http://www.greatbasinbrewingco.com
"Guerrilla Brewing Company",,Reno,NV,89509-2827,,contract,
"High Sierra Brewing Co","865 S Rock Blvd",Sparks,NV,89431-5921,"(775) 398-4200",brewpub,http://highsierrabrewco.com/
"Hop Nuts Brewing","1120 S Main St Ste 150","Las Vegas",NV,89104-1027,"(702) 816-5371",micro,http://www.hopnutsbrewing.com
"IMBIB Custom Brews","785 E 2nd St",Reno,NV,89502-1018,"(775) 470-5996",micro,http://www.imbibreno.com
"Joseph James Brewing Co, Inc","155 N Gibson Rd",Henderson,NV,89014-6713,"(702) 454-2739",micro,http://www.foxbrews.com
"Lake Tahoe Brewing Company","302 N Carson St","Carson City",NV,89701-4202,"(775) 386-6655",brewpub,http://www.laketahoebeer.com
Matties,,Elko,NV,89801,"(775) 753-5100",planning,
"Old School Brewing","8410 W Desert Inn Rd","Las Vegas",NV,89117-9195,,brewpub,http://www.oldschoolbrewing.com
"Pigeon Head Brewery","840 E 5th St",Reno,NV,89512-3508,,micro,http://www.pigeonheadbrewery.com
"Pints Brewery and Sports Bar","PO Box 77000",Laughlin,NV,89028-7000,"(702) 298-4000",brewpub,http://www.coloradobelle.com
"Record Street Brewing Co",,Reno,NV,89512-2864,"(775) 324-2337",planning,
"Ruby Mountain Brewing Co","HC 60 Box 100",Wells,NV,89835-9802,"(775) 752-2337",micro,http://www.rubymountainbrewing.com
