name,address,city,state,zip,phone,type,url
"902 Brewing Co","902 Washington St.",Hoboken,NJ,07030-5106,,contract,http://www.902brewing.com
"Angry Erik Brewing","10 Millpond Dr Unit 8",Lafayette,NJ,07848-3825,"(862) 432-9003",micro,http://www.angryerik.com
"Anheuser-Busch InBev – Newark","200 US Highway 1",Newark,NJ,07114-2298,"(973) 645-7700",large,http://www.anheuser-busch.com
"Artisan's Brewery & Italian Grill","1171 Hooper Ave","Toms River",NJ,08753-8305,"(732) 244-7566",brewpub,http://www.artisanstomsriver.com
"Asbury Park Community Brewery",,"Asbury Park",NJ,07712,"(609) 602-0268",planning,
"Backward Flag Brewing",,,,,"(267) 253-0465",planning,http://www.backwardflagbrewing.com
"Beach Haus Brewery","801 Main St",Belmar,NJ,07719-2705,"(732) 202-7782",contract,http://www.beachhausbeer.com
"Belford Brewing Company","84 Leonardville Rd",Belford,NJ,07718-1144,"(732) 769-7168",micro,http://www.belfordbrewing.com
"Berlin Brewing Company",,Berlin,NJ,08009-1902,,planning,http://www.berlinbrewco.com
Birravino,"183 Riverside Ave","Red Bank",NJ,07701-1015,"(732) 842-5990",brewpub,http://www.birravino.com
"Boak Brewing Co","262 Wanaque Ave Rear","Pompton Lakes",NJ,07442-2116,"(973) 570-6381",contract,http://www.boaks.com
"Bolero Snort Brewery","65 Railroad Ave","Ridgefield Park",NJ,07660-1321,"(201) 819-3527",contract,http://www.bolerosnort.com
"Brewery In Planning - Blairstown",,Blairstown,NJ,07825,"(973) 600-8236",planning,
"Brewery In Planning - Bogota",,Bogota,NJ,7603,,planning,
"Brewery In Planning - Broomfield",,,,,,planning,
"Brewery In Planning - Chester",,Chester,NJ,7930,,planning,
"Brewery In Planning - Great Meadows",,"Great Meadows",NJ,07838,,planning,
"Brewery In Planning - Mahwah",,Mahwah,NJ,7430,,planning,
"Brewery In Planning - Montclair",,Montclair,NJ,7043,,planning,
"Brewery In Planning - Philadelphia",,Southampton,NJ,08088,"(303) 345-3966",planning,
"Brewery In Planning - Pitman, NJ.",,,,,,planning,
"Brewery In Planning - Princeton",,,,,,planning,
"Brewery In Planning - Whitehouse Station",,,,,,planning,
"Brewery In Planning- Chandler, AZ.",,Kingston,NJ,85286,,planning,
"Brewery In Planning- Kearny, NJ.",,,,,,planning,
"Brewery In Planning- Nutley, NJ.",,,,,,planning,
"Brix City Brewing","4 Alsan Way","Little Ferry",NJ,07643-1001,"(201) 440-0865",micro,http://www.brixcitybrewing.com
"Bulkhead Brewing Company",,,,,,planning,
"Cape May Brewing Company","1288 Hornet Rd","Rio Grande",NJ,08242-2210,"(609) 849-9933",micro,http://www.capemaybrewery.com
"Carton Brewing Co","6 E Washington Ave","Atlantic Highlands",NJ,07716-1230,"(732) 654-2337",micro,
"Climax Brewing Co","112 Valley Rd","Roselle Park",NJ,07204-1402,"(908) 620-9585",micro,http://www.climaxbrewing.com
"Conclave Brewing",,Flemington,NJ,08822-5750,,planning,http://www.conclavebrewing.com
"Cricket Hill Brewing Co, Inc","24 Kulick Rd",Fairfield,NJ,07004-3308,"(973) 276-9415",micro,http://www.crickethillbrewery.com
"Cypress Brewing Company",,Edison,NJ,08837,,planning,http://www.cypressbrewing.com
"Czig Meister Brewing Co.",,Blairstown,NJ,07825-4000,,planning,
"Dark City Brewing Company",,"Asbury Park",NJ,07712-5944,,planning,http://www.darkcitybrewing.com
"Demented Brewing Co.","600 Lincoln Blvd",Middlesex,NJ,08846-2443,,contract,http://www.dementedbrewing.com
"Departed Soles Brewing","150 Bay Street, Commercial Side Suite 2A","Jersey City",NJ,07302-2900,"(201) 479-8578",micro,http://www.departedsoles.com
"East 5th Brewing Company",,,,,,planning,
"Egan & Sons","118 Walnut St",Montclair,NJ,07042-3852,"(973) 744-1413",brewpub,http://www.eganandsons.com
"Flounder Brewing Co","1 Ilene Ct Ste 8 Ste 16",Hillsborough,NJ,08844-1916,"(908) 396-6166",micro,http://www.flounderbrewing.com
"Flying Fish Brewing Co","900 Kennedy Blvd",Somerdale,NJ,08083-1031,"(856) 489-0061",regional,http://www.flyingfish.com
"Forgotten Boardwalk Brewing, LLC","1940 Holmey Ave Ste 100","Cherry Hill",NJ,08003,"(856) 437-0709",micro,http://www.forgottenboardwalk.com
"Garden State Beer Company",,,,,"(609) 232-2337",planning,http://www.gardenstatebeerco.com
"Gaslight Brewery and Restaurant","15 S Orange Ave","South Orange",NJ,07079-1716,"(973) 762-7077",brewpub,http://www.gaslightbrewery.com
"Glasstown Brewing","10 Peterson St",Millville,NJ,08332-4818,"(856) 327-7770",brewpub,http://www.glasstownbrewingco.com
"Harvest Moon Brewery/Cafe","392 George St","New Brunswick",NJ,08901-2018,"(732) 249-6666",brewpub,http://www.harvestmoonbrewery.com
"Hidden Sands Brewing Company LLC",,"Egg Harbor Township",NJ,08234-3807,,planning,http://www.aibrew.com
"High Point Brewing Co, Inc.","22 Park Pl",Butler,NJ,07405-1377,"(973) 838-7400",micro,http://www.ramsteinbeer.com
"Iron Hill Brewery & Restaurant - Maple Shade","124 E Kings Hwy Ste 301","Maple Shade",NJ,08052-5405,"(856) 273-0300",brewpub,
"Iron Hill Brewery & Restaurant - Voorhees","13107 Town Center Blvd",Voorhees,NJ,08043-2668,"(302) 888-2739",brewpub,http://www.ironhillbrewery.com
"J.J. Bitting Brewing Co.","33 Main St",Woodbridge,NJ,07095-3335,"(732) 634-2929",brewpub,http://www.njbrewpubs.com
"Jersey Girl Brewing Company",,Hackettstown,NJ,07840-5535,"(908) 591-4186",planning,http://www.jerseygirlbrewing.com
"Kane Brewing","1750 Bloomsbury Ave",Ocean,NJ,07712-3941,"(732) 922-8600",micro,http://www.kanebrewing.com
"Krogh's Restaurant and Brewpub","23 White Deer Plz",Sparta,NJ,07871-1823,"(973) 729-8428",brewpub,http://www.kroghs.com
"Little Dog Brewing Co.","141 Steiner Avenue",Neptune,NJ,07753-6500,,micro,http://www.gretchenbrew.com
"Long Valley Pub and Brewery","PO Box 401","Long Valley",NJ,07853-0401,"(908) 876-1122",brewpub,http://www.longvalleypubandbrewery.com
"Lower Forge Brewery & Distillery",,Medford,NJ,08055-2414,,planning,http://www.lowerforge.com
"Lunacy Brewing Company","214 West Davis Rd",Magnolia,NJ,08049-1215,"(856) 282-6300",brewpub,http://www.lunacybrewingcompany.com
"Magnify Brewing Company","1275 Bloomfield Ave Building 7, Unit 40C",Fairfield,NJ,07004,,micro,http://www.magnifybrewing.com
"Man Skirt Brewing Co",,Hackettstown,NJ,07840-1930,,planning,http://www.manskirtbrewing.com
"New Jersey Beer Co","4201 Tonnelle Ave","North Bergen",NJ,07047-2430,"(551) 482-2013",contract,
