name,address,city,state,zip,phone,type,url
"12 Gates Brewing Company",,Buffalo,NY,14221-7804,,planning,http://www.12gatesbrewing.com
"1940's Brewing Company","211A Main St",Farmingdale,NY,11735-2675,,proprietor,http://www.1940sbrewingcompany.com
"212 Brewing Company","902 Broadway","New York",NY,10010-6002,"(212) 377-9050",contract,http://www.212beer.com
"42 North Brewing Company","25 Pine Street","East Aurora",NY,14052-1827,,micro,http://www.42northbrewing.com
"5 Boroughs Brewery",,"New York",NY,10011,,planning,http://www.5boroughsbrewery.com
"77 Beer Co",,"New York",NY,10036,,contract,http://www.beer77.com
"A Taste of Long Island Craft Brewery","211 Main St",Farmingdale,NY,11735,"(516) 694-2859",proprietor,http://www.atasteoflongislandny.com
"Abandon Brewing","2994 Merritt Hill Rd","Penn Yan",NY,14527-8938,"(585) 209-3276",micro,http://www.abandonbrewing.com
"Adirondack Pub and Brewery","33 Canada St","Lake George",NY,12845-1603,"(518) 668-0002",brewpub,http://www.adkpub.com
"Adirondack Toboggan Company Microbrewery","202A W Main St",Gouverneur,NY,13642-1334,"(315) 771-6313",micro,http://www.adktoboggan.net
"Alphabet City Beer Co","96 Avenue C Frnt 4","New York",NY,10009-7055,,contract,http://www.acbnyc.com
"Amber Lantern Brewing Company","44 N Main St",Warsaw,NY,14569-1326,"(585) 786-3559",brewpub,http://www.amberlanternbrewingcompany.com
"Andean Brewing","300 Corporate Dr Ste 2",Blauvelt,NY,10913-1162,"(646) 450-5852",micro,http://www.kukabeer.com
"Anheuser-Busch InBev - Saint Louis","2885 Belgium Rd",Baldwinsville,NY,13027-2706,"(315) 635-4000",large,
"Anheuser-Busch InBev - Saint Louis","161 River Ave",Patchogue,NY,11772-3304,"(631) 475-6944",large,http://www.bluepointbrewing.com
"Argyle Brewing Company","1 Main St",Greenwich,NY,12834,"(518) 692-2585",micro,http://www.argylebrewing.com
"Ausable Brewing Co","765 Mace Chasm Rd",Keeseville,NY,12944,"(315) 244-3295",micro,http://ausablebrewing.tumblr.com
"Bacchus Brewing","15 Ellis Dr",Dryden,NY,13053-9630,"(607) 592-1445",micro,http://www.bacchusbrewing.com
"Bacchus Restaurant & Brewery","4 S Chestnut St","New Paltz",NY,12561-1902,"(845) 255-8636",brewpub,http://www.bacchusnewpaltz.com
"Baggs Square Brewing Co.",,,,,,planning,
"Bandwagon Brewery","114 N. Cayuga St, Mailbox #3",Ithaca,NY,14850-4331,"(607) 319-0699",brewpub,http://www.bandwagonbeer.com
"Barkeater Craft Brewery","5411 Shady Ave",Lowville,NY,13367,"(315) 376-2337",micro,http://www.barkeaterbrew.com
"Barker Brewing","1693 East Ave",Barker,NY,14012-9547,"(716) 795-1023",brewpub,http://www.barkerbrewing.com
"Barrage Brewing Co","32 Allen Blvd Ste E",Farmingdale,NY,11735-5625,"(631) 335-7941",micro,http://www.barragebrewing.com
"Barrier Brewing Co","3001 New St Ste A2",Oceanside,NY,11572-2747,"(516) 316-4429",micro,
"Bashakill Vineyards & Farm Brewery","1131 South Rd",Wurtsboro,NY,12790-7437,"(845) 888-5858",micro,
"Big Alice Brewing Company","808 43rd Rd","Long Island City",NY,11101-6820,"(347) 688-2337",micro,http://www.bigalicebrewing.com
"Big Ditch Brewing Company","55 E Huron St",Buffalo,NY,14203-1632,"(716) 854-5050",micro,http://www.bigditchbrewing.com
"Big Tupper Brewing",,"Tupper Lake",NY,12986,,planning,
"Billingsgate Brewery",,,,,,planning,
"Binghamton Brewing Co","15 Avenue B","Johnson City",NY,13790-2234,"(607) 238-3448",micro,http://www.bingbrew.com
"Birdland Brewing Company","1015 Kendall St",Horseheads,NY,14845-2216,"(607) 769-2337",micro,http://www.birdlandbrewingco.com
"Black Forest Brew Haus","2015 New Hwy",Farmingdale,NY,11735-1103,"(631) 391-9500",brewpub,http://www.blackforestbrewhaus.com
"Blind Bat Brewery LLC, The","420 Harrison Drive",Centerport,NY,11721-1216,"(631) 891-7909",micro,http://www.blindbatbrewery.com
"Blue Collar Brewery, Inc.","40 Cottage St",Poughkeepsie,NY,12601-2015,"(845) 454-2739",brewpub,http://www.thebluecollarbrewery.com
"Blue Line Brewery","555 Lake Flower Ave","Saranac Lake",NY,12983-2465,"(518) 354-8114",micro,http://www.bluelinebrew.com
"Bottomless Brewing, LLC",,Geneva,NY,14456-9261,,planning,
"Boulevard Brewing Co","656 County Highway 33",Cooperstown,NY,13326-4737,"(800) 544-1809",regional,http://www.ommegang.com
"Bowlers Beer Co","PO Box 24","Williston Park",NY,11596-0024,"(516) 443-7035",contract,http://www.redmosquitoproductions.com/clients/bowlers-beer-corporation
"Braven Brewing Company","208 Wyckoff Ave #1R",Brooklyn,NY,11237,,micro,http://www.bravenbrewing.com
"Brewery At The Culinary Institute Of America","1995 Campus Drive","Hyde Park",NY,12538,,micro,
"Brewery In Planning - Astoria",,Astoria,NY,11105-1908,,planning,
"Brewery In Planning - Brooklyn",,Brooklyn,NY,11211,,planning,
"Brewery In Planning - Brooklyn",,Brooklyn,NY,11216,,planning,
"Brewery In Planning - Brooklyn","416 36th St # 2",Brooklyn,NY,11232-2508,,contract,
"Brewery in Planning - Brooklyn",,Brooklyn,NY,11217,"(206) 303-7265",planning,http://www.thepourreport.com
"Brewery In Planning - Buffalo",,Buffalo,NY,14206,,planning,
"Brewery In Planning - Buffalo",,Buffalo,NY,14222,,planning,
"Brewery In Planning - Clarence Center",,"Clarence Center",NY,14032,,planning,
"Brewery In Planning - Glenmont",,Glenmont,NY,12077,,planning,
"Brewery in Planning - Kew Gardens",,"Kew Gardens",NY,11415,"(516) 474-1949",planning,
"Brewery In Planning - Liverpool",,Liverpool,NY,13088-4319,,planning,
"Brewery In Planning - Manlius",,,,,,planning,
"Brewery In Planning - Mattituck",,Mattituck,NY,11952-2238,,planning,
"Brewery In Planning - Mechanicville NY",,Mechanicville,NY,12118-3222,,planning,
"Brewery In Planning - New Rochelle",,"New Rochelle",NY,10801,,planning,
"Brewery In Planning - New York",,"New York",NY,10010,,planning,
"Brewery In Planning - New York",,,,,,planning,
"Brewery In Planning - New York City",,"New York",NY,10024,,planning,
"Brewery In Planning - Oyster Bay",,"Oyster Bay",NY,11771-3811,,planning,
"Brewery In Planning - Plattsburgh",,,,,,planning,
"Brewery In Planning - Point Lookout",,"Point Lookout",NY,11569,,planning,
"Brewery In Planning - Rome",,Rome,NY,13440,,planning,
"Brewery In Planning - Staten Island",,,,,,planning,
"Brewery In Planning - Stoneypoint",,,,,,planning,
"Brewery In Planning - Syracuse",,Syracuse,NY,13202,,planning,
"Brewery In Planning - Theresa",,Theresa,NY,13691,,planning,
"Brewery In Planning - Troy",,Troy,NY,12180,,planning,
"Brewery In Planning - White Plains",,"White Plains",NY,10606,,planning,
"Brewery In Planning - Wilmington",,Wilmington,NY,12997-0313,,planning,
"Brewery In Planning- Buffalo, NY.",,Buffalo,NY,14222-1418,,planning,
"Brewery In Planning- Esperance, NY.",,Esperance,NY,12066-2009,,planning,
"Brewery In Planning- Whitesboro NY",,Whitesboro,NY,13492-3010,,planning,
"Brewing In Planning - East Hampton",,"East Hampton",NY,11937,,planning,
