name,address,city,state,zip,phone,type,url
"8 Wired Brewing Co","26 Glenmore Drive",,,,,,
"8 Wired Brewing Co.","26 Glenmore Drive",,,,+64210329162,micro,http://www.8wired.co.nz
"Altitude Brewery",,,,,,,
"Anchor Brewing Co (Nz), Ltd.","282 Watershed Road Rd5",,,,,large,
"Aotearoa Breweries","57 Onslow Street Kawerau Eastern Bay of Plenty",,,,,,
"Auckland Breweries Ltd","186 James Fletcher Dr PO Box 22-709",,,,"(649) 270-1890",,
"B.O.P. Brewery Ltd.","107 Newton St.",,,,,,http://www.brewery.co.nz
"Bach Brewing",,,,,,,
"Baylands Brewery",,,,,,,
"Bean Rock Brewing Co","79 Ardmore Herne Bay",,,,,,
"Behemoth Brewing Company",,,,,,micro,
"Behemoth Brewing Company",,,,,,,
"Blackfern Brewing",,,,,"(649) 486-6320",,
"Brauhaus Frings","104 Lower Dent St",,,,,,
"Breowan Systems LTD","P.O. Box 147 647",,,,"64 274 874 783",micro,http://www.breowan.com
"Brew Moon Brewing Company","150 Ashworths Road Amberley North Canterbury",,,,,,
"Brewers Paradise","107 Newton St",,,,"(647) 575-2739",micro,
Brewhouse,"PO Box 8468",,,,064-06-8774719,,
"C/O Canterbury Brewery","PO Box 59",,,,,,
"Cassles and Sons Brewery","3 Garlands Road Woolston Christchurch",,,,,,
"Cock and Bull","PO Box 90575 AMSC",,,,093070139,,
"Craftwoek Brewery","59 Tyne St South Hill Oamaru",,,,,,
"Croucher Brewing Co","49 Depot Street",,,,,,
"DB Breweries Ltd","Tui Brewery PO Box 25",,,,06-376-7549,,
"DB South Island Brewery Ltd","PO Box 841",,,,03-688-2059,regional,
"Deep Creek Brewing Co","111 Clyde Road Browns Bay",,,,,,
"Dominion Breweries Ltd","Waitmata Brewery 1 Bairds Road",,,,"(649) 259-3000",large,
"Emersons Brewery","14 Wickliffe St",,,,"(643) 477-1812",brewpub,http://www.emersons.co.nz
"EPIC Brewing Company - NZ","P.O.Box 39-234 Howick",,,,,contract,http://www.epicbeer.com
"Eruption Brewing",,,,,,,
"Fat Monk Brewing Co","1769 Maraekakaho Rd",,,,,,
"Fitzpatrick's Brewing Co Ltd","19 Keenan Road",,,,,,
"Forbidden Brewing Co",,,,,,,
"Fork & Brewer","14 Bond Street",,,,,,
"Founders Organic Brewery","Founders Historic Park 87 Atawhai Dr",,,,,,http://www.biabrew.co.nz
"Funk Estate",,,,,,,
"Galbraith's Alehouse","2 Mt Eden Rd",,,,,,
"Garage Project","68 Aro Street, Aro Valley",,,,,micro,http://www.garageproject.co.nz
"Golden Bear Brewing Company","19 Goddard Road Tasman RD1",,,,,,
"Golden Eagle Brewery",,,,,,,
