name,address,city,state,zip,phone,type,url
"Bendel Brewery Ltd","PMB 1253",,,,,,
"Benin Brewery","PO Box 341",,,,,,
"Brewery in Planning - benin",,,,,2348096444441,planning,
"Champion Breweries PLC","Industrial Layout: Aka-Offot PMB 1106",,,,,,
"Cnsolidated Breweries PLC","PO Box 159",,,,,,
"Edewor Brewery Ltd","PO Box 257",,,,053-23-0054,regional,
"Guinness Nigeria PLC","PMB 1071, 24 Oba Akran Ave Ikeja Industrial Esatae",,,,,,
"International Breweries PLC","Lawrence Omole Way PMB 5104",,,,,,
"JOS International Breweries PLC","No 1 Brewery Rd PO Box 651",,,,,,
"Kaduna Brewery","PO Box 12116",,,,,,
"Nigerian Breweries","P. O. Box 496",,,,,large,
"Premier Breweries","Industrial Layout Bridge Head",,,,,,
"Sona Breweries Ltd","Head Office Plot 58 PO Box 4610",,,,01-80-2240-9+,regional,
"Standard Breweries, Ltd","Alomaja Village Old Logos Rd PMB 57 34",,,,022-31-3340,regional,
"West African Breweries","Lagos High Rd P. O. Box 91 Lafenwa",,,,,large,
