name,address,city,state,zip,phone,type,url
"217 Brew Works",,Wilson,NC,27894,"(513) 490-7472",planning,
"3 Little Pigs Brewery",,Waxhaw,NC,28173,,planning,
"Altamont Brewing","1042 Haywood Rd",Asheville,NC,28806-2639,"(828) 575-2400",micro,http://www.altamontbrewingcompany.com
"Andrews Brewing Co At Calaboose Cellars","565 Aquone Rd",Andrews,NC,28901-7004,"(828) 321-2006",micro,http://www.calaboosecellars.com
"Appalachian Mountain Brewery","163 Boone Creek Dr",Boone,NC,28607-7911,"(828) 263-1111",micro,http://www.appalachianmountainbrewery.com
"Asheville Brewing Co","77 Coxe Ave",Asheville,NC,28801-3621,"(828) 255-4077",micro,http://www.ashevillepizza.com
"Asheville Pizza and Brewing","675 Merrimon Ave",Asheville,NC,28804-3541,"(828) 254-1281",brewpub,http://www.ashevillepizza.com
"Ass Clown Brewing Co","10620 Bailey Rd Ste E",Cornelius,NC,28031-9364,"(704) 995-7767",micro,http://www.assclownbrewery.com
"Aviator Brewing Company","209 Technology Park Ln","Fuquay Varina",NC,27526-9311,"(919) 567-2337",micro,http://www.aviatorbrew.com
"Backstage Brewing Co",,Clemmons,NC,27012,"(336) 766-2012",planning,http://www.backstagebrewing.com
"BearWaters Brewing Co","130 Frazier St Ste 7",Waynesville,NC,28786-3688,"(828) 246-0602",micro,http://www.bwbrewing.com
"Beer Army","313 Pollock St","New Bern",NC,28560-4944,,micro,http://www.beerarmycombatbrewery.com
"Bettler Brewing Company",,Mooresville,NC,28117,"(704) 519-6325",planning,http://www.bettlerbrewing.com
"Big Boss Brewing Co","1249 Wicker Dr Ste A",Raleigh,NC,27604-1683,"(919) 834-0045",micro,http://www.bigbossbrewing.com
"Biltmore Brewing Company","1 N Pack Sq C/O Biltmore Winery Estates",Asheville,NC,28801-3462,"(800) 411-3812",proprietor,http://www.biltmore.com
"Birdsong Brewing","1016 North Davidson St",Charlotte,NC,28206,"(704) 332-1810",micro,http://www.birdsongbrewing.com
"Blind Squirrel Brewery","4716 South US Highway 19 E Suite B",Plumtree,NC,28664-0173,"(828) 765-2739",micro,http://www.blindsquirrelbrewery.com
"Blowing Rock Brewing Company","PO Box 2678","Blowing Rock",NC,28605-2678,"(828) 414-9600",brewpub,http://www.blowingrockbrewing.com
"Bombshell Beer Company","120 Quantum St","Holly Springs",NC,27540-8861,"(919) 346-6135",micro,http://www.bombshellbeer.com
"Bond Brothers Beer Company",,Cary,NC,27511-3440,"(919) 459-2670",planning,http://www.bondbrothersbeer.com
"Boojum Brewing Company","357 Dayton Dr.",Waynesville,NC,28786-6931,,micro,http://www.boojumbrewing.com
"Boondocks Brewing","108 S Jefferson Ave","West Jefferson",NC,28694-9524,,brewpub,http://www.boondocks-brewing.com
"Booneshine Brewing Company",,Boone,NC,28607,,planning,http://www.booneshine.beer
"Bottle Tree Beer Co","10 N Trade St Ste A",Tryon,NC,28782-6781,"(864) 266-0133",contract,http://www.bottletree.net
"Boylan Bridge Brewpub","201 S Boylan Ave",Raleigh,NC,27603-1803,"(919) 803-8927",brewpub,http://www.boylanbridge.com
"Brevard Brewing Co","63 E Main St",Brevard,NC,28712-3746,,micro,http://www.brevard-brewing.com
"Brewery In Planning - Apex",,Apex,NC,27502,,planning,
"Brewery In Planning - Charlotte",,Charlotte,NC,28205,,planning,
"Brewery In Planning - Charlotte",,,,,,planning,
"Brewery In Planning - Durham",,Durham,NC,27705,,planning,
"Brewery In Planning - Fayetteville",,Fayetteville,NC,28303,,planning,
"Brewery In Planning - Greensboro",,,,,,planning,
"Brewery In Planning - High Point",,"High Point",NC,27265,,planning,
"Brewery In Planning - Huntersville",,Huntersville,NC,28078,,planning,
"Brewery In Planning - Huntersville",,Huntersville,NC,28078,,planning,
"Brewery In Planning - Leicester",,Leicester,NC,28748,,planning,
"Brewery In Planning - Mooresville",,Mooresville,NC,28115,,planning,
"Brewery In Planning - Southern Pines",,,,,,planning,
"Brewery In Planning - Wake Forest",,"Wake Forest",NC,27587,,planning,
"Brewery In Planning - Waynesville, NC.",,,,,,planning,
"Brewery In Planning - Winston Salem",,"Winston Salem",NC,27103,,planning,
"Brewery In Planning- Angier, NC.",,Angier,NC,27501,,planning,
"Brewery In Planning- Big Dan's Brew Shed",,"Pleasant Garden",NC,27313-9278,,planning,
"Brewery In Planning- Charlotte, NC.",,,,,,planning,
"Brewery In Planning- Durham, NC.",,,,,,planning,
"Brewery In Planning- Mebane, NC.",,Mebane,NC,27302-8860,,planning,
"Brewery In Planning- Stedman, NC.",,Stedman,NC,28391-8457,,planning,
"Brueprint Brewing Company LLC","1229 Perry Rd Ste 101",Apex,NC,27502-6898,"(919) 387-8075",micro,http://www.brueprint.com
"Bull City Burger & Brewery","107 E Parrish St Ste 105",Durham,NC,27701-3318,"(919) 680-2333",brewpub,http://www.bullcityburgerandbrewery.com
"Burial Beer Co","40 Collier Ave",Asheville,NC,28801-4024,,micro,http://www.burialbeer.com
"Carolina Brewery - Chapel Hill","PO Box 8","Chapel Hill",NC,27514-0008,"(919) 942-1800",brewpub,http://www.carolinabrewery.com
"Carolina Brewery - Pittsboro","120 Lowes Dr Ste 100",Pittsboro,NC,27312-8872,"(919) 545-2337",micro,http://www.carolinabrewery.com
"Carolina Brewing Co","140 Thomas Mill Rd","Holly Springs",NC,27540-9372,"(919) 557-2337",micro,http://www.carolinabrew.com
"Catawba Valley Brewing Co","212 S Green St",Morganton,NC,28655-3525,"(828) 430-6883",micro,http://www.catawbavalleybrewingcompany.com
"Catawba Valley Brewing Co - Asheville","63 Brook St",Asheville,NC,28803-2766,"(828) 430-6883",micro,http://www.catawbavalleybrewingcompany.com
