name,address,city,state,zip,phone,type,url
"7 Fjell Bryggeri AS","Jægerbakken 10",,,,"(475) 512-3444",micro,http://www.7fjellbryggeri.com
"Aass Bryggeri","Postboks 1106",,,,"(473) 226-6000",regional,http://www.aass.no
"Aegir Brewery AS","PB 44",,,,,micro,
"Akademika A/S","PO Box 84 Blindern 0314 Oslo",,,,"(472) 312-2421",,
"Akershus Bryggeri A/S",,,,,,,
"Austmann Bryggeri AS","Bynesveien 48",,,,"(474) 141-8516",,
"Borg Bryggerier","Postboks 7",,,,"69 15 22 22",,
"Brewery in Planning - Auli",,,,,"(479) 016-8242",planning,
"Brewery in Planning - drammen",,,,,,planning,
"Christianssands Bryggeri A/S","Setesdalsvn 17 - Postuttak",,,,"38 02 29 65",,
Fjellbryggeriet,"Ronjomsgrendi 6",,,,"(479) 086-3998",micro,http://www.fjellbryggeriet.com
"Grans Bryggeri","Hegnasletta 4",,,,"(473) 348-2500",regional,
"Grünerløkka Brygghus","Vålerenggata 54",,,,93209792,,
"Haandbryggeriet AS","Jacob Borchs Gate 6",,,,004731414140,micro,http://www.haandbryggeriet.net
"Hansa Borg Bryggerier","po Box 7",,,,,,
"Hansa Bryggeri","Postboks 24",,,,"55 99 77 00",,
"Hansa Bryggeri","Postboks 24",,,,"(475) 599-7700",large,http://www.hansa.no
"Lindheim Olkompani","Tinghaugveien 101",,,,004791145980,,
"Macks Brewery",,,,,"(477) 762-4500",,
"Macks Olbryggeri A/S",,,,,"77 62 45 00",,
"Mikrobryggeriet AS","Bogstadveien 6",,,,,,
"Mollenbyen Mikrobryggeri AS","Fossen 21-23",,,,"(476) 925-2701",brewpub,
"Nogne O - Det Kompromisslose Bryggeri A/S",Lunde,,,,"(473) 725-7400",micro,http://www.nogne-o.com
"Norsk Bryggeri","Aass Brewery P.O. Box 1530",,,,"(473) 226-6000",,
"Oslo Bryggerikompani A/S","Bogstadveien 6",,,,,,
"Oslo Mikrobryggeri A/S","Bogstadvn 6",,,,"(472) 256-9776",brewpub,
"P. Ltz Aass Bryggeri","Postboks 1106",,,,"(473) 226-6000",regional,http://www.aass.no
"Ringnes A/S","Thv. Meyers gt. 9-11 Postboks 7152",,,,"(472) 206-9500",large,
"Ringnes A/S and Carlsberg Breweries","Postboks 7152 M Thv. Meyers Gate 2",,,,"(479) 284-3836",large,
"Studenten Johan Albrecht","Karl Johansgate 45",,,,,,
"Svensefjøset AS","Heggveien 5",,,,"(479) 067-7407",brewpub,http://www.hegg-olkompani.no
"Tou A/S","P. O. Box 68",,,,104-576000,large,
"Tromi Bryggeri","Postboks 2900 Tempe",,,,"73 94 10 90",,
"Trondhjem Mikrobryggeriet AS","Selsbakkflata 14-B",,,,"(479) 209-5000",micro,
