name,address1,address2,city,state,zip,phone,type,url
"7 Fjell Bryggeri AS","Jægerbakken 10","Bergen, Norway",,,,"(475) 512-3444",micro,http://www.7fjellbryggeri.com
"Aass Bryggeri","Postboks 1106","Drammen, Norway",,,,"(473) 226-6000",regional,http://www.aass.no
"Aegir Brewery AS","PB 44","Flam, 5742, Norway",,,,,micro,
"Akademika A/S","PO Box 84 Blindern 0314 Oslo",", Norway",,,,"(472) 312-2421",,
"Akershus Bryggeri A/S",,"Akershus, Norway",,,,,,
"Austmann Bryggeri AS","Bynesveien 48","Trondheim, Norway",,,,"(474) 141-8516",,
"Borg Bryggerier","Postboks 7","Sarpsborg, Norway",,,,"69 15 22 22",,
"Christianssands Bryggeri A/S","Setesdalsvn 17 - Postuttak","Kristiansand, Norway",,,,"38 02 29 65",,
Fjellbryggeriet,"Ronjomsgrendi 6","Flatdal, Norway",,,,"(479) 086-3998",micro,http://www.fjellbryggeriet.com
"Ginebra San Miguel","3rd, 5th and 6th Floors, San Miguel Prop","Manila, Norway",,,,,micro,http://2015.ginebrasanmiguel.com/
"Grans Bryggeri","Hegnasletta 4","Sandefjord, Norway",,,,"(473) 348-2500",regional,
"Grünerløkka Brygghus","Vålerenggata 54","Oslo, Norway",,,,93209792,,
"Haandbryggeriet AS","Jacob Borchs Gate 6","Drammen, Norway",,,,004731414140,micro,http://www.haandbryggeriet.net
"Hansa Borg Bryggerier","po Box 7","Sarpsborg, Norway",,,,,,
"Hansa Bryggeri","Postboks 24","Kokstad, Norway",,,,"55 99 77 00",,
"Hansa Bryggeri","Postboks 24","Kokstad, Norway",,,,"(475) 599-7700",large,http://www.hansa.no
"Holmestrandsbryggeriet SA",,"Holmestrand, Norway",,,,"(479) 184-3141",planning,
"Lindheim Olkompani","Tinghaugveien 101","Gvarv, Norway",,,,004791145980,,
"Macks Brewery",,"Tromso, Norway",,,,"(477) 762-4500",,
"Macks Olbryggeri A/S",,"Tromso, Norway",,,,"77 62 45 00",,
"Mikrobryggeriet AS","Bogstadveien 6","Oslo, Norway",,,,,,
"Mollenbyen Mikrobryggeri AS","Fossen 21-23","1501 Moss, Norway",,,,"(476) 925-2701",brewpub,
"Molo Brew AS",,"Alesund, Norway",,,,"(479) 304-0733",planning,http://molobrew.no
"Nogne O - Det Kompromisslose Bryggeri A/S","Lunde 8","Grimstad, Norway",,,,"(473) 725-7400",micro,http://www.nogne-o.com
"Norsk Bryggeri","Aass Brewery P.O. Box 1530","Drammen, Norway",,,,"(473) 226-6000",,
"Oslo Bryggerikompani A/S","Bogstadveien 6","Oslo, Norway",,,,,,
"Oslo Mikrobryggeri A/S","Bogstadvn 6","Oslo, Norway",,,,"(472) 256-9776",brewpub,
"P. Ltz Aass Bryggeri","Postboks 1106","Drammen, Norway",,,,"(473) 226-6000",regional,http://www.aass.no
"Ringnes A/S","Thv. Meyers gt. 9-11 Postboks 7152","Oslo, Norway",,,,"(472) 206-9500",large,
"Ringnes A/S and Carlsberg Breweries","Postboks 7152 M Thv. Meyers Gate 2","Oslo, Norway",,,,"(479) 284-3836",large,
"Studenten Johan Albrecht","Karl Johansgate 45","Oslo, Norway",,,,,,
"Svensefjøset AS","Heggveien 5","Lier, Norway",,,,"(479) 067-7407",brewpub,http://www.hegg-olkompani.no
"Tou A/S","P. O. Box 68","Forus, Norway",,,,104-576000,large,
"Tromi Bryggeri","Postboks 2900 Tempe","Trondheim, Norway",,,,"73 94 10 90",,
"Trondhjem Mikrobryggeriet AS","Selsbakkflata 14-B","Trondheim, Norway",,,,"(479) 209-5000",micro,
