name,address,city,state,zip,phone,type,url
"Actual Brewing Company, LLC","655 N James Rd",Columbus,OH,43219-1837,"(614) 284-3741",micro,http://www.actualbeer.com
"Adueduct Brewing","529 Grant St. Suite 106",Akron,OH,44311-1184,"(303) 606-6583",micro,http://www.aqueductbrewing.shutterfly.com
"Alexandria's Brewery",,Findlay,OH,45840-4803,"(419) 424-5750",planning,
"Anheuser-Busch InBev – Columbus","700 Schrock Rd",Columbus,OH,43229-1123,"(614) 888-6644",large,
"Bad Tom Smith Brewery","4720 Eastern Ave",Cincinnati,OH,45226-1893,"(513) 871-4677",micro,http://www.badtombrewing.com
"Barley's Brewing Company (Ale House No. 1)","467 N High St",Columbus,OH,43215-2007,"(614) 228-2537",brewpub,http://www.barleysbrewing.com/downtown
"BirdFish Brewing Co",,Columbiana,OH,44408,"(330) 397-4010",planning,http://www.birdfishbrew.com
"Black Box Brewing Co","24945 Detroit Rd",Westlake,OH,44145-2554,"(440) 871-0700",micro,http://www.jwdover.com
"Black Cloister Brewing Co","619 Monroe St",Toledo,OH,43604-1015,"(419) 214-1500",micro,http://www.blackcloister.com
"Black Frog Brewing Co",,Holland,OH,43528-6604,,micro,http://www.blackfrogbrewery.com
"Blank Slate Brewing Co","4233 Airport Rd Unit C",Cincinnati,OH,45226-1645,"(513) 979-4540",micro,http://www.blankslatebeer.com
"Boston Beer Co - DBA Samuel Adams Brewing Co","1625 Central Pkwy",Cincinnati,OH,45214-2423,"(617) 368-5000",regional,http://www.samadams.com
"Bostyan Brewery",,Dayton,OH,45415-2546,,planning,
"BottleHouse Brewery","2050 Lee Rd",Cleveland,OH,44118-2557,"(216) 214-2120",micro,http://www.thebottlehousebrewingcompany.com
"Bowling Green Beer Works","322 N. Grove St Suite C","Bowling Green",OH,43402-2322,"(512) 299-2101",micro,
"Brew Kettle, Taproom and Smokehouse, The","8377 Pearl Rd",Strongsville,OH,44136-1637,"(440) 239-8788",brewpub,http://www.thebrewkettle.com
"Brewery In Planning - Athens",,Athens,OH,45701,,planning,
"Brewery In Planning - Avon",,Avon,OH,44011,,planning,
"Brewery In Planning - Bolivar",,Bolivar,OH,44612-0170,,planning,
"Brewery In Planning - Brookfield",,Brookfield,OH,44403-9702,,planning,
"Brewery In Planning - Cincinnati",,Cincinnati,OH,45233,,planning,
"Brewery In Planning - Cleveland",,Cleveland,OH,44102,,planning,
"Brewery In Planning - Cleveland",,Cleveland,OH,44113-3414,,planning,
"Brewery In Planning - Columbus",,Columbus,OH,43235,,planning,
"Brewery In Planning - East Liverpool",,"East Liverpool",OH,43920,,planning,
"Brewery In Planning - France",,"West Chester",OH,45069-4929,,planning,
"Brewery In Planning - Hillard",,Hilliard,OH,43026-8145,,planning,
"Brewery In Planning - Hudson",,Hudson,OH,44236,,planning,
"Brewery In Planning - Lakewood",,Lakewood,OH,44107,,planning,
"Brewery In Planning - Liberty Township",,Middletown,OH,45044,,planning,
"Brewery In Planning - Perrysburg",,Perrysburg,OH,43551-9027,,planning,
"Brewery In Planning - Springfield, OH.",,Springfield,OH,45503,,planning,
"Brewery In Planning - Wadsworth",,Wadsworth,OH,44281,,planning,
"Brewery In Planning- Cincinnati, OH.",,,,,,planning,
"Brewery In Planning- Columbus, OH.",,Columbus,OH,43214-1318,,planning,
"Brewery X",,Cincinnati,OH,45202,,planning,
"BrewRiver GastroPub","2062 Riverside Dr",Cincinnati,OH,45202-1843,"(513) 861-2484",contract,http://www.brewrivergastropub.com
"Brick and Barrel","1844 Columbus Rd",Cleveland,OH,44113-2412,,micro,http://www.brickandbarrelbrewing.com
"Bridgetown Brew Works",,,,,,planning,http://www.bridgetownbrewworks.com
"Bridgetown Brew Works",,Cincinnati,OH,45211-5752,,planning,http://www.bridgetownbrewworks.com
