name,address,city,state,zip,phone,type,url
"BOQUETE BREWING COMPANY","Avenida Central, Bajo Boquete",,,,50766744246,micro,http://www.boquetebrewingcompany.com
"Brewery in Planning - Panama",,,,,,planning,
"Cerveceria 3 Gatos, S.A.","Calle 87 Este, Plaza Rio Local No.27, Co",,,,"(507) 221-3351",micro,http://www.cerveceria3gatos.com
"Cerveceria Chiricana","Apartado 503",,,,75-4141,large,
"Cerveceria Del Baru","Apartado 418",,,,,large,
"Cerveceria La Rana Dorada","Urbanizacion Industrial La Loceria, Aven",,,,507-69481294,brewpub,http://www.laranadorada.com
"Cerveceria Nacional","Av Ricardo J Alfaro",,,,"(507) 236-1400",,
"Cerveceria Panama SA","Urbanizacion Industrial Calle Sta. Rosa.",,,,,regional,
"Cervecerias Baru Panama, S.A.","Urbanizacion Industrial San Cristobal, Apartado 418-9A",,,,"(507) 236-3011",,
"El Republicano Pub","Ave. Cincuentenario Calle Jaime De La Guardia Casa # 28",,,,"(507) 667-9818",brewpub,
