name,address1,address2,city,state,zip,phone,type,url
"BOQUETE BREWING COMPANY","Avenida Central, Bajo Boquete","Boquete, Panama",,,,50766744246,brewpub,http://www.boquetebrewingcompany.com
"Brewery in Planning - Panama",,"Panama, Panama",,,,,planning,
"Cerveceria 3 Gatos, S.A.","Calle 87 Este, Plaza Rio Local No.26 &27","Panama, Panama",,,,"(507) 221-6977",micro,http://www.cerveceria3gatos.com
"Cerveceria Chiricana","Apartado 503","David, Chiriqui, Panama",,,,75-4141,large,
"Cerveceria Del Baru","Apartado 418","Panama, Panama",,,,,large,
"Cerveceria La Rana Dorada","Urbanizacion Industrial La Loceria, Aven","Panama, Panama",,,,50769481294,brewpub,http://www.laranadorada.com
"Cerveceria Nacional","Av Ricardo J Alfaro","Ciudad De Panama, Panama",,,,"(507) 236-1400",,
"Cerveceria Panama SA","Urbanizacion Industrial Calle Sta. Rosa.","Panama, Panama",,,,,regional,
"Cervecerias Baru Panama, S.A.","Urbanizacion Industrial San Cristobal, Apartado 418-9A","Calle Santa Rosa, Panama",,,,"(507) 236-3011",,
"El Republicano Pub","Ave. Cincuentenario Y Cl. Eduardo L. Maduro Lindo","Panama City, Panama",,,,,micro,
