name,address,city,state,zip,phone,type,url
"2nd Story Brewing Company","117 Chestnut St",Philadelphia,PA,19106-3074,"(267) 314-5770",brewpub,http://www.2ndstorybrewing.com
"2SP Brewing Company","120 Concord Rd",Aston,PA,19014,,micro,
"3 Guys and A Beer'd Brewing Co","10 Enterprise",Carbondale,PA,18407-1880,"(570) 280-2739",micro,http://www.3guysandabeerd.com
"5 O Clock Brew Co.",,Warminster,PA,18974,,planning,
"Abbey Wright Brewing Co / Valley Inn","204 Valley St",Williamsport,PA,17702-6738,"(570) 326-3383",brewpub,http://www.thevalley-inn.com
"Aldus Brewing Company","555 Centennial Avenue",Hanover,PA,17331-3936,"(717) 634-2407",brewpub,http://www.aldusbrewing.com
"All Saints Brewing Co","1602 State Route 119",Greensburg,PA,15601-7317,"(724) 289-1202",micro,http://www.allsaintscraftbrewing.com
"Allegheny City Brewing",,Pittsburgh,PA,15212-4910,,planning,http://www.alleghenycitybrewing.com
"Allentown Brew Works","812 Hamilton St",Allentown,PA,18101-2412,"(610) 433-7777",brewpub,http://www.thebrewworks.com
"American Honor Beer Co","700 N Pennsylvania Ave","Wilkes Barre",PA,18705-2451,"(800) 961-8176",contract,http://www.boondogglebeer.com
"Appalachian Brewing Co - Camp Hill","3721 Market St","Camp Hill",PA,17011-4326,"(717) 920-2739",brewpub,http://www.abcbrew.com
"Appalachian Brewing Co - Collegeville","50 W 3rd Ave Collegeville Station 2nd Floor",Collegeville,PA,19426-3655,"(484) 973-6064",brewpub,http://www.abcbrew.com
"Appalachian Brewing Co - Gettysburg Battlefield","401 Buford Ave",Gettysburg,PA,17325-1140,"(717) 334-2200",brewpub,http://www.abcbrew.com
"Appalachian Brewing Co - Gettysburg Gateway","70 Presidential Cir",Gettysburg,PA,17325-8399,"(717) 398-2419",brewpub,http://www.abcbrew.com
"Appalachian Brewing Co - Harrisburg","50 N Cameron St",Harrisburg,PA,17101-2407,"(717) 221-1080",micro,http://www.abcbrew.com
"Appalachian Brewing Co - Lititz","55 N Water St",Lititz,PA,17543-1610,"(717) 221-1080",brewpub,http://www.abcbrew.com
"Aries Craft Brewing Company",,Pottstown,PA,19465,,planning,http://www.ariesbrewing.com
"Aurochs Brewing Company","8321 Ohio River Blvd",Pittsburgh,PA,15202-1451,"(724) 260-8737",micro,http://www.aurochsbrewing.com
"Barley Creek Brewing Co","1774 Sullivan Trl RR 1po Box 185",Tannersville,PA,18372-7893,"(570) 629-9399",brewpub,http://www.barleycreek.com
"Barren Hill Tavern and Brewery","646 Germantown Pike","Lafayette Hill",PA,19444-1641,,brewpub,https://www.facebook.com/barrenhillbeer
"Battlefield Brew Works","248 Hunterstown Rd",Gettysburg,PA,17325-7840,"(724) 953-1112",brewpub,http://www.battlefieldbrewworks.com
"BB Brewing Co",,"North Wales",PA,19454-2315,,planning,
"Beaver Brewing Co","1820 7th Ave","Beaver Falls",PA,15010-4001,,brewpub,http://www.beaverbrewingcompany.com
