name,address,city,state,zip,phone,type,url
"Brewery in Planning - Lima",,,,,51958559417,planning,
"Cervecera Del Sur Del Peru","Variante De Uchumayo 1801 Cas 43",,,,232530,large,
"Cervecera Delsur Peru","Avenida De La Cultura 725 Apartado No 50",,,,,large,
"Cerveceria Backus Y Johnston","Av Felipe Pardo Y Aliaga N 66 Jr Chiclayo 594/RIMAc",,,,810-570,large,
"Cerveceria Del Norte","Lora Y Codero 350, Chiclayo",,,,"(517) 423-8431",,
"Cerveceria Dorado","Variante De Uchumayo 1801 Cas 43",,,,232530,large,
"Cerveceria Modelo","Av Mariscal Or Benavides No. 3",,,,51-1700,large,
"Cerveceria Saenz Pena","Av Saenz Pena 471",,,,29-9340,large,
"Cerveceria San Juan","Km 13 Carretera Federico Basadre",,,,"(516) 158-6000",large,
"Cia Cervecera Del Sur Del Peru","Varlante De Uchumayo No 1801 Casilla No 43",,,,,large,
"Cia Nacional De Cerveza","Avda Saenz Pena 471 Casilla 256",,,,29-9340,,
"Cia Nacional De Cerveza S.A.","Apdo Postal 256",,,,511700,large,
"Corp. Lealha SA","Los Gorriones #166",,,,,,
"JBC Brewery SAC",,,,,,planning,
"Nacional De Cerveza","Avenida Saenz Pena 471 Casilla 256",,,,,large,
"Sociedad Cervecera De Trujillo","Av Del Ejercito 794",,,,"(514) 422-5741",large,
"Union De Cervecerias Peruanas","Jr Chiclayo 594 Rimac",,,,,,
