name,address1,address2,city,state,zip,phone,type,url
"Cervecera Del Sur Del Peru","Variante De Uchumayo 1801 Cas 43","Arequipa, Peru",,,,232530,,
"Cervecera Delsur Peru","Avenida De La Cultura 725 Apartado No 50","Cuzco, Peru",,,,,,
"Cerveceria Backus Y Johnston","Av Felipe Pardo Y Aliaga N 66 Jr Chiclayo 594/RIMAc","Lima, Peru",,,,810-570,,
"Cerveceria Dorado","Variante De Uchumayo 1801 Cas 43","Arequipa, Peru",,,,232530,,
"Cerveceria Modelo","Av Mariscal Or Benavides No. 3","Callao, Peru",,,,51-1700,,
"Cerveceria Saenz Pena","Av Saenz Pena 471","Callao, Peru",,,,29-9340,,
"Cerveceria San Juan","Km 13 Carretera Federico Basadre","Pucallpa, Peru",,,,"(516) 158-6000",,
"Cia Cervecera Del Sur Del Peru","Varlante De Uchumayo No 1801 Casilla No 43","Arequipa, Peru",,,,,,
"Cia Nacional De Cerveza S.A.","Apdo Postal 256","Callao, Peru",,,,511700,,
"JBC Brewery SAC",,"Lima, Peru",,,,,,
"Nacional De Cerveza","Avenida Saenz Pena 471 Casilla 256","Callao, Peru",,,,,,
"Sociedad Cervecera De Trujillo","Av Del Ejercito 794","Trujillo, Peru",,,,"(514) 422-5741",,
