name,address,city,state,zip,phone,type,url
"Belgia Brewery Ltd.","UL Sciegiennego 499",,,,"+48 41-362-2146",large,
"Browar Artezan","Grodziska 15",,,,,micro,http://www.artezan.pl
"Browar Jablonowo","Al. Krakowska 77",,,,"090 21 57 10",,
"Browar Lomza SPZOO","ul. Poznanska 121",,,,,,http://www.browarlomza.pl
"Browar Namyslów","46-100 Namyslów, ul",,,,"(077) 410-1944",regional,http://www.namyslow.com.pl
"Browar Stu Mostow","Ul. Jana Dlugosza 2",,,,,,http://www.100mostow.pl
"Browary Tyskie SA","UL Mikolowska 5",,,,,,
"Browary Wielkopolski","11 Szwajcarska St.",,,,"+48 61 878 77 87",,
"Browary Worka","ul. Gosniewska 65",,,,,,http://www.warka.com.pl
"Hevelius Brewing Co. Ltd","Ul Kilinskiego",,,,584115211,regional,
"Kiper Brewery","ul. Browarna 5",,,,"+48 44 647 51 21",regional,http://www.kiper.com.pl
"Kormoran Brewery","Al .Gen.Wt. Sikorskiego 2",,,,895349716,,
"Okocimski Zaklady Piwowarskie","Ul Browarna 14",,,,"(481) 926-5288",regional,http://www.okocim.com.pl
"Perla Browary Lubelskie SA","Bernardynska 15",,,,81-710-1201,,
"Piast Browery","Ul. Browarna 14",,,,"(487) 121-2200",,
"Piwowarskie Brok SA","Ul Spoldzielcza 8",,,,94422086,regional,
"Piwowarskie Bydogoskie SA","Ul Ustronie 7",,,,852719300,regional,
"Piwowarskie Elblagu","Ul Browarna 71",,,,850342052,regional,
"Przedsiebiorstwo Przemyslu","Ul Poznanska 121",,,,8862451,regional,
"SOMA Restaurant & Brewery","ul. Foksal 19",,,,"+48-22 828-2133",brewpub,
"Zaklady Piwowarskie SA","Ul. Browarna 88",,,,24-5258,regional,
