name,address1,address2,city,state,zip,phone,type,url
"Belgia Brewery Ltd.","UL Sciegiennego 499","Kielce, Poland",,,,"+48 41-362-2146",large,
"Browar Artezan","Grodziska 15","Blonie, Poland",,,,,micro,
"Browar Jablonowo","Al. Krakowska 77","Mrokow/warsaw, Poland",,,,"090 21 57 10",,
"Browar Lomza SPZOO","ul. Poznanska 121","Lomza, Poland",,,,,,http://www.browarlomza.pl
"Browar Namyslów","46-100 Namyslów, ul","Boleslawa Chrobrego 26, Poland",,,,"(077) 410-1944",regional,http://www.namyslow.com.pl
"Browar Stu Mostow","ul. Jana Dlugosza 2","WROCLAW, Poland",,,,"48 797091092",micro,http://www.100mostow.pl
"Browary Tyskie SA","UL Mikolowska 5","Tychy, Poland",,,,,,
"Browary Wielkopolski","11 Szwajcarska St.","Poznan, Poland",,,,"+48 61 878 77 87",,
"Browary Worka","ul. Gosniewska 65","Warka, Poland",,,,,,http://www.warka.com.pl
"Hevelius Brewing Co. Ltd","Ul Kilinskiego","Gdansk, Poland",,,,584115211,regional,
"Kiper Brewery","ul. Browarna 5","Piotrków Trybunalski PL, Poland",,,,"+48 44 647 51 21",regional,http://www.kiper.com.pl
"Kormoran Brewery","Al .Gen.Wt. Sikorskiego 2","Olsztyn, Poland",,,,895349716,,
"Okocimski Zaklady Piwowarskie","Ul Browarna 14","Brzesko, Poland",,,,"(481) 926-5288",regional,http://www.okocim.com.pl
"Perla Browary Lubelskie SA","Bernardynska 15","Lublin, Poland",,,,81-710-1201,,
"Piast Browery","Ul. Browarna 14","Brzesko, Poland",,,,"(487) 121-2200",,
"Piwowarskie Brok SA","Ul Spoldzielcza 8","Koszalin, Poland",,,,94422086,regional,
"Piwowarskie Bydogoskie SA","Ul Ustronie 7","Bydgoszcz, Poland",,,,852719300,regional,
"Piwowarskie Elblagu","Ul Browarna 71","Elblag, Poland",,,,850342052,regional,
"Przedsiebiorstwo Przemyslu","Ul Poznanska 121","Lomza, Poland",,,,8862451,regional,
"SOMA Restaurant & Brewery","ul. Foksal 19","00-372 Warsaw, Poland",,,,"+48-22 828-2133",brewpub,
"Zaklady Piwowarskie SA","Ul. Browarna 88","Zywiec, Poland",,,,24-5258,regional,
