name,address,city,state,zip,phone,type,url
"AB Viliaus Taurus","Aludariu gatve 1/2",,,,,,
"Badajev Pivovarennij","Kutuzowsky Prospekt 12",,,,95-243-41-18,regional,
"Birobidzhanskij Pivovarennij","Ul. Karl Marx 29 Khabarovskij",,,,,regional,
Lipezkpivagraprom,"Ul. Universlnyi 11 Lipetskaja",,,,,regional,
"LLC Transmark","B Ordynka 40 Str 1",,,,+7-095-937-3350,large,
"Minudobrenija Rossoschanskoe","Rossoschanskoe PO Voronejskaja",,,,,,
"Moscow Efes Brewery","Kuvsauter Str 15",,,,"(216) 387-4645",,
"Piva I Zhinzn","UL. Panfilova, 18, Korp. 3",,,,"+7 0952824220",,
"Pivo Apscheronskij","Ul Lenin 196 Krasnodar",,,,,,
"Pivo Astrachan","Zavodskaja 18 Astrachanskaja",,,,,regional,
"Pivo GPK Labinsk","Ul. Karl Marx 190 Krasnodar",,,,,regional,
"Pivo Kurskij","Magistralnja Kursk",,,,,regional,
"Pivo Nevelskij","Ul Lenin 21 Sakhalinskaja",,,,,regional,
"Pivo Ochinskij","Ul Karl Mark 10 Sakhalinskaja",,,,,regional,
"Pivo Tchitaagropischeprom","Ingodinskaja 19 Tchitinskaja",,,,,regional,
"Pivo Wolzhskij-Uljanovskpivoa","Gail Prospekt 95 Uljanovskaja",,,,,regional,
"Pivo Zavod Baltika","Promzona Parnas 6 Kwartal 9",,,,"(812) 598-8623",,
"Pivo Zavod Krachna Bavaria","Petrowsky Prospekt 9",,,,812-235-25,regional,
"Pivoarennij Makarovskij","Sachalniskaja 35 Sakhalinskaja",,,,,regional,
"Pivovarennaia Kamtchatskij","Kljustchtvskaja 51 Kamtchatskij",,,,,regional,
"Pivovarennij Alexandrovskij","Novo Oktjabrskaja 11 Sakhalinskaja",,,,,regional,
"Pivovarennij Armavirskij","Urizkogo 1 Krasnodar",,,,,regional,
"Pivovarennij Astrachan","Zavodskaja 48 Astrachanaskaja",,,,,regional,
"Pivovarennij Balakovskij","Wolskaja 65 Balakovo",,,,,regional,
"Pivovarennij Beloglinskij","Krasnaja 182 Krasnodar",,,,,regional,
"Pivovarennij Blagovestchensk","Ul. Internationalnyi 9 Amurskaja",,,,,regional,
"Pivovarennij Brezhnev","Prokom A. A-p Tatarskaja",,,,,regional,
"Pivovarennij Burjatagropischem","Zone 11 Buriatskaja",,,,,regional,
"Pivovarennij Dalnegorsk",Primorskij,,,,,regional,
"Pivovarennij Derbent","Primorskaja 42 Dagestanskaja",,,,,regional,
"Pivovarennij Dolinskij","Pionerskaja 9a Sakhalinskaja",,,,,regional,
"Pivovarennij Ejskij","Ul Lenin 22 Krasnodar",,,,,regional,
"Pivovarennij Elezk","Anja Gajterova Ul.11 Lipetskaja",,,,,regional,
"Pivovarennij Elobuga","Ul. Karl Marx 66 Tatarskaja",,,,,regional,
"Pivovarennij Gelendzhik","Komsomolskaja 87 Gelendzhik",,,,350470,regional,
"Pivovarennij GPK Balaschovsk","Pugatschevskaja 313 Saratovskaja",,,,,regional,
"Pivovarennij GPK Belogorsk","Naberezhnaja 123 Amurskaja",,,,,regional,
"Pivovarennij GPK Engelsk","Sverdlovskaja 11 Saratovskaja",,,,,regional,
"Pivovarennij GPK Partisanskij","Sverdlovskaja Primorskij",,,,,regional,
"Pivovarennij GPK Partisnaskij","Sverdlovskaja Primorskij",,,,,regional,
"Pivovarennij Grosnyi","Lermontovskaja 14 Tchetcheno-Inguschsk",,,,,regional,
"Pivovarennij Gulkevitschskij","Paretschnaja 108 Krasnodar",,,,,regional,
"Pivovarennij Kaliniskij","Nagornaja 28 Saratovskaja",,,,,regional,
"Pivovarennij Kamyschinskij","Sovetskaja 23 Volgogradskaja",,,,,regional,
"Pivovarennij Kasanj","Tichorezkaja 5 Tatarskaja",,,,,regional,
"Pivovarennij Khabarovskpischeg","Ul Frunze 71 Khabarovskij",,,,,regional,
"Pivovarennij Komsomolskij","Z 6 Khabarovskij",,,,,regional,
"Pivovarennij Korsakovakij","Uschakov Ul. 23 Sakhalinskaja",,,,,regional,
"Pivovarennij Kransnodarskij","Ul Mira 58 Krasnodar",,,,,regional,
"Pivovarennij Kropotkinskij","Redkodubnyi 10 Krasnodar",,,,,regional,
"Pivovarennij Krymskaja","Komsomolskaja 40 Krasnodar",,,,,regional,
"Pivovarennij Kurgan","Ul. Gorkij 3 Kurganskaja",,,,,regional,
"Pivovarennij Magadanskij","Pivzavod Magadan Ul. Prolietarskaja 19",,,,,,
"Pivovarennij Majkopskij","Ul Gogol 2 Krasnodar",,,,,regional,
"Pivovarennij Marksovskij","Sagorodnaja 25 Saratovskaja",,,,,regional,
"Pivovarennij Menselinsk","Gornaja 2 Tatarskaja",,,,,regional,
"Pivovarennij Morshcanskij","Ul. Datschnyi 19 Tambovskaja",,,,,regional,
"Pivovarennij Mozdok","Ul. Usanova 1 Severo Osetinskaja",,,,,regional,
"Pivovarennij Nizhenkamsk","Studentscheskaja 10 Tatarskaja",,,,,regional,
"Pivovarennij Novopokrovskij","Sovetskaj 8 Krasnodar",,,,,regional,
"Pivovarennij Novorossijskij","Ul. Kulikova 37 Krasnodar",,,,,regional,
"Pivovarennij Omskagropischeprm","Vototschjevskaja 9 Omskaja",,,,,regional,
"Pivovarennij Omskij","2 Ul. Solnetscjmaka 271 Omskaja",,,,,regional,
"Pivovarennij Ordzhonidize","Ul. Themlmann 80 Severo-Osetinskaj",,,,,regional,
"Pivovarennij Otradnenskij","Pivovarennij Otradnenskij Krasnodar",,,,,regional,
"Pivovarennij Pavlovskij","Gladkov Ul1 Krasnodar",,,,,regional,
"Pivovarennij Poronajskij","Chabaravskaja 3 Sakhalinskaja",,,,,regional,
"Pivovarennij Primorsk-Achtorsj","Ul. Pobedy 31 Krasnodar",,,,,regional,
"Pivovarennij Primorskagropisco","Leninskaja 135 Primorskij",,,,,regional,
"Pivovarennij Pugatschev","Internationalnaja 73 Sratovskaja",,,,,regional,
"Pivovarennij Rajtschichinsk",Amurskaja,,,,,regional,
"Pivovarennij Rasskasovskij","Solmanovka 10a Tambovskaja",,,,,regional,
"Pivovarennij Sakhalinskij","Sakhalinskaja 113 Sakhalinskaja",,,,,regional,
"Pivovarennij Samara","Ul. Gorkij 20 Tatarskaja",,,,,regional,
"Pivovarennij Saratov","7 Datschnaja 10 Saratovskaja",,,,,regional,
"Pivovarennij Schadrinsk","Ul. Truda 14 Kurganskaja",,,,,regional,
"Pivovarennij Slavjanskij","Profilnaja 23 Krasnodar",,,,,large,
"Pivovarennij Sotschi","Krasnoarmejskaja 1 Krasnodar",,,,,regional,
"Pivovarennij Sovetskogavanskij","Pogranitschnaja 17 Khabarovskij",,,,,regional,
"Pivovarennij Sovetskogavanskij","Pogranitschnaja 17 Khavarovskij",,,,,regional,
"Pivovarennij Stephan Razin","Stephan Razinskaja 9",,,,,,
"Pivovarennij Taminwod",Tatarskaja,,,,,regional,
"Pivovarennij Taskij","Sovetskaja 83 Omskaja",,,,,regional,
"Pivovarennij Tichoorezk","Ul Kalinin 27 Krasnodar",,,,,regional,
"Pivovarennij Tomarinskij","Bregovoj Ul.3 Sakhalinskaja",,,,,regional,
"Pivovarennij Tuapskinskij","Naberezhnaja 15 Krasnodar",,,,,regional,
"Pivovarennij Uglegorskij","Zavodskaja 8 Sakhalinskaja",,,,,regional,
"Pivovarennij Urjapuinski","Wesennjaja 2 Volgogradskaja",,,,,regional,
"Pivovarennij Ussurijsk","Toprkovskaja 126 Primorskij",,,,,regional,
"Pivovarennij Valdivostok","Krylovskaja 10 Primorskij",,,,,regional,
"Pivovarennij Vladivostok","Krylovskaja 10 Primorskij",,,,,regional,
"Pivovarennij Wolgogradskij","Rabotsche-Krestjanskaja 45 Volgograd",,,,,regional,
"Pivovarennij Wolsk","Zementnikovskaja 69 Saratovskaja",,,,,regional,
"Pivovarennij Wolzhskij","Ul. Puschkin 85 Volgagradskaja",,,,,regional,
"Pivovarennij Zadov","Krasnii Oktjabr Volvograd Privolshskoj Sh.D",,,,,,
"Pivovarennij Zavod","Zavodskaja 2 Grodno",,,,"704 03",regional,
"Pivovarennij Zavod","Schukov Str. Samotlor",,,,3-67-52,,
"Pivovarennji GPK","Wolgodon, Leninskaja 23 Volgodonsk",,,,,regional,
"Pivoverennji Magadanskij","Proletarskaja 19 Magadanskaja",,,,,regional,
Rostovskaja,"Pivovarennij GPK Kamensk Rostovskaja Oblasti",,,,,regional,
"SUN Group Of Companies","5 Vorontsovsky Park",,,,,micro,
"Vena Brewery","Farforovskaya Str. 1",,,,"(812) 326-2114",,
