name,address1,address2,city,state,zip,phone,type,url
"Badajev Pivovarennij","Kutuzowsky Prospekt 12","Moskva, Russian Federation",,,,95-243-41-18,,
BeersFan,"Russia, Yekaterinburg, Cvillinga 7e","Yekaterinburg, Russian Federation",,,,"7 (902) 265-42-95",,http://brewery.beersfan.ru/
"Birobidzhanskij Pivovarennij","Ul. Karl Marx 29 Khabarovskij","Birobidzhan Eao, Russian Federation",,,,,,
"Green Street Brewery",,"Moscow, Russian Federation",,,,"(917) 543-7799",,http://www.greenstreetbrewery.com
Kalinkino,"Lenina street 90/2","Kemerovo, Russian Federation",,,,79617067759,,http://kalinkino.com
"Knightberg Brewery","Pirogovskaya emb. 5/2","Saint Petersburg, Russian Federation",,,,79052225141,,http://knightberg.ru
Lipezkpivagraprom,"Ul. Universlnyi 11 Lipetskaja","Lipezk, Russian Federation",,,,,,
"LLC Transmark","B Ordynka 40 Str 1","Moscow, Russian Federation",,,,+7-095-937-3350,,
"Pivo Astrachan","Zavodskaja 18 Astrachanskaja","Astrachan, Russian Federation",,,,,,
"Pivo GPK Labinsk","Ul. Karl Marx 190 Krasnodar","Apscheronsk, Russian Federation",,,,,,
"Pivo Kurskij","Magistralnja Kursk","Kurskaja, Russian Federation",,,,,,
"Pivo Nevelskij","Ul Lenin 21 Sakhalinskaja","Nevelsk, Russian Federation",,,,,,
"Pivo Ochinskij","Ul Karl Mark 10 Sakhalinskaja","OCHA, Russian Federation",,,,,,
"Pivo Tchitaagropischeprom","Ingodinskaja 19 Tchitinskaja","Tchita, Russian Federation",,,,,,
"Pivo Wolzhskij-Uljanovskpivoa","Gail Prospekt 95 Uljanovskaja","Uljanovsk, Russian Federation",,,,,,
"Pivo Zavod Krachna Bavaria","Petrowsky Prospekt 9","St Petersburg, Russian Federation",,,,812-235-25,,
"Pivoarennij Makarovskij","Sachalniskaja 35 Sakhalinskaja","Makarov, Russian Federation",,,,,,
"Pivovarennaia Kamtchatskij","Kljustchtvskaja 51 Kamtchatskij","Petropavlovsk, Russian Federation",,,,,,
"Pivovarennij Alexandrovskij","Novo Oktjabrskaja 11 Sakhalinskaja","Alexandrov, Russian Federation",,,,,,
"Pivovarennij Armavirskij","Urizkogo 1 Krasnodar","Armavir, Russian Federation",,,,,,
"Pivovarennij Astrachan","Zavodskaja 48 Astrachanaskaja","Astrachan, Russian Federation",,,,,,
"Pivovarennij Balakovskij","Wolskaja 65 Balakovo","Saratovskaja, Russian Federation",,,,,,
"Pivovarennij Beloglinskij","Krasnaja 182 Krasnodar","Belaja Glina, Russian Federation",,,,,,
"Pivovarennij Blagovestchensk","Ul. Internationalnyi 9 Amurskaja","Blagovestchensk, Russian Federation",,,,,,
"Pivovarennij Brezhnev","Prokom A. A-p Tatarskaja","Neberezhnye Tschelny, Russian Federation",,,,,,
"Pivovarennij Burjatagropischem","Zone 11 Buriatskaja","Ulan-ude, Russian Federation",,,,,,
"Pivovarennij Dalnegorsk",Primorskij,"Dalnegorsk, Russian Federation",,,,,,
"Pivovarennij Derbent","Primorskaja 42 Dagestanskaja","Derbent, Russian Federation",,,,,,
"Pivovarennij Dolinskij","Pionerskaja 9a Sakhalinskaja","Dolinsk, Russian Federation",,,,,,
"Pivovarennij Ejskij","Ul Lenin 22 Krasnodar","EJSK, Russian Federation",,,,,,
"Pivovarennij Elezk","Anja Gajterova Ul.11 Lipetskaja","ELez, Russian Federation",,,,,,
"Pivovarennij Elobuga","Ul. Karl Marx 66 Tatarskaja","Elobuga, Russian Federation",,,,,,
"Pivovarennij Gelendzhik","Komsomolskaja 87 Gelendzhik","Krasnodarskij, Russian Federation",,,,350470,,
"Pivovarennij GPK Balaschovsk","Pugatschevskaja 313 Saratovskaja","Balaschov, Russian Federation",,,,,,
"Pivovarennij GPK Belogorsk","Naberezhnaja 123 Amurskaja","Belogorsk, Russian Federation",,,,,,
"Pivovarennij GPK Engelsk","Sverdlovskaja 11 Saratovskaja","Engles, Russian Federation",,,,,,
"Pivovarennij GPK Partisanskij","Sverdlovskaja Primorskij","Partisansk, Russian Federation",,,,,,
"Pivovarennij GPK Partisnaskij","Sverdlovskaja Primorskij","Partisansk, Russian Federation",,,,,,
"Pivovarennij Grosnyi","Lermontovskaja 14 Tchetcheno-Inguschsk","Grosnyl, Russian Federation",,,,,,
"Pivovarennij Gulkevitschskij","Paretschnaja 108 Krasnodar","Gulkevitschi, Russian Federation",,,,,,
"Pivovarennij Kaliniskij","Nagornaja 28 Saratovskaja","Kalininsk, Russian Federation",,,,,,
"Pivovarennij Kamyschinskij","Sovetskaja 23 Volgogradskaja","Kamyschinsk, Russian Federation",,,,,,
"Pivovarennij Kasanj","Tichorezkaja 5 Tatarskaja","Kasanj, Russian Federation",,,,,,
"Pivovarennij Khabarovskpischeg","Ul Frunze 71 Khabarovskij","Khabarovsk, Russian Federation",,,,,,
"Pivovarennij Komsomolskij","Z 6 Khabarovskij","Komsomosk-na-Amure, Russian Federation",,,,,,
"Pivovarennij Korsakovakij","Uschakov Ul. 23 Sakhalinskaja","Korsakov, Russian Federation",,,,,,
"Pivovarennij Kransnodarskij","Ul Mira 58 Krasnodar","Krasnodar, Russian Federation",,,,,,
"Pivovarennij Kropotkinskij","Redkodubnyi 10 Krasnodar","Kropotkin, Russian Federation",,,,,,
"Pivovarennij Krymskaja","Komsomolskaja 40 Krasnodar","Krymsk, Russian Federation",,,,,,
"Pivovarennij Kurgan","Ul. Gorkij 3 Kurganskaja","Kurgan, Russian Federation",,,,,,
"Pivovarennij Majkopskij","Ul Gogol 2 Krasnodar","Majkop, Russian Federation",,,,,,
"Pivovarennij Marksovskij","Sagorodnaja 25 Saratovskaja","Marx, Russian Federation",,,,,,
"Pivovarennij Menselinsk","Gornaja 2 Tatarskaja","Menselinsk, Russian Federation",,,,,,
"Pivovarennij Morshcanskij","Ul. Datschnyi 19 Tambovskaja","Morschansk, Russian Federation",,,,,,
"Pivovarennij Mozdok","Ul. Usanova 1 Severo Osetinskaja","Mozdok, Russian Federation",,,,,,
"Pivovarennij Nizhenkamsk","Studentscheskaja 10 Tatarskaja","Nizhnekamsk, Russian Federation",,,,,,
"Pivovarennij Novopokrovskij","Sovetskaj 8 Krasnodar","Novopokrovskaja, Russian Federation",,,,,,
"Pivovarennij Novorossijskij","Ul. Kulikova 37 Krasnodar","Novorossijsk, Russian Federation",,,,,,
"Pivovarennij Omskagropischeprm","Vototschjevskaja 9 Omskaja","Omsk, Russian Federation",,,,,,
