name,address,city,state,zip,phone,type,url
"11 Shillings Parkhurst Ale",,,,,,,
"2 Rowdy Boxers Brewing Co",,,,,,,
"'78 Brewing Company",,,,,,,
"Agar's Brewery",,,,,,,
"Ale House",,,,,,,
"Alrode Brewery","P O Box 3902 Alrode",,,,"+864 2014",large,
"Anvil Ale House",,,,,,,
"Apollo Brewing Company",,,,,,,
"Auto Mills (Pty) Ltd","P O Box 713",,,,"+27 12 327 5200",regional,
"Backwards Bean Brewery",,,,,,,
"Bavaria Brau Pty Ltd","PO Box 15599",,,,,,
"Beard & Barrel Brew Co",,,,,,,
"Bings Bru",,,,,,,
"Birkenhead Brewery",,,,,,,
"Birkenhead Brewery (Pty) Ltd",,,,,,planning,
"Black Horse Brewery","Seekoei Hoek/Bekker School Road",,,,,,
"Bloemfontein Brewery","308 Kerk St",,,,51341441,regional,
"Boston Breweries",,,,,,,
"Bourbon Street Pub & Brewery","PO Box 1637",,,,+27-148-2930226,brewpub,
"BradwellBrewing Company",,,,,,,
"Brauhaus Am Damm",,,,,,,
"Brewhogs Micro Brewery",,,,,,,
"Bridge Street Brewery",,,,,,,
"Brothers In Arms Craft Brewery","Unit 1 16 Industria Road",,,,,,
"Bullseye Brewery","PO Box 5839, Halfway House Gateway Industrial Pk",,,,"27 82 7747711",micro,
"Cape Brewing Company","Suid Agter Parrk Rd",,,,,,
"Ceder Brew",,,,,,,
"Clarens Brewery","Main Street East",,,,,,
"Clockwork Brewhouse",,,,,,,
"Copperlake Breweries",,,,,,,
"Darling Brew",,,,,,,
"Dewside Brewery",,,,,,,
"Die Huisie Brewery",,,,,,,
"Dieks' Bru","1 Kerk Street",,,,,,
"Dockside Brewery",,,,,,,
"Doctrine Brewing",,,,,,,
"Dragon Brewing Company",,,,,,,
"Draymans Brewery","222 Dykor Road Silverton",,,,,,
"Draymans Brewery & Distillery","PO Box 1958",,,,-8100,,
"Farmers Brewery","Box 100 Hattingspruit",,,,"27 341 81735 21490",,
"Fraser's Folly",Struisbaai,,,,,,
"Friar's Habit Craft Brewery",,,,,,,
"Gallows Hill Brewing Co","75 Bromwell Road",,,,,,
"Gilroys Brewery","M34 Muldersdrift 0000",,,,"+27 11 763-5403",micro,
"Hate City Brewing Company",,,,,,,
"Honingklip Brewery",,,,,,,
"Hops Hollow","Milestone 22/3 Long Tom Pass",,,,,,
"Humanbrew's Loxton Lager",,,,,,,
"Independent Beer & Spirits Co",,,,,,,
"Jack Black Beer",,,,,,,
"Just Brewing Company",,,,,,,
"Karoo Brewery","38 Bath Street",,,,,,
"Karusa Winery & Micro Brewery",,,,,,,
"Kaya Breweries",,,,,,,
"Kings Craft Brewing Co",,,,,,,
"Labri Fountain Brewery",,,,,,,
"Lakeside Beerworks",,,,,,,
"Lilypatrick Craft Brewery","Erf 104/1 R44 Klapmuts Road",,,,,,
"Mad Giant Beer","Po Box 4683",,,,,,
"MadMead Brewing",,,,,,,
"Mainstream Brewing Company",,,,,,,
"Makana Meadery",,,,,,,
"Misty Meadows","Sinksaburg Hamlet",,,,,,
"Mitchells Brewery",,,,,,,
"Mitchell's Brewery","3 Arend Str Knysna Industrial",,,,,,
"Mogallywood Brewery",,,,,,,
"Napier Brewery","Monsanto Road Off Station Road",,,,,,
"Ndlovu Brewery",,,,,,,
"Nottingham Road Brewing Co","Off R103 At Rawdons Hotel",,,,,,
"Oakes Brew House","Cnr of Main Street 33 High Street",,,,,,
"OBT Ohlssons Brewery","Tainton Rd Ibika PO Box 166",,,,474620221,regional,
"Odyssey Craft Brewery",,,,,,,
"Ohlssons Brewery","Claremont PO Box 12",,,,,large,
"Old Main Brewery",,,,,,,
"Porcupine Quill Brewing Co",,,,,,,
"Red Bridge Brewing Co","Factory B1 No. 10 Jonker Street",,,,,,
"Red Sky Brew",,,,,,,
"Riot Factory",,,,,,,
"Robertson Brewery",,,,,,,
"Roca Microbrewery",,,,,,,
"S. African Breweries,Beer Div.","76 Juta St Braamfontein",,,,,large,
"Sabie Brewing Company",,,,,,,
"Saggy Stone Brewing Company","Off R60 Near Doornkloof Nature Reserve",,,,,,
"Savage Brewing","Unit 1 62 Killarney Ave.",,,,,,
"SDevil' Peak Brewing Company",,,,,,,
"Sedgefield Brewery",,,,,,,
"Shongweni Brewery",,,,,,,
"Silvermine Brewing Company",,,,,,,
"Sir Thomas Brewing Co",Stellenbosch,,,,,,
"Smack Republic Brewing Co",,,,,,,
"Sneeberg Brewery","Pienaar Street",,,,,,
"South African Breweries / Library","PO Box 782178",,,,"2711 881 8085",,
"South African Breweries Ltd-Ibhayi Brewery","47 Kohler Street",,,,"(041) 401-4200",,http://www.sab.co.za
"South African Breweries Ltd-Prospecton Brewery","9-25 Jeffels Rd",,,,,,
"South African Breweries Ltd-Sandton","PO Box 782 178",,,,,,
"South Cape Breweries",,,,,,,
Stellenbrau,"Woodmill, Vredenburg Road",,,,,,http://www.stellenbrau.co.za
"Stellenbrau Brewery",,,,,,,
"Stickman Brewery",,,,,,,
"Stimela Brewing Company",,,,,,,
"Striped Horse Craft Beer",,,,,,,
"Swagga Breweries",,,,,,,
"That Brewing Company",,,,,,,
"The Brew Cru",,,,,,,
"The Cockpit Brewhouse","80 Oak Avenue",,,,,,
"The Dog And Fig Brewery",,,,,,,
"The Keghouse Brewery",,,,,,,
"The Little Brewery On the River",,,,,,,
"The Standeaven Brewery",,,,,,,
"Three Skulls Brew Works",,,,,,,
"Toti Brewing Company","11 Palmgate Crescent Unit 6",,,,,,
"Triggerfish Brewing",,,,,,,
"Tsitsikamma Village Inn Microbrewery","Tsitsikamma Village Darnell Street",,,,,,
"Two Okes Brewery",,,,,,,
"United National Breweries","PO Box 9353",,,,-7022,,
"Valley Brewery","20 Fish Eagle Park Kommetjie",,,,,,
"Vivo Breweries","P O Box 9353 Hennopsmeer",,,,"27 12 66 11190",regional,
"Wagon Trail Brewery",,,,,,,
"Wild Clover Brewry","Wild Clover Farm R304",,,,,,
"Yorkshire Ales Brewing Co.","70 Prins Albert St",,,,-5782,,
"Zululand Brewery","36-38 Main Street Eshowe",,,,,,
