name,address,city,state,zip,phone,type,url
"8th Amendment Brewing",,Ladson,SC,29456,,planning,
"Aiken Brewing Co","140 Laurens St SW",Aiken,SC,29801-3848,"(803) 502-0707",brewpub,http://www.aikenbrewingcompany.com
"Benford Brewing Co.","2271 Boxcar Rd",Lancaster,SC,29720-9443,,micro,
"Blue Ridge Brewing Co/Foothills Brewing","PO Box 4677",Greenville,SC,29608-4677,"(864) 232-4677",brewpub,http://www.blueridgebrewing.com
"Brewery 85","6 Whitlee Ct",Greenville,SC,29607-3791,,micro,http://www.brewery85.com
"Brewery In Planning - Abbeville",,Abbeville,SC,29620,,planning,
"Brewery In Planning - Aiken",,Aiken,SC,29801,,planning,
"Brewery In Planning - Charleston",,Charleston,SC,29412-9140,,planning,
"Brewery In Planning - Charleston",,Charleston,SC,29401-1235,,planning,
"Brewery In Planning - Columbia",,Columbia,SC,29223,,planning,
"Brewery In Planning - Fort Mill",,"Fort Mill",SC,29715-6937,"(803) 448-4604",planning,
"Brewery In Planning - Hilton Head",,"Hilton Head Island",SC,29928,,planning,
"Brewery In Planning - Lexington, SC.",,Lexington,SC,29072-3670,,planning,
"Brewery In Planning - Myrtle Beach",,"Myrtle Beach",SC,29588,,planning,
"Brewery In Planning- Conway, SC",,,,,,planning,
Celis,"421 Wando Park Blvd, Ste 200","Mount Pleasant",SC,29464,,contract,
"Cervejaria Eisenbahn","Rua Bahia, 5181-Salto Weissbach",,,,"(47) 330-7371",,http://www.eisenbahn.com.br
"Cia. Sulina De Bebidas","Rua De Novembro 1383/1445 Caixa Postal 68",,,,"(047) 422-3166",regional,
"Ciclops Cyderi and Brewery",,Spartanburg,SC,29306-5121,,planning,
"COAST Brewing Co","1250 N 2nd St","North Charleston",SC,29405-1804,"(843) 343-4727",micro,http://www.coastbrewing.com
"Conquest Brewing Co.","947 S Stadium Rd",Columbia,SC,29201-4724,"(803) 712-3063",micro,http://www.conquestbrewing.com
"Cooper River Brewing Company",,Charleston,SC,29405,,planning,http://www.cooperriverbrewing.com
"Edmund’s Oast","1081 Morrison Dr",Charleston,SC,29403-3117,"(864) 350-5277",brewpub,http://www.edmundsoast.com
"Freehouse Brewery","2895 Pringle St Ste B",Charleston,SC,29405-7506,,micro,http://www.freehousebeer.com
"Frothy Beard Brewing Co","7358 Peppermill Pkwy Ste B",Charleston,SC,29418-7428,"(843) 793-2970",micro,http://www.frothybeard.com
"Full Spectrum Brewing Co",,"Fort Mill",SC,29708-6998,"(803) 792-4556",planning,http://www.fullspectrumbrewingco.com
"Good Times Brewing","237 Maxwell Ave",Greenwood,SC,29646-2616,"(864) 993-7302",brewpub,
"Gordon Biersch Brewery Restaurant - Myrtle Beach","3060 Howard Ave","Myrtle Beach",SC,29577-1643,"(843) 839-0249",brewpub,http://www.gordonbierschrestaurants.com
"Hilton Head Brewing Co","1 Cardinal Ct Ste 13","Hilton Head Island",SC,29926,"(843) 715-3251",micro,
"Holy City Brewing","4155 Dorchester Rd Ste C",Charleston,SC,29405-7486,"(843) 225-6089",micro,http://www.holycitybrewing.com
"Hunter Gatherer Brewery and Alehouse","900 Main St",Columbia,SC,29201-3964,"(803) 748-0540",brewpub,http://www.huntergathererbrewery.com
"Legal Remedy Brewing",,"Rock Hill",SC,29730-4019,,planning,http://www.legalremedybrewing.com
"Liberty Steakhouse and Brewery","1321 Celebrity Cir","Myrtle Beach",SC,29577-7445,"(843) 626-4677",brewpub,
"Low Tide Brewing",,"Johns Island",SC,29455,,planning,
"New South Brewing Co","1109 Campbell St","Myrtle Beach",SC,29577-3527,"(843) 916-2337",micro,http://www.newsouthbrewing.com
"Oak Road Brewery",,Summerville,SC,29483,,planning,
"Palmetto Brewing Co","289 Huger St Bldg B",Charleston,SC,29403-4560,"(843) 937-0903",micro,http://www.palmettobrewingco.com
"Quest Brewing Company","55 Airview Dr",Greenville,SC,29607-2632,,micro,http://www.questbrewing.com
"Quigley's Pint and Plate","257 Willbrook Blvd","Pawleys Island",SC,29585-7789,"(843) 237-7010",brewpub,
"Revelry Brewing Co.","10 Conroy St",Charleston,SC,29403-3815,"(843) 870-0010",micro,http://www.revelrybrewingco.com
"River Dog Brewing Co","591 Browns Cove Rd Ste H",Ridgeland,SC,29936-7281,"(843) 645-2302",micro,http://www.riverdogbrewing.com
"River Rat Brewery","1231 Shop Rd",Columbia,SC,29201,"(803) 724-5712",micro,http://www.riverratbrewery.com
"RJ Rockers Brewing Co","226 W Main St Ste A",Spartanburg,SC,29306-2308,"(864) 587-1435",micro,http://www.rjrockers.com
"Seminar Brewing","1945 W Palmetto St Ste 348",Florence,SC,29501,"(843) 665-9200",micro,http://www.seminarbrewing.com
"Southend Brewery and Smokehouse - Charleston","161 E Bay St",Charleston,SC,29401-2125,"(843) 853-4677",brewpub,http://www.southendbrewery.com
"Southern Barrel Brewing Company","375 Buckwalter Place Blvd",Bluffton,SC,29910,"(843) 837-2337",brewpub,http://www.southernbarrelbrewingco.com
"Southern Hops Brewing Co.","911 Sunset Acres Ln",Florence,SC,29501-6073,"(843) 667-1900",brewpub,http://www.southernhops.com
"Swamp Cabbage Brewing Company","921 Brookwood Dr",Columbia,SC,29201,"(803) 252-0250",micro,http://www.swampcabbagebrewing.com
"Swamp Rabbit Brewery and Taproom","26 S Main St","Travelers Rest",SC,29690-1810,"(864) 610-2424",micro,http://www.theswamprabbitbrewery.com
"Thomas Creek Brewery","2054 Piedmont Hwy",Greenville,SC,29605-4840,"(864) 605-1166",micro,http://www.thomascreekbeer.com
"Tradesman Brewing Company","1639 Tatum St",Charleston,SC,29412-2646,,micro,
"Two Blokes Brewing Co.",,"Mount Pleasant",SC,29464,,planning,http://www.twoblokesbrewing.com
"Westbrook Brewing Co","510 Ridge Rd","Mount Pleasant",SC,29464-7811,"(843) 654-9114",micro,http://www.westbrookbrewing.com
"Wooden Skiff Brewing","141 Island Dr Ste 16","Hilton Head Island",SC,29926-4500,"(843) 290-4364",micro,http://www.woodenskiffbrewing.com
