name,address,city,state,zip,phone,type,url
"Brewery in Planning - Arenas de mar",,,,,,planning,
"Brewery in Planning - Barcelona",,,,,0034932509097,planning,
"Cervecera de Canarias SA","Carretera Gral La Cuseta - Taco km 0,5 38320 La Laguna",,,,"+34 922 661 338",large,http://www.ccc.es
"Cerveceros De Espana","Almagro 24-2 Izqda",,,,"(341) 593-2770",,
"Cia Cervecera de Canarias","Avda Angel Romero 18",,,,,,
"Cia Cervercera De Cannarias","Avda. Angel Romero 18 38009 Santa Cruz",,,,22-22-93-40,large,
"Compana Cervecera Canarias SA","Avenida Angel Romero 19",,,,,,
"Companyia Artesana Maians S.L.","Carrer Malet Numero 12",,,,,micro,http://www.espiga.cat
"Damm SA","515 Rosellon",,,,3-433-0101,large,
"Edge Brewing Barcelona","Carrer de Llull 62",,,,001-813-786-4764,micro,http://www.edgebrewing.com
"El Aguila SA","Carretera Nacional 111 KM 331",,,,61548116,regional,
"El Alcazar, SA","Madre Soledad Torres Acosta No. 7",,,,"(345) 322-9450",large,
"Estrella De Levante SA","Mayor No. 171 30100 Espinardo",,,,"68 83 04 00",large,
"Fabricas De Cerveza","Calle Brujula 5 Poligono Industrial De Palmones",,,,349567675430,,
"Grupo Cruzcampo SA","Avda De Andalucia 1 Camino Al Mar",,,,5-457-4000,,
"Grupo Mahou - San Miguel","Calle Titan, 15",,,,"+34 91 526 91 00",large,http://www.mahou-sanmiguel.com
"Grupo Mahou - San Miguel","Urgell, 240",,,,"+34 93 227 23 00",large,http://www.mahou-sanmiguel.com
"Henninger Espanola, SA","Samaniego S/n Poligono Las Mercedes",,,,1-747-46-66,large,
"Hijos De Rivera SA","Gambrinus 2 Apartado 32",,,,81236140,regional,
"Industrial Cervecera Sevilla","La Estrella Del Sur Polig, Calonge 5 Apartado 451",,,,54354500,regional,
"La Cruz Del Campo, SA","Avda. Andalucia, 1",,,,5-457-40-00,large,
"Mahou San Miguel","Calle Titan 15",,,,"+34 91 5269648",,http://www.mahou-sanmiguel.com
"Or I Plata Cervesers SLL","Estrella 93",,,,,micro,
"Ratpenat Cervesers","C/ Diputacio, 30, 5-1",,,,"(484) 767-0345",contract,http://www.ratpenatcervesers.cat
"S.A. Damm","Pol. Ind. Manso Mateu",,,,,,
"SA. Damm","Apartado 691 Rossellon 515",,,,4330101,regional,
"San Miguel Brewery Inc","P.I. El Segre C/ La Industria S/N",,,,,,
"San Miguel Brewery Inc","Oficinas Centrales Urgell 240",,,,93-410-5400,,
"Stone Castle Brewing",,,,,,micro,
