name,address,city,state,zip,phone,type,url
"AB Åbro Bryggeri",,,,,,,
"AB Pripps Bryggerier","Bryggerivagen 10 S-161 86",,,,"(468) 757-7000",large,
"Ahlafors Bryggeri","Box 3060",,,,,,
"Avesta Bryggeri","Garpenbergsvägen 41",,,,,,
"Banco Bryggeri AB","Box 103",,,,,,
"Bredaryds Värdshus","Lundavägen 16",,,,,,
"Brewery in Planning - Åsa",,,,,,planning,
"Brewery in Planning - Skå",,,,,,planning,
"Bryggeriet I Ystad","Långgatan 20",,,,,,
"Carlsberg Sverige","Bryggerivägen 10",,,,,,
"Carlsberg Sverige AB","Bryggerivagen 10",,,,"(468) 757-7000",large,
Cerevisia,"Brollsta By 186 97",,,,46851237135,,
"Dugges Ale- & Porterbryggeri AB","Möbelgatan 3",,,,,,
"Eskilstuna Ölkultur AB","Box 261",,,,,,
Falkenberg,"Box 164",,,,,,
"Gamla Stans Bryggeri AB","Box 2035",,,,,,
"Gamlestadens Bryggeri AB","Östergårdsgatan 11",,,,,,
"Gotlands Bryggeri","S:t Hansgatan 47",,,,,,
"Grebbestad Bryggeri AB","Strandvägen 1 Box 74",,,,,,
Hantverksbryggeriet,,,,,,,
"Helsinge Ångbryggeri","Faxeholmsgatan 1",,,,,,
"Hogbergs Bryggeri Kollecktiv","c/o Charles Cassino CF Box 1419",,,,,micro,
"Irish Pub","Nybrogatan 16",,,,,,
"Jämtlands Bryggeri AB","Box 216",,,,,,
"Kinnekulle Bryggeri",Forshem,,,,,,
"Kopparbergs Bryggeri AB","Klotenvägen 4",,,,,,
"Krönleins Bryggeri AB","Bryggaregatan 7-9",,,,,,
"Kungsholmens Kvarterbryggeri","Svarvarg 7",,,,,,
"Malmo Brygghus","Bergsgatan 33",,,,,micro,http://www.malmobrygghus.se
"Millingstorps Gårdsbryggeri",Millingstorp,,,,,,
"Monks Cafe","Wallingatan 38",,,,46707757531,brewpub,http://www.monkscafe.se
"Mora Bryggeri","Vattnäsbyväg 23",,,,,,
"Närke Kulturbryggeri AB","Box 475",,,,,,
"Nils Oscars Bryggeri",,,,,,,
"Nynashamns Angbryggeri AB","PO Box 186",,,,46852021213,micro,http://www.angbryggeri.se
"Olands Gardsbryggeri","Sa Mocklebyvagen 27",,,,,,
"Ölands Gårdsbryggeri","Södra Möcklebyvägen 27",,,,,,
"Ölkliniken AB","Föreningsgatan 27",,,,,,
"Oppigårds Bryggeri","Smedjegatan 14",,,,,,
"Oppigards Bryggeri AB","Smedjegatan 14",,,,225772119,,
"Pannrummet Kök & Bar","Gamlestadsvägen 4",,,,,,
"Pripps Ringnes Group",,,,,"(468) 757-7222",,
"Privat-Brauerei Schmidt","Banvaegen 17",,,,"(458) 766-4017",,
"Qvänum Mat & Malt AB",Gategården,,,,,,
"Sigtuna Brygghus AB",,,,,,,
"Skebo Bruksbryggeri",,,,,,,
"Slottskällans Bryggeri AB","Box 851",,,,,,
"Spendrups Bryggeri AB","Box 341 02",,,,,,
"Spendrups Bryggeri AB","Varby Alle 72 Box 9",,,,,,
"Svenska Bryggareforeningen","Baldersgatan 4 - Box 26 063",,,,"(468) 723-0180",,
"Tarno Bryggeri AB","Fruangsgatan 2 611 31 Nykoping",,,,"(468) 650-6049",,
"The Nils Oscar Company AB","The NIls Oscar Compoany AB, Fruangsgatan",,,,"(461) 557-7280",micro,http://wwww.nilsoscar.se
"Två Bryggare / ÖsterlenBryggarna AB","Simrishamnsvägen 44",,,,,,
"Vivungs Bryggeri AB","Bange 620 23 Romekloster",,,,49851393,,
"Zeunerts Bryggeri AB","Box 313",,,,,,
